feature_id,seed,m,n_case,n_ctrl,prev0_mean,prev_sd,beta_mean,beta_sd,null_frac,eps,n_val,var_extra_scale,xlim,is_null,beta_true,logit_prev0,prev0,prev1,a_raw,b_raw,c_raw,d_raw,log_or_naive,se_naive,z_naive,p_naive,y_naive,sig_naive,var_extra,se_floor,se_lambda,z_lambda,p_lambda,y_lambda,sig_lambda
0,3,20000,10000,1000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.239761324748489,0.014206303509013104,0.014206303509013104,143,14211,9857,985789,0.00973851641156215,0.08450719897828946,0.11523889715081018,0.04179183514097889,0.04179183514097889,False,0.0015624999999999997,0.039528470752104736,0.09329505173992994,0.10438406142599416,0.037694808858490844,0.037694808858490844,False
1,3,20000,10000,1000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-1.6352075494441487,0.16311822744556662,0.16311822744556662,1637,162560,8363,837440,0.008593664983857663,0.02715878974338461,0.31642297263820174,0.12396614842323951,0.12396614842323951,False,0.0015624999999999997,0.039528470752104736,0.04795935633768841,0.17918641199745236,0.06661834627077388,0.06661834627077388,False
2,3,20000,10000,1000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.007736577753963789,-2.547431182868297,0.0725992504445296,0.07312186888128279,723,72218,9277,927782,0.0018542376891010322,0.03879281340070279,0.047798484475669395,0.016880530067623377,0.016880530067623377,False,0.0015624999999999997,0.039528470752104736,0.05538395409811172,0.033479691352774885,0.011756819218001644,0.011756819218001644,False
3,3,20000,10000,1000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.395626560089501,0.032432425419603825,0.032432425419603825,342,32337,9658,967663,0.05933487741820206,0.055273873050695525,1.0734705954797468,0.5481214594964774,0.5481214594964774,False,0.0015624999999999997,0.039528470752104736,0.06795366834854763,0.873166656932513,0.4172865394197647,0.4172865394197647,False
4,3,20000,10000,1000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.738938927013372,0.008672060922847363,0.008672060922847363,98,8637,9902,991363,0.1324820978739508,0.10183345135945455,1.3009683567172028,0.713837157355419,0.713837157355419,False,0.0015624999999999997,0.039528470752104736,0.10923622025582172,1.212803752854953,0.6474222409844876,0.6474222409844876,False
5,3,20000,10000,1000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.1194103308618057,0.04231366068328695,0.04231366068328695,416,42228,9584,957772,-0.014501100348152678,0.0502993070273841,-0.2882962252394043,0.11175309376603659,0.11175309376603659,False,0.0015624999999999997,0.039528470752104736,0.06397280896939771,-0.2266759984713112,0.08582843008280062,0.08582843008280062,False
6,3,20000,10000,1000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.7230458955681303,0.023590317661461743,0.023590317661461743,219,23441,9781,976559,-0.06736816846143569,0.0685691319329198,-0.9824853627626641,0.4869678932386101,0.4869678932386101,False,0.0015624999999999997,0.039528470752104736,0.07914686256595496,-0.8511792669645772,0.4037661284998853,0.4037661284998853,False
7,3,20000,10000,1000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.0626488266071754,0.044674518115265745,0.044674518115265745,458,44593,9542,955407,0.028999349622707348,0.04805508182852767,0.6034606230863189,0.26264647277367,0.26264647277367,False,0.0015624999999999997,0.039528470752104736,0.062223716455596656,0.46604978414302073,0.1930201235901861,0.1930201235901861,False
8,3,20000,10000,1000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.998754631079612,0.01800821975676432,0.01800821975676432,198,18003,9802,981997,0.09941894504839806,0.07208579093814266,1.3791753375323326,0.7751027176523022,0.7751027176523022,False,0.0015624999999999997,0.039528470752104736,0.08221229382019218,1.2092953550942005,0.6448370937874682,0.6448370937874682,False
9,3,20000,10000,1000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-2.2345369372859545,0.0966916483854227,0.0966916483854227,985,96333,9015,903667,0.025093882828791887,0.03372121931585986,0.744157042298576,0.3402915191874454,0.3402915191874454,False,0.0015624999999999997,0.039528470752104736,0.051957873629973735,0.4829659313524254,0.20126655893816786,0.20126655893816786,False
