feature,is_signal,naive_logOR,naive_se_boot,naive_p_boot,lambda_logOR,lambda_se_boot,lambda_p_boot
0,0,0.09811567925687666,0.15206571461121904,0.5187853137146955,0.2426814724437783,0.42102062878015306,0.5643365269838472
1,0,-0.06415912456990808,0.14226694789816452,0.6520061095904134,-0.1499808897710838,0.2943248443576662,0.6103485107468957
2,0,0.013331694335419614,0.11711457542324084,0.9093688864154517,0.03340140662319311,0.29037272377896656,0.9084218013274452
3,0,-0.09735252101724892,0.15795948638823243,0.5376878097842908,-0.22615726318195117,0.39695297283788233,0.568858710080586
4,0,0.19932685127482322,0.14477416301175913,0.16857028078775893,0.49565600712144064,0.35329891977157074,0.16063572714151308
5,0,0.137635815888447,0.16833448990957256,0.4135668398086698,0.34246925609358697,0.4529501450805856,0.4495976448896263
6,0,-0.11975128940179772,0.149256282346848,0.4223679190004562,-0.28016442838872085,0.3359245432939186,0.4042753487051127
7,0,-0.007972369871981714,0.10829752823026104,0.9413163874798599,-0.017506846525490036,0.3025387811659009,0.9538550039947895
8,1,0.06384878928356201,0.11466781936045373,0.577653670694441,0.15321366081753107,0.27528734169897906,0.577828740200864
9,0,0.09097177820572679,0.15123961695641824,0.5475019549307011,0.22427880036426084,0.3974891362563139,0.5725916131980505
10,0,0.10510385312486917,0.1661068326929342,0.526897877174437,0.25925343030773235,0.3680417752163261,0.48117557983095893
11,0,0.010315681178923754,0.16901591955639353,0.9513323032116198,0.029505141602147154,0.38396098342449436,0.93874755652776
12,0,-0.17797267339961517,0.12898162467919594,0.16763909314898362,-0.41780716954598257,0.29551163881116765,0.1574078980677528
13,0,0.17392937545296275,0.15112643413048849,0.2497789252417849,0.4317497274088628,0.4157032573305996,0.2989904427875103
14,0,-0.09038459413046988,0.12965311997684612,0.4857237839141343,-0.2122144807820192,0.3171982505001171,0.5034776779376773
15,0,0.13487270506328988,0.1466115090306905,0.35760798752165823,0.33207193318661216,0.37030879930680716,0.3698559118809185
16,0,0.19488229874547136,0.18042497302298025,0.28008460863940865,0.49247648509779407,0.687735422356135,0.47393934542712013
17,0,0.14422999950287296,0.14075345195036695,0.3055049733440084,0.35605148381209106,0.33242575727134993,0.28413764781467743
18,0,-0.18760720130712588,0.1366651974447779,0.1698299622286732,-0.44147148059880914,0.2938689250506984,0.13302650536528277
19,0,0.10322937316089852,0.1408770834335093,0.46370360288292156,0.25356136431445153,0.36195484651216253,0.48359441792590474
20,0,0.12818025725282264,0.12996878648803287,0.3240159540869888,0.31250445491719503,0.3189473669750808,0.3271851233977051
21,0,0.011489284982097735,0.13100679432504275,0.9301151856355627,0.029888721494788762,0.32843793148434325,0.9274904869263638
22,0,-0.07989664836577116,0.1339171581276964,0.5507661343582044,-0.1870243201653125,0.3309433887621507,0.5719888734538912
23,0,0.10568046286089196,0.13850564831387374,0.44546058331284744,0.25758469666474937,0.36128221040094105,0.475862061880297
24,0,0.027424670889944158,0.14036650058068845,0.8450962309928086,0.06846929893241503,0.33215137068257855,0.836682458708359
25,0,0.011410152053895107,0.18441538129451038,0.9506647500570868,0.033117310526444746,0.480101599507156,0.94500570142187
26,0,-0.10287596735691948,0.1802126552213173,0.5680954087403707,-0.23730229004371514,0.4768801628503097,0.6187560680869558
27,0,-0.05451476969826004,0.1175929781093922,0.6429424893212642,-0.12829712950373948,0.2559036630928481,0.6161252950184593
28,0,0.17258208416675283,0.1683381649335354,0.30526379105719603,0.43259422553588694,0.49303407866239335,0.38026266796945274
29,0,-0.037376930640662664,0.12336964548515843,0.7619150151518721,-0.08718737340374236,0.2815110096844955,0.7567798804091678
30,0,-0.30668249602452924,0.12260796897824693,0.012372923883603247,-0.7227861930114011,0.30777179137955546,0.018851807449504227
31,0,0.11119728423550129,0.14233743543546315,0.43467132406931985,0.2732399678868647,0.33515049015830756,0.4149146560336868
32,0,0.026498295603510573,0.1864559614134974,0.886988718366621,0.0705639637189923,0.48929126138370643,0.8853293659458848
33,0,-0.033448336798754176,0.13313089383903529,0.8016254768573698,-0.07703708223890926,0.3266003857544012,0.8135291542529762
34,0,0.05853430967613599,0.14700028157812778,0.6904887951295047,0.1436666145185655,0.35118850603205837,0.6824758952230807
35,0,0.013804853775362174,0.12722396328237112,0.9135925106567774,0.034797697734430554,0.28890054768557394,0.9041277087516779
36,0,0.1538174261469899,0.12757528328688536,0.22793346595182729,0.376368731881931,0.34078174382886095,0.2694077339013129
37,0,0.2214763121696122,0.155407012606514,0.15411755017252204,0.5564481931268073,0.44361544742634496,0.20971550837646047
38,0,0.018035193461130875,0.12607656592929256,0.8862510643596463,0.04531956574476969,0.3061758720952763,0.8823284970213179
39,0,0.12033223926739398,0.12525121492714184,0.3366893902930398,0.2933798347843583,0.33566283142597236,0.38210118591437026
40,0,-0.03398443249144607,0.1240944518822788,0.7841926710546236,-0.07916050251389112,0.3191324964350587,0.8040964803638619
41,0,0.10854550060574653,0.1535327842046418,0.4795752928136612,0.2676794884367055,0.40029967274908607,0.5036883063723436
42,0,0.11889533966283417,0.1934337486421426,0.5387814949362291,0.2989634813933933,0.5278106414177045,0.5711070429296564
43,0,0.14082103352483552,0.1345897306595635,0.29542323699550177,0.3437114916653308,0.32902805063851553,0.29619552753887957
44,0,-0.28661645792883406,0.13543802250460685,0.03432622279249086,-0.670781244014129,0.3223161089011461,0.03742214475876251
45,0,-0.10317311054686523,0.12409328768502141,0.40573881964094904,-0.2423789720872344,0.30117181314330266,0.42094296482457294
46,0,-0.12985641685739294,0.16567772563526073,0.43316379492802404,-0.30143429007255773,0.39793181073616596,0.4487489460310172
47,0,-0.07837869111280663,0.1267373758687729,0.5362893495674106,-0.1847731537217151,0.31856301890779987,0.5619006406365017
48,0,0.08210822959510095,0.14341613369542555,0.5669715124912934,0.20250071611425594,0.4157332155392493,0.6261924661015278
49,0,0.13569569840658036,0.15487733740956483,0.3809487775144377,0.33638112459891867,0.4139565204925184,0.4164473539215403
50,0,0.0008242467418132064,0.1201885002237602,0.9945281903566042,0.003972638197478022,0.32277583520483255,0.99018009926743
