feature,mean_shap,std_shap,t_stat,p_value,p_two,log_or,group
840,-1.0525905e-08,2.4504953e-07,-6.0746403,1.265119564664019e-09,8.890027761871849,0.11700410208444367,8
L29.8,4.8049444e-09,5.920647e-07,1.1477154,0.2510997801608703,0.4242219741191743,-0.1499782936395705,L
D04.30,-1.0104538e-06,7.1735794e-06,-19.920286,0.0,84.88786218885996,-2.2289676332587622,D
R62,-6.729217e-07,3.9720344e-05,-2.3958883,0.0165892729706944,1.8470207603704603,-1.4565264397333144,R
L03.21,-7.0335258e-09,1.2599124e-07,-7.8949203,3.1086244689504387e-15,12.634409669408463,-0.04874273597573758,L
R11.2,3.1108232e-07,1.638521e-05,2.6849632,0.0072597595019574,2.0685952146760154,0.9139692654707596,R
F25.0,-5.0764806e-09,9.6265026e-08,-7.457773,9.170442183403793e-14,11.082938905655391,0.049292652606678006,F
L03.02,-2.9650296e-09,2.336021e-08,-17.950117,0.0,68.72292420473913,0.13782444096679905,L
T18.10,-5.4063072e-08,5.7609614e-06,-1.3271524,0.1844734348866623,0.7086787605931502,-0.0768683947286779,T
D10.30,-2.240632e-07,3.2634005e-06,-9.7099085,0.0,19.460966472141383,-0.3697351414709426,D
D04,-2.5279335e-06,5.1088973e-05,-6.99767,2.6849633627534786e-12,11.57423187172527,-2.8824038536020313,D
Z86,-2.2468676e-07,5.7293737e-06,-5.5460696,2.95859186039138e-08,7.549767129757033,-0.588678909975174,Z
G47.30,1.2476776e-06,1.6693164e-05,10.57009,0.0,23.09959563368393,2.6867152497093416,G
N83,3.7143158e-07,1.2234021e-05,4.29363,1.766029315386497e-05,4.805512481135894,1.03004840861472,N
Y92.09,-2.3913574e-07,4.4211947e-06,-7.649267,2.109423746787797e-14,11.583315960538759,-0.5123641716383199,Y
Z83.71,-1.2793264e-06,5.4447602e-05,-3.3229024,0.0008924588865983,3.243841768265708,-2.4107706275781586,Z
R00.1,3.3696887e-07,7.6165625e-06,6.256706,4.011757592792264e-10,9.458433787752629,0.8356437903446837,R
H02.41,2.1788297e-08,2.8795464e-06,1.070075,0.2845984496492144,0.8937714017717615,-0.12005693595767142,H
H35,-0.00010042033,0.00052590505,-27.004074,0.0,156.68631234924624,-4.524972709562752,H
N52.9,1.7865467e-08,1.04583e-05,0.24158406,0.8091049494142655,-0.07204417750811082,0.021545323548259658,N
G47.00,2.7595937e-07,6.4614924e-06,6.039866,1.569678831359056e-09,8.940520144243765,0.6974171205179442,G
I80,-1.1172988e-07,2.6121024e-06,-6.0491467,1.482037825795146e-09,8.868026613632477,-0.2957472026986781,I
I05.1,-9.341658e-09,1.1761108e-06,-1.123287,0.2613291230036467,0.623839582522397,-0.04113213368777529,I
M25.41,-2.7729321e-08,1.9074441e-06,-2.055902,0.0398049136400462,1.401008301942179,-0.0833278685622291,M
M75.40,9.652601e-07,3.6609497e-06,37.2877,0.0,300.0102056234076,2.186832342165481,M
T20.01,-3.1485072e-08,6.8000006e-09,-654.8031,0.0,93102.71506295206,-0.014099687986748002,T
I77.6,-6.786918e-10,1.6982456e-07,-0.5651804,0.5719573923443713,0.23359234411855054,0.06737542137202339,I
C88.0,1.0295584e-08,9.556587e-07,1.5235727,0.1276313029515645,1.3433450274366088,0.006025345177557401,C
813.44,-7.5562826e-07,9.489399e-06,-11.261194,0.0,26.48546156338097,-1.5102909654674892,8
M75.82,-4.10894e-06,0.00012433362,-4.6736507,2.9782090822383367e-06,5.534483578339199,-2.7748261567634964,M
T84.49,5.137137e-09,1.4321976e-06,0.50726306,0.6119758442161649,0.5428295280356327,-0.14908899059108366,T
M20.20,1.667791e-08,4.659382e-07,5.0620723,4.184027466713758e-07,6.2460775045314545,-0.24977644607480703,M
E87.70,2.4001867e-08,2.5427908e-06,1.334902,0.1819236029996274,0.7684294244158236,-0.04432977155252224,E
Z85.85,2.3599409e-08,1.7672745e-06,1.8884788,0.0589761661519925,1.0713164128596666,-0.01393696454565048,Z
G31.1,-1.9503196e-07,2.1917897e-07,-125.84092,0.0,3436.410326485148,-0.15581105212493607,G
G4,5.5778733e-06,4.2626994e-05,18.505419,0.0,73.10665139629333,3.0777841363798357,G
N18.9,-4.937485e-07,2.7621856e-05,-2.5279467,0.0114808093575742,1.8889212144583494,-1.123639133487252,N
K59.09,7.900401e-08,5.795095e-06,1.9279846,0.0538711838230532,1.1680931423237768,0.3927248573533122,K
I46.9,1.6033019e-07,9.974366e-06,2.2732384,0.023022372915898,1.557040590177067,0.4176014260310345,I
S09.8X,-8.705307e-09,1.7421257e-06,-0.70667475,0.479776854572336,0.3079515194020375,0.28295022739796694,S
K22.2,-1.17108e-06,4.7366404e-05,-3.496481,0.0004724602904309,3.394981900057452,-2.4155559492238234,K
S92,-2.645965e-07,7.156187e-06,-5.2289853,1.7215768544076584e-07,6.566662302061085,-0.6327892467943997,S
S81.82,-3.0666232e-08,2.6841013e-07,-16.157587,0.0,55.40775859428794,0.10005894899265358,S
I06.9,-4.0333505e-09,5.5246295e-07,-1.0324708,0.3018640945874402,0.34700702191913546,-0.22390372431460992,I
I5,-5.2765667e-05,0.0003420661,-21.815058,0.0,101.86761560813581,-4.042982944460443,I
J8,-1.15367e-06,2.1241949e-05,-7.6807256,1.6431300764452317e-14,11.610246237758705,-2.3962734547042595,J
Z80.3,-1.2211377e-06,3.400854e-05,-5.077988,3.848777618831178e-07,6.218432568576214,-2.438052694505199,Z
K08.40,-1.3394846e-08,2.7490075e-06,-0.6890913,0.4907737932283909,0.23322826304771166,-0.15568411009554026,K
M46,-1.12833e-08,1.1447927e-06,-1.3938764,0.1633704091047636,0.60822514398692,-0.04668294244097651,M
I49.9,-1.9548986e-06,2.3554656e-05,-11.737144,0.0,29.00924946696192,-2.3215825778294317,I
M16.10,-3.0470906e-07,4.2311526e-06,-10.184546,0.0,21.426974719697895,-0.872882712901908,M
H35.63,6.2900725e-08,5.2293035e-06,1.701088,0.0889420183624116,1.326957733971187,0.24281070743778488,H
T83.01,-1.7814796e-09,1.4568863e-08,-17.292995,0.0,63.456270379130046,0.23377910176859373,T
S92.30,1.7690163e-09,7.1305084e-07,0.35085392,0.7257016386008028,0.3345294870763674,-0.04739622089872561,S
Z48,2.4223145e-06,2.1533502e-05,15.908559,0.0,53.743418524350844,2.6849808536770694,Z
I97.3,-2.555966e-08,1.8948168e-06,-1.9076681,0.0564484335448918,1.247189604631308,0.10402001223277332,I
Q61.9,-4.552823e-07,4.4893077e-06,-14.34222,0.0,43.510364376844855,-1.138689148588498,Q
C44.21,-9.066726e-08,3.4427208e-06,-3.7244632,0.0001962689031702,3.659595802399256,-0.31241367585683927,C
S00.03,8.602305e-08,5.6399854e-06,2.1570086,0.0310168669146408,1.665845047369945,0.36901538481972795,S
R51.9,-7.35354e-07,3.969336e-05,-2.6199534,0.0088008213207033,1.820473792517538,-1.6380501790457989,R
Z48.89,4.5288735e-07,1.6043074e-05,3.9922488,6.568332464418347e-05,4.2860520614845035,1.057675528110555,Z
K83.8,6.002219e-09,7.855987e-07,1.0805033,0.2799311278870342,0.5656709727137696,-0.1592310297266274,K
T14,-1.0509036e-06,1.8683542e-05,-7.954606,1.7763568394002505e-15,12.997467718120934,-2.4608810923942417,T
R90.82,-1.1033698e-08,1.2255514e-06,-1.2732233,0.2029536207048519,0.595590650557875,0.1451678068702835,R
U,5.014269e-08,2.7082267e-06,2.6184099,0.0088407214359467,2.0711694195692196,0.23310894753399658,other
G95.9,2.6229148e-07,5.4036495e-06,6.864549,6.865619184281968e-12,11.369685620236831,0.6441894324015909,G
R91,5.113815e-07,1.1696127e-05,6.183265,6.400591168187474e-10,9.350177256852875,1.355074929698236,R
T81.89,1.3803796e-07,3.3649999e-06,5.8013425,6.677858266357361e-09,7.880340508379108,0.21081661180128625,T
F06.30,1.7177022e-07,3.807185e-06,6.3805614,1.8030998916174207e-10,9.731291682372968,0.47062621304342345,F
S49,-1.9470333e-06,3.4931236e-05,-7.8826895,3.3306690738754696e-15,12.63539229661076,-2.9046700225230015,S
Z22.31,1.4398829e-07,7.192244e-06,2.831247,0.0046413158735894,2.316969399722029,0.270489147775964,Z
B37.89,1.28515e-08,1.9454345e-05,0.09342266,0.925568725999933,0.10347156973954968,0.10009933635020123,B
R16.1,-5.4614677e-09,6.6188484e-08,-11.669222,0.0,28.56684597292139,-0.10297617789945465,R
M76.89,-1.3531458e-08,5.5368344e-07,-3.4561934,0.0005489995621692,3.4098267855310516,-0.10586424312123688,M
T20.00,-1.971652e-07,2.0295232e-05,-1.3738877,0.1694919599482776,0.8395197056671247,-0.25184864045983724,T
U07.1,5.8800488e-08,4.1153576e-06,2.0206373,0.0433306284257102,1.499338865768693,-0.00821489289797886,other
L21.8,5.0427886e-08,2.2967604e-06,3.1050606,0.0019050582838515,2.732697321346637,0.20112236728419516,L
D04.22,-9.989388e-10,7.017035e-09,-20.132618,0.0,86.59383389764878,-0.0043061056201005995,D
G43.71,8.6805e-06,0.00030540544,4.0196013,5.851028919834356e-05,4.152703708124609,2.9797049258559247,G
L41,-2.4901064e-07,2.8407489e-05,-1.2396528,0.2151184056662705,0.49525263800757247,-0.42197455834269026,L
M24,8.417124e-08,9.57448e-07,12.432645,0.0,32.53060302721884,0.1212533148156983,M
Z98.83,1.8186974e-09,1.9219332e-08,13.382498,0.0,37.5739733668517,0.03266924373246478,Z
M77.31,-1.7137006e-06,3.6417063e-05,-6.654954,2.9072966256649124e-11,10.273603611198213,-2.4235833009304737,M
K64.4,-1.1409452e-08,3.4170336e-07,-4.722049,2.3506347697210828e-06,5.568401018357052,0.07355667369039919,K
I50.22,-3.6348144e-08,1.3397946e-06,-3.8367105,0.0001250764048694,3.61046127327676,-0.05973659408545466,I
R36,-6.623928e-08,9.090122e-06,-1.0305306,0.3027734710672753,0.5238367235684649,-0.24870581515387297,R
R97.20,4.902893e-08,1.8730375e-06,3.701868,0.0002145925107865,3.6300631624305284,0.16058903467895286,R
M23.30,1.7672848e-07,5.412663e-06,4.617539,3.907339424680245e-06,5.520846890699223,0.45678897999988594,M
T30.0,-2.0389497e-09,2.728356e-07,-1.0568674,0.2905848922447338,0.766659629444939,-0.09425851331280714,T
N32.81,-3.9193906e-06,0.00013583417,-4.0806046,4.509297509547317e-05,4.293234512848315,-2.9878421699436006,N
R63.4,-9.6536205e-05,0.00081763335,-16.697313,0.0,59.20150224261774,-4.205972246431866,R
M85.88,1.136735e-08,4.616275e-07,3.4824312,0.0004979441594759,3.1482797964490428,-0.020405462590289393,M
I97,-1.0182156e-08,1.3070851e-06,-1.1016682,0.2706191880999218,0.5435521539950541,-0.09238104511314335,I
M43,-6.325445e-08,1.1962361e-06,-7.4780636,7.860379014346108e-14,11.05451964953169,-0.2997394741420192,M
D63.8,6.727656e-10,1.7742863e-05,0.005362349,0.9957215384355648,0.16726676341095967,0.03335662473079498,D
L8,1.9622757e-06,9.125542e-06,30.409996,0.0,199.28588483618438,2.4127390528804225,L
M81,-0.00010821203,0.00044892842,-34.088936,0.0,250.87921749033086,-4.2441984370640276,M
S83.28,-3.4586498e-07,9.225175e-06,-5.3020883,1.1570113045422661e-07,7.189126800193108,-0.8462663146707843,S
I45,-7.3529456e-08,2.9356736e-06,-3.5421631,0.0003977631283653,3.356789776831281,-0.008723132369346853,I
I25.9,-1.4776826e-06,1.2530679e-05,-16.677141,0.0,59.12916349005228,-2.7410174778665395,I
N28.89,3.5700733e-08,1.846512e-06,2.7342613,0.006257543861714,2.1425342077118263,-0.026109763270757966,N
M53.9,-2.2381405e-08,1.185601e-07,-26.697083,0.0,153.2762060525514,0.32817032405209035,M
Z90.13,-5.07487e-08,5.6026033e-06,-1.2810026,0.2002075926973094,0.6105492930599503,-0.3599605600164386,Z
