code,log_or,p_two,group
I80.23,5.63461331775237,3.4907254256923776,I
R92.8,2.618761946985698,0.8905201501432614,R
C67,7.365790192962908,6.265540307268957,C
S96.01,3.5058492928567992,1.4002620522685856,S
D59.12,5.64178972897021,2.8148367969136348,D
C84.63,5.438710892412289,2.6305323658555864,C
N47.1,8.238786166746417,7.3063527522999365,N
C21.8,5.72173981205186,4.1491529686823405,C
S22.06,5.468103624738527,2.5085544816749374,S
I21.29,8.594774609084915,7.314827562816462,I
G89,6.21223879585079,4.377991027976971,G
D49.81,5.610013029953664,4.038496670079212,D
C85.85,6.033519196751535,4.425441837626979,C
S49.81,8.740190344918268,5.7241037370926975,S
R13.11,8.802918638124803,7.906142841204754,R
D27.9,2.381130822182028,0.7315488422981329,D
S42.13,5.284736500542836,3.2355537232025156,S
H33,3.918034410702279,2.5318621846040354,H
D69.2,9.377956636077203,8.670025331842936,D
H04.13,5.9461544775923105,3.846871165203334,H
C25,7.052567961622724,5.046488832032622,C
M86.10,8.964008364439852,5.582814437859141,M
H30.93,5.917050638196998,4.2840751407871815,H
M99.53,7.151564027558826,5.206521167263523,M
S98,6.7391776167188215,3.2214215363307526,S
G24.4,7.869541508516002,6.127453197625581,G
S00.93,6.317844817413137,3.5775959412896468,S
I45.81,9.95191756970779,9.061908955896897,I
T40.2X,6.9206825308134015,4.051193476482875,T
I82.5Z,7.863617077911945,5.130551181807302,I
N52.1,4.831633644046641,2.8329758983493503,N
T85.42,-1.469636628976584,0.29007194695844163,T
E11.00,7.050762789508951,5.216448212527246,E
L85.3,5.5573091038580475,3.691847800158391,L
K56.60,7.399274244732195,5.744046245118061,K
M25.50,3.7867883929302075,2.5676186766446367,M
N26,8.002639002792058,6.145738115669682,N
L41.9,4.007616019952702,1.3343412718235215,L
S20.92,5.182104017661515,3.2243486334997726,S
T88.51,6.296720864654004,4.282811727903651,T
D31.40,5.636899459065114,3.5909696512749236,D
H02.82,6.3353504939293,4.78313601811322,H
C92.01,4.103732668429564,2.152266823635,C
M75.50,5.166856219029966,3.589341547674736,M
H44.42,5.786898734999778,2.6098774993899236,H
D33,7.187985427610504,5.4332069791142645,D
Q85.9,5.111688784407086,3.1575052640733747,Q
E86.54,4.2521949752732695,1.8339368187537752,E
T22.03,4.58954469933123,2.471169081249716,T
S62.30,6.042299830127834,4.381611140822174,S
M49.80,8.141377187871253,4.365920316264424,M
T87,7.179440255168414,3.635248282399862,T
E50.0,7.661613044483206,3.738895408591858,E
S52.00,5.757844054194668,4.096278476413351,S
S81.80,9.172464492714559,5.61558063783523,S
M65.83,5.3795105758849715,3.2678231218603115,M
F90.9,-2.9291769825795217,1.414863619272949,F
M12.50,5.515262325898845,4.10212177128228,M
S82.02,7.401455237072673,5.341064670928277,S
F51.05,5.752816095875983,4.374396238714983,F
C85.91,6.37225911818271,4.652470648869352,C
H51,6.899531146826028,5.437705472643005,H
M51,5.084159040857099,3.126304794573289,M
R78.81,6.908426369627273,4.999076031402728,R
G43.71,4.370171881625191,2.430338384780495,G
G57.90,5.827803753272909,4.306890617717088,G
S00.01,8.176375156125893,6.556757462924602,S
C58,-0.2014907336408484,-0.1603184102432332,C
S20.00,6.741653460926099,5.362145378767113,S
T40.7X,5.341155119706595,3.2423939458540287,T
S74.90,5.085843816516256,3.5922343533178753,S
L64.8,4.876346239346826,3.311602110346256,L
D04.72,7.649323253915351,6.276386335581515,D
M54.14,5.923102381709987,3.8751800446109277,M
S50.01,6.874040414895993,5.26529007609604,S
M67.35,4.367595054206801,2.0497218775253883,M
D07.4,6.745212259956438,4.40174999234838,D
H53.60,5.537347855497592,3.8533935037846843,H
R29.2,5.96480306384432,4.332027874338722,R
K94.12,4.682830373105627,1.9099127685388924,K
F45.21,6.180024855342681,3.7754137207216756,F
F64,-1.9090347294997223,0.5564727145224614,F
K40,5.442703539130717,3.858556738873981,K
I21.09,9.545033097173617,9.02051160839364,I
H18.12,6.838667846801643,2.6117728441307784,H
M00.00,7.035997424333014,3.880527646520202,M
T25.29,4.322413642336415,2.1429400113597428,T
E10.59,6.969167452654131,3.3211088845428307,E
F51.8,5.229755255754304,3.908727256695457,F
H73.22,5.102959765495232,2.7453772327685444,H
D39.8,3.94917118119307,2.3069338376917674,D
N30.91,6.256103437520766,4.6597990223220584,N
Q31.3,5.680771529960245,2.9338139375040444,Q
M16.52,5.438582544558806,3.6531215954499583,M
C85.89,8.410483727602486,6.200778152293705,C
I71.9,7.598133903665045,6.473084096699284,I
S62.65,4.772535160116393,2.602674623472111,S
J85.1,6.654298804477324,5.043292968773823,J
T85.41,6.669470602400489,3.9764771370178025,T
Q62.0,7.489423006347103,3.7248314321229246,Q
D51,6.458943187216014,5.014656154893716,D
M54.42,6.203475202381738,4.447405535172102,M
R92,2.07645116414802,0.390169870894365,R
S82.25,7.15543286614849,5.277331049516075,S
N21.1,5.442448389709903,3.575987673473065,N
K27.7,6.522015160442596,4.778573443283131,K
D23.0,4.849296975604572,3.570117676561267,D
N60.32,3.9328793638044437,2.187969121421908,N
L81.6,1.951434936179392,0.6922622408346748,L
M05.89,5.990946635595429,3.9866555648636743,M
T26.50,3.2656595760240394,1.6519518095414787,T
L24.5,5.792609151492395,4.188814252022395,L
S71.12,7.07415718801309,5.753031235064537,S
G58.7,6.787585267392221,5.262946559515052,G
D68.8,7.655925245043409,6.1165623655267325,D
N44,5.420765198285754,3.2294863123454594,N
M06.08,4.542153425089736,1.954405037662933,M
M22.2X,-2.2410809995288625,1.2151981332503337,M
L29.9,5.995912643918267,4.490367270429241,L
D56.5,3.099475506576547,0.947121170779845,D
C44.79,6.706877094464983,4.653662635773879,C
S46.09,4.338751017854619,2.420977651298064,S
Q22.5,4.091239685282673,2.1426755685044143,Q
S02.91,9.554580895918068,7.4505930726041125,S
L66.4,5.486110293217414,3.521127920253916,L
C44.69,6.771081154637002,5.0076224422533615,C
T87.2,6.583454759936132,3.6941184168510195,T
R15,10.859263798892231,9.414072674633392,R
M85.42,4.2013594897226385,1.7878132959474085,M
D37.8,6.604237306893641,5.001549457148543,D
H21.1X,5.673761620196562,3.131438885462695,H
T23.27,4.348736317552134,2.520634143680309,T
T81.31,7.858881016891106,6.779828851435509,T
H66.00,1.9414782740559908,0.7891108077314656,H
C82.09,7.048215219256788,3.638895063160361,C
J84.81,5.479622889623278,2.870650792981022,J
R93.5,5.700089947365959,3.7119004425174857,R
H05.24,5.596195055063176,3.7685113266646817,H
G83.23,8.821951668782557,4.414627047352247,G
S76.91,6.022550204311606,4.3825363971546,S
S53.40,4.354668301002916,2.580947533595012,S
K92.81,6.1473696109877025,4.172007105613464,K
H43.01,6.781083016757274,4.124254240436744,H
Q84.6,3.972375900335825,1.823941923822694,Q
C72,6.827195603853159,5.1793590322156025,C
H57.89,6.09327039857219,4.4496352460929245,H
R43.8,4.8666824170380885,3.077536173748311,R
T80.91,6.755519495918492,3.937546116157605,T
N81.82,6.002603663065565,4.4708182219254695,N
S75.80,7.783629920336272,4.622066197187351,S
N81.85,4.757940852017834,3.1048094669919637,N
D21.20,4.19537396228346,2.411225843877889,D
M24.82,4.989765415545648,3.4663108839136356,M
K31.83,6.014585024053223,4.222801253567095,K
I47.9,7.566725115588299,5.6869948405490325,I
L25.2,6.2203275171752885,4.110117165214498,L
H02.10,6.9369127188485455,3.5267074903193043,H
S09.21,3.9393504921131655,1.4689700937833077,S
K06.8,8.643343792935175,6.153443618111813,K
M75.12,5.269116876446377,3.5395624685513027,M
H00.14,4.9751218237366155,3.4885226165361516,H
I23.3,4.411387119257311,1.8475893668002306,I
K73,2.979798368528948,1.9252805653985055,K
Q83.9,0.02731849761020941,0.07329372279007018,Q
F34.1,4.634700513145628,2.6727965641207763,F
S04,5.679062347130705,3.9962789937077905,S
H11.05,3.632888502801787,1.9571637710085064,H
S63.39,4.305115978431297,1.8570707095438166,S
M77.20,-0.15117033786034642,0.1289258229190118,M
H26.10,5.242445122020563,3.54699204080929,H
H65.05,4.044597834530474,2.1684058405868027,H
H16.13,5.958654425144392,4.078351743569345,H
S01.51,7.126162046167636,5.713447430155673,S
C83.19,6.773658536261192,4.1552814313227096,C
T86.41,4.983782495337449,2.91871611995407,T
K28.1,4.98265681845011,2.793104462897403,K
M1A.09,5.225367817624321,3.691705706929942,M
S77,5.347145935369483,3.9018297572498772,S
I11.0,6.8800478295413425,5.085968921484856,I
C78.7,5.359752849106118,3.7214209439995876,C
C82.92,6.438539722830116,4.324921118240639,C
E85.0,5.555933955616224,3.426541036135962,E
Q18.8,4.428683578853504,2.5444159963049495,Q
L27,6.559218814425464,4.62997408163884,L
I21,9.725867818533535,7.694964706614156,I
J98.8,6.832196010547041,5.104225593819028,J
M26.34,4.4911985594570645,1.8137292615207938,M
R06.09,7.191173128316315,5.765789673888178,R
M50.80,6.358332902417284,4.558915122197361,M
H40.9,11.916853017259301,11.524647700747346,H
N43.1,4.63619853280288,2.8173764026332795,N
E83.2,5.922661902246574,3.2612995522664017,E
M92.70,3.504730715008183,1.4083651789178433,M
C82,6.060315539806469,4.599384598219246,C
N39.49,8.68811493184683,7.367193165009419,N
N94.19,-2.755239034787556,0.7382391938216527,N
R14.2,5.644566921615296,3.851913113537088,R
N05.5,7.024755336466529,5.259856153788395,N
H35.53,4.643861631365708,2.53182958493737,H
N64.89,2.814098984170218,1.1887556328429816,N
L66.9,2.9884854508292045,1.354646320662418,L
D23.30,4.2395343050735335,2.4241868345369553,D
S10.83,5.365337296674578,2.942530926129213,S
L57.9,4.721455341566595,2.9447863248985495,L
Q99,6.003664523095724,3.929231145988236,Q
T65,5.543936569594792,3.5645833185991815,T
E05.31,5.0916198676013975,3.170670886756456,E
N60.21,-2.5733469776441167,0.41435455886104877,N
R06.6,7.39515744821885,5.658388540695241,R
E24.9,5.546714628963877,3.5821497459432523,E
R80.2,6.385655357255679,4.506292787796421,R
H74.91,6.132419755094274,3.811765363029604,H
S43.91,4.622980468536573,2.541298624302366,S
N46.01,-1.6118287480913083,0.35016865558237836,N
H95.01,5.645737877374556,3.0004887408583505,H
C16,7.319397225361737,6.082066669075957,C
C34.11,7.4767960911157045,3.67777614875303,C
H65.02,3.887499649171244,1.9952947335788906,H
S38.00,5.893883643773769,3.2411690656949386,S
K38.8,4.564282044141139,2.797793351535254,K
G93.3,5.567267016619255,3.8839875925718728,G
H52.6,5.885742465903493,3.89656403058752,H
C24.1,6.480508964899978,4.661745190381523,C
H50.69,5.155666213656978,3.078978006348554,H
