code,description,log_or,z,pval,p_two,group
F11.90,Opioid use unspecified uncomplicated,0.5780947686725919,14.33641917702344,1.2957048419123092e-46,43.37640474857467,F
F31.0,Bipolar disorder current episode hypomanic,0.6439965132818763,5.86209825476949,4.570544249971284e-09,8.340032082055783,F
H17.11,Central corneal opacity right eye,0.6889140403969329,8.536571385744166,1.3826327255793607e-17,14.794838554654257,H
H34.82,~Venous engorgement,0.4448579500309452,12.838693398989799,9.954026514659266e-38,34.58624371946836,H
R13.19,Other dysphagia,0.40235859953170167,47.57595271899472,0.0,489.73109536746114,R
Q44.1,Other congenital malformations of gallbladder,0.40177033808674956,19.609043326258647,1.294438003113946e-85,82.10576384521254,Q
H66.21,Chronic atticoantral suppurative otitis media right ear,0.7650949614271357,2.5993822329566534,0.009339171752828697,2.029691637594946,H
S05.01,~Injury of conjunctiva and corneal abrasion without foreign body,0.09248656993882254,6.671221056525353,2.5368376345160735e-11,10.595707328083844,S
S51.02,~Laceration with foreign body of right elbow,0.5246878272418618,11.243830855579526,2.4836551047468354e-29,26.303590419407115,S
H60,Otitis externa,0.3289568425979371,44.922218094433354,0.0,436.45384418566135,H
R39.9,Unspecified symptoms and signs involving the genitourinary system,0.27117255729174006,24.28816965286308,2.614311496580708e-130,126.61500011066092,R
M47.24,Other spondylosis with radiculopathy thoracic region,0.46197817690424875,8.099365316656673,5.524665185324986e-16,13.2382869600748,M
I82.89,~Acute embolism and thrombosis of other specified veins,0.5326139199024018,26.735538966725773,1.8187663552398295e-157,153.68931985052842,I
L29.8,Other pruritus,0.2737649083096026,32.14392694017987,1.0738293107057743e-226,222.75832769030853,L
D49.81,Neoplasm of unspecified behavior of retina and choroid,0.3771713632183283,6.551962716121827,5.678572158848062e-11,10.245760851170557,D
N45,Orchitis and epididymitis,-0.020263974624435077,13.315912336603333,1.8707316550494194e-40,37.280711080001595,N
Z85.59,Personal history of malignant neoplasm of other urinary tract organ,0.8410916498692532,5.670050345786496,1.4275556337239424e-08,7.84540695772414,Z
E67,Other hyperalimentation,0.4601977974802761,8.762052390692492,1.9172712508441655e-18,15.63050140331426,E
S61.41,~Laceration without foreign body of right hand,0.620523029187,22.627553533844036,2.3212891281895593e-113,109.72803156461057,S
834,nan,0.4026537830901796,14.417975008555358,3.98874507114182e-47,43.883170674487374,8
S20.00,~Contusion of breast,0.8924667173666238,13.941611839215216,3.538574859113762e-44,40.96421940993933,S
M89.79,Major osseous defect multiple sites,0.9482946834381908,3.690433899806195,0.00022387185843471033,3.6500004954993286,M
M19.22,~Secondary osteoarthritis,0.4025521787012464,3.948190804496555,7.874403418739234e-05,4.103782339349661,M
M24.80,Other specific joint derangements of unspecified joint not elsewhere classified,0.5360652516912998,10.159933068089044,2.99281833723123e-24,21.309908118633277,M
