code,description,log_or,z,pval,p_two,group
E05.40,Thyrotoxicosis factitia without thyrotoxic crisis or storm,0.04236541498523361,5.345362865232892,9.02360949554999e-08,7.044619707420729,E
I25.75,~Atherosclerosis of native coronary artery of transplanted heart with unstable angina,0.7492089521368396,7.063993178148431,1.6178469064243924e-12,9.888537031494419,I
K64.5,Perianal venous thrombosis,0.0014955478088013868,3.029387724074196,0.002450499687300678,2.610745348570082,K
Z51.12,Encounter for antineoplastic immunotherapy,0.1881834578661511,14.424324065976906,3.638166448624895e-47,43.9227437815224,Z
239.8,~ Neoplasms of unspecified nature,0.22776675387518036,5.948799996584523,2.7011545026866004e-09,8.568450573996486,other
D84.1,Defects in the complement system,0.07661423177642479,4.78105378869946,1.7437869312264452e-06,5.7585065814709235,D
H73.12,Chronic myringitis left ear,0.5339270200169858,4.099335824879974,4.1433746147800414e-05,4.382645799075154,H
M66.25,~Spontaneous rupture of extensor tendons,0.17560258954653918,3.0117241337232215,0.0025976855191849318,2.5854134266076674,M
822.0, Closed fracture of patella,0.6506336789702823,32.758293098633004,2.3134415517208198e-235,231.40857529311526,8
N81.12,Cystocele lateral,0.7760591433772885,19.72280680504969,1.3738848563147432e-86,83.07488296179449,N
I46.9,Cardiac arrest cause unspecified,0.8114941436945893,32.556286533470136,1.7059839702612284e-232,228.54622666869892,I
G90.01,Carotid sinus syncope,0.7420263211115647,11.708335682971965,1.1552502650424817e-31,28.60110144925541,G
T46.7X,~Poisoning by peripheral vasodilators,0.40724186982292276,3.097735699524831,0.0019500525777267801,2.7099536789406726,T
T83.11,~Breakdown (mechanical) of urinary electronic stimulator device,0.8430631331550714,6.863633128193884,6.713090385529217e-12,11.17307750540374,T
I74.01,Saddle embolus of abdominal aorta,0.5855670424322312,3.439349270909975,0.0005831143954969315,3.2342462369056406,I
P91.61,Mild hypoxic ischemic encephalopathy [HIE],0.9385280822295804,2.617557377662158,0.008856159783769645,2.052754556471762,P
R82.4,Acetonuria,0.17114322538207843,4.079300095559556,4.517149433843835e-05,4.345135542110665,R
M85.2,Hyperostosis of skull,0.9788779471987696,8.418343933217157,3.818434040953273e-17,14.36561580745626,M
X52.XX,~Prolonged stay in weightless environment,1.0508210823356414,3.011527178630148,0.002599371318568194,2.5851316773721744,X
M79.10,Myalgia unspecified site,0.31746476287300235,23.223476893804246,2.637643374573565e-119,115.65000801665698,M
Z98.82,Breast implant status,-0.5179627807070825,8.855130035503912,8.358630993070462e-19,15.981982935639776,Z
S61.30,~Unspecified open wound of right index finger with damage to nail,0.2853406863502354,3.4597758209921285,0.0005406252750203397,3.2671036542620273,S
G45.9,Transient cerebral ischemic attack unspecified,0.751769455820702,88.4700533353224,0.0,1697.5558145509542,G
H21.89,Other specified disorders of iris and ciliary body,0.6699068843710627,10.938340766955971,7.5570258169322135e-28,24.844069419882068,H
L29.0,Pruritus ani,-0.009143146199420998,8.212254410511743,2.1707372733843294e-16,13.632131344606657,L
M86.09,Acute hematogenous osteomyelitis multiple sites,1.3055624316522947,3.690433899806195,0.00022387185843471033,3.6500004954993286,M
H35.07,~Retinal telangiectasis,0.47454568369485406,10.712571969292025,8.88582490676066e-27,23.791689571219063,H
B58.01,Toxoplasma chorioretinitis,0.22340752670501213,3.3242145905298566,0.0008866793987550373,3.052233381882555,B
R87.81,~Cervical high risk human papillomavirus (HPV) DNA test positive,-0.1600586649128242,11.956904421794063,5.974795361315731e-33,29.869333231230417,R
X30,Exposure to excessive natural heat,0.5748765782077984,5.250620334067806,1.5158783728221855e-07,6.819335643117697,X
E21.4,Other specified disorders of parathyroid gland,0.42564274699158927,6.083538983482044,1.1755831733990452e-09,8.929746638788812,E
T50.1X,~Poisoning by loop [high-ceiling] diuretics,0.6415319224651336,5.468816141630674,4.5305140139735124e-08,7.343852521879386,T
F31.12,Bipolar disorder current episode manic without psychotic features moderate,0.6368799144614676,10.401472909984776,2.441300021084534e-25,22.37814390904801,F
H11.42,~Conjunctival edema,0.30274189892426706,8.56678553577704,1.0641381689284031e-17,14.905517881130022,H
L85,Other epidermal thickening,0.45997160709474627,121.1073306168945,0.0,3182.7142103620367,L
A41.1,Sepsis due to other specified staphylococcus,0.8689220266072821,16.64276958434993,3.414532221404728e-62,58.82654365975985,A
L76.22,Postprocedural hemorrhage of skin and subcutaneous tissue following other procedure,0.6777677315235594,11.221132102929174,3.2113281563767077e-29,26.193738885532394,L
K61.3,~Horseshoe abscess,0.40311738391914514,10.029928729189384,1.1259784928540549e-23,20.74553963404959,K
E61.2,Magnesium deficiency,0.3464568088048729,12.590090202923564,2.3939964491319392e-36,33.222001013688505,E
C00.0,Malignant neoplasm of external upper lip,0.614517512792176,6.512882647206812,7.37221066903129e-11,10.132402262832978,C
R29.90,Unspecified symptoms and signs involving the nervous system,0.9862560802770961,20.154583642260416,2.453136854852655e-90,86.80434804054428,R
F43,Reaction to severe stress and adjustment disorders,0.14771481310885332,40.03872706596057,0.0,346.4081290385898,F
R50,Fever of other and unknown origin,0.35163575737684544,89.13481867331767,0.0,1723.1901746617086,R
R77.1,Abnormality of globulin,0.6438525127977415,6.541883755655723,6.074871586127497e-11,10.216462897980788,R
N04,Nephrotic syndrome,0.3452737731700149,10.57601566334006,3.8498331214731905e-26,23.16599447339741,N
N26.9,Renal sclerosis unspecified,0.7176013045396319,36.60543894341917,2.343437890992858e-293,289.306611929366,N
E13.32,~Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,0.5020844254928377,5.990166786706988,2.09625947749603e-09,8.678554960872477,E
S04.01,~Injury of optic nerve,0.4782219758236361,5.921421202886342,3.1917122659277753e-09,8.495976267369024,S
S41,Open wound of shoulder and upper arm,0.9020478743411019,64.28779352607874,0.0,895.546072703437,S
R83.6,Abnormal cytological findings in cerebrospinal fluid,0.8205731596095858,5.546412763917944,2.9159000520097847e-08,7.535227366363852,R
H70.92,Unspecified mastoiditis left ear,0.34812707617586297,5.827348575120845,5.631490776588244e-09,8.249376622849658,H
824.0, Fracture of medial malleolus closed,0.49046724968605554,17.576779918369667,3.710602080725909e-69,65.74316256506603,8
M13.84,~Other specified arthritis,0.3378642681793909,7.51423464953546,5.724482975026272e-14,11.286996834816243,M
S00.21,~Abrasion of right eyelid and periocular area,0.4812604243889386,9.955631306971993,2.3830552916753077e-23,20.426332038310633,S
I77.4,Celiac artery compression syndrome,0.7922584236961886,24.14883754670774,7.679577125513718e-129,125.15200880461576,I
T82,Complications of cardiac and vascular prosthetic devices implants and grafts,0.409254304041393,96.86871925540464,0.0,2035.5274822838423,T
F98,Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence,0.37756838032607204,3.5520661165925937,0.0003822188060945303,3.4176879484109124,F
K83.8,Other specified diseases of biliary tract,0.4162044986982731,30.504647242251764,2.2611309536812266e-204,200.4803569250994,K
827.1, Other multiple and ill-defined fractures of lower limb open,0.6240828315138243,3.1967218875163295,0.0013899887359053187,2.856988719137261,8
H11.82,~Conjunctivochalasis,0.47523852229272934,15.754527011080189,6.393592398222877e-56,52.60159198201211,H
H53.03,~Strabismic amblyopia,0.40051073602065995,9.755736045762877,1.7433141976233021e-22,19.5795353046536,H
E83.39,Other disorders of phosphorus metabolism,0.6395115380983367,11.695373209997951,1.345941922691933e-31,28.535706583174303,E
K31.3,Pylorospasm not elsewhere classified,0.4872040834098095,2.999532696040024,0.0027039410084803224,2.568002787571727,K
M75.51,Bursitis of right shoulder,0.0063448397006784785,11.773217208467768,5.363913508709884e-32,28.929529399489493,M
S62.34,nan,0.6788250287209363,8.463593424939486,2.5926254135373158e-17,14.529166258536561,S
I44.1,Atrioventricular block second degree,0.9825027841365831,60.181826140391394,0.0,784.5976865415216,I
M21.07,~Valgus deformity,0.2855938561569531,4.091296491243289,4.28968284548799e-05,4.36757481586799,M
E13.39,Other specified diabetes mellitus with other diabetic ophthalmic complication,0.6362664281778851,2.5850998041039808,0.009735081320643492,2.011660416310439,E
M19.01,~Primary osteoarthritis,0.3323527215388145,81.21552926012751,0.0,1430.2872926144048,M
R10.31,Right lower quadrant pain,0.3331165430404655,53.46537872130121,0.0,618.8994011868224,R
820.9, Open fracture of unspecified part of neck of femur,1.0120410932103063,37.93535650575465,0.0,310.8175953486923,8
F13.20,Sedative hypnotic or anxiolytic dependence uncomplicated,0.4292831962724377,14.408983667355171,4.543470386870313e-47,43.82715854437398,F
R04.9,Hemorrhage from respiratory passages unspecified,0.59950132357694,4.351311943565911,1.3532536045199463e-05,4.868620807450617,R
W00,Fall due to ice and snow,0.37793438662181156,7.816712646790323,5.422068595398639e-15,12.27682874612825,W
N18.6,End stage renal disease,0.3590994641173609,58.91974412966667,0.0,751.9661973923915,N
P02.3,Newborn affected by placental transfusion syndromes,1.0593271849710655,2.664617549485941,0.007707592357646618,2.1130812625565665,P
G23.1,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],1.2555713865147857,5.665187825121397,1.468635739560644e-08,7.833085907351742,G
S09.8X,~Other specified injuries of head,0.6700699295159334,44.243943033062,0.0,423.32756374047165,S
N76,Other inflammation of vagina and vulva,-0.07165003706444716,12.962528840864547,1.9955846042803549e-38,35.275883211056886,N
D70,Neutropenia,0.03673103290859156,22.262563209369848,8.523222295029162e-110,106.17725409103663,D
I08.3,Combined rheumatic disorders of mitral aortic and tricuspid valves,0.800982897673697,48.83346723171041,0.0,516.0458813514794,I
A81.1,Subacute sclerosing panencephalitis,0.9444194863513313,3.690433899806195,0.00022387185843471033,3.6500004954993286,A
A41.51,Sepsis due to Escherichia coli [E. coli],0.8207641289497487,47.44964412010364,0.0,487.12592928593847,A
C76.41,Malignant neoplasm of right upper limb,1.0195966295914514,5.288813056774464,1.2311263656691772e-07,6.909697367786613,C
I51.7,Cardiomegaly,0.6678025296283246,188.89999652458295,0.0,7746.136022791967,I
I61,Nontraumatic intracerebral hemorrhage,1.1257026190085668,74.18424943618264,0.0,1193.0586614822014,I
L40.9,Psoriasis unspecified,0.02882881404908183,6.096190921374764,1.086256692564794e-09,8.964067534791834,L
E10.39,Type 1 diabetes mellitus with other diabetic ophthalmic complication,0.18199141554477288,30.884907937511944,1.9048640884525984e-209,205.54406939980367,E
D75.0,Familial erythrocytosis,0.28165520304995534,4.2217397528039164,2.4242391367936464e-05,4.615424541821199,D
B96.4,Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere,0.7400700042455741,29.542140147703545,8.285972045697315e-192,187.9441565455017,B
Z56,Problems related to employment and unemployment,-0.4743881279999719,4.813245409392087,1.4849874608053236e-06,5.828277213502356,Z
G81.02,Flaccid hemiplegia affecting left dominant side,1.4455440585409456,6.284447915038098,3.29020817554295e-10,9.482776622831379,G
Z13.82,~Encounter for screening for osteoporosis,-0.13434756543566082,6.573395622499635,4.918055347469818e-11,10.308206588048405,Z
S89.91,~Unspecified injury of right lower leg,0.6165943874010856,28.200242813560056,5.807605951891401e-175,171.138832883919,S
M25.87,~Other specified joint disorders,0.12444822390399549,9.939655401732661,2.797933408673607e-23,20.35801030343912,M
H34.10,Central retinal artery occlusion unspecified eye,0.645869345001344,6.209392713956532,5.318974808746412e-10,9.274172066541299,H
R26.89,Other abnormalities of gait and mobility,0.902532421854422,113.22767379081104,0.0,2781.785517317717,R
D17.6,Benign lipomatous neoplasm of spermatic cord,0.27496544188391026,12.66773000237616,8.92601592646429e-37,33.64515942300303,D
Z89.9,Acquired absence of limb unspecified,0.54892901636328,8.462659141027766,2.6134874202303923e-17,14.52578025204455,Z
S90.92,~Unspecified superficial injury of right foot,0.48694439761483505,12.542914021133017,4.347112064454012e-36,32.96616444829438,S
W55.01,~Bitten by cat,0.0077349821317267975,11.228317220222115,2.960633627376985e-29,26.228487155317712,W
J38.4,Edema of larynx,0.6370467840326559,14.17769646904989,1.2591219946175777e-45,42.39846660609218,J
M27.9,Disease of jaws unspecified,0.12701518143451127,14.440181332077852,2.8908059178778603e-47,44.021657534570544,M
M88.9,Osteitis deformans of unspecified bone,0.6030535357439969,19.285672036765426,7.086313039054935e-83,79.38183032611659,M
K75.9,Inflammatory liver disease unspecified,0.04401229791653177,12.052811292693198,1.8744582016979016e-33,30.36588786825274,K
S32.51,nan,0.8503531745733591,27.465191170239983,4.575565717956356e-166,162.26529623848364,S
I50.40,Unspecified combined systolic (congestive) and diastolic (congestive) heart failure,0.9881377456269468,40.68892177492815,0.0,357.7989073646197,I
365.70, Glaucoma stage unspecified,0.9153591856005843,49.859387804482054,0.0,538.0232338582656,other
D02.0,Carcinoma in situ of larynx,0.4395819094084748,4.611997331965632,3.988181151817873e-06,5.399225123317225,D
I77.6,Arteritis unspecified,0.12199261632587538,22.409145968032902,3.205255297630062e-111,107.59630631319554,I
J12.1,Respiratory syncytial virus pneumonia,0.6948270707204681,15.216589323892446,2.744719174853339e-52,48.998891759112524,J
K82.8,Other specified diseases of gallbladder,0.03217472482965378,35.75394604464863,5.744623789260738e-280,275.9376314996845,K
Z47.2,Encounter for removal of internal fixation device,0.4137421107829563,22.06524156958796,6.820336857078777e-108,104.28176945526751,Z
T23.00,~Burn of unspecified degree of right hand,0.603505308579446,6.8882520314040345,5.648208087503915e-12,11.24808931167474,T
S72.26,nan,0.9980583850723825,2.9586126515459683,0.003090272685640494,2.5100031967422014,S
M12.59,Traumatic arthropathy multiple sites,0.47307805855268037,3.4684038636641468,0.0005235598156322408,3.281033693899153,M
C43.8,Malignant melanoma of overlapping sites of skin,0.3619820910888768,7.847272644705933,4.25182250056828e-15,12.379080658789887,C
D38.2,Neoplasm of uncertain behavior of pleura,0.23799040646436112,4.934591212090826,8.031880399146953e-07,6.095182767128493,D
E75.00,GM2 gangliosidosis unspecified,1.2734033413836834,4.063098499130201,4.8425582767090855e-05,4.3149251441553895,E
R71,Abnormality of red blood cells,0.5276857326219808,16.27666540166762,1.4453315070069325e-59,56.21915768866006,R
J69,Pneumonitis due to solids and liquids,0.9549602510995687,72.08725769386547,0.0,1126.4655105049303,J
S10.11,~Abrasion of throat,0.8433454728196098,64.4982232949327,0.0,901.429433112644,S
R93.6,Abnormal findings on diagnostic imaging of limbs,0.6211792081414682,11.74747990797495,7.275637130668663e-32,28.79902775432171,R
S25,Injury of blood vessels of thorax,0.31327643545901784,6.4307801645503435,1.2695065472524284e-10,9.89636505498855,S
S72.41,nan,1.0881217893821247,7.049971983096458,1.7895381935710156e-12,9.84642763247881,S
M62.81,Muscle weakness (generalized),0.8586477656732767,203.25528635358162,0.0,8968.53520161384,M
M62.83,~Muscle spasm of back,0.33180780054073594,19.98338427198951,7.683449720049344e-89,85.31590497316007,M
M86.17,~Other acute osteomyelitis,0.5127352793435331,35.96740666881375,2.705357458436521e-283,279.259502150734,M
I35.0,Nonrheumatic aortic (valve) stenosis,1.0789875217982638,94.96150764510776,0.0,1956.0904471416738,I
C25,Malignant neoplasm of pancreas,0.2553583557247604,17.13030764834607,8.818715636826583e-66,62.389476886716146,C
R60.0,Localized edema,0.5276841797884855,113.98782811797854,0.0,2819.2880325049737,R
84.09,nan,0.30052514773743055,14.365519816212382,8.516530007375861e-47,43.55689519116177,8
D16.6,Benign neoplasm of vertebral column,0.429570895646114,6.775031836197497,1.2437886812993918e-11,10.905253399662376,D
M41.85,Other forms of scoliosis thoracolumbar region,0.6675187357228969,13.857065311167368,1.1529238333924138e-43,40.456503960022836,M
814,nan,0.7058564528382536,45.49864129316571,0.0,447.7661690256938,8
Q03,Congenital hydrocephalus,0.8811873097621647,12.511009191843819,6.499321100164934e-36,32.79369582660406,Q
G97,Intraoperative and postprocedural complications and disorders of nervous system not elsewhere classified,0.5859430938216412,50.65827040049823,0.0,555.453646434683,G
T85.39,~Other mechanical complication of prosthetic orbit of right eye,0.6865677102381182,20.626356006557607,1.5920457765935664e-94,90.97206468655462,T
S82.00,~Unspecified fracture of right patella,0.8315610241480326,18.839327724633193,3.595028404706507e-79,75.69683185678765,S
R56.00,Simple febrile convulsions,0.6617586408607156,15.612785527515957,5.957801098753995e-55,51.64006959376784,R
M19,Other and unspecified osteoarthritis,0.3989780735737345,193.58663060435637,0.0,8135.37806481139,M
M95,Other acquired deformities of musculoskeletal system and connective tissue,0.25873892920841607,15.634802781632883,4.217786763671273e-55,51.788851861994424,M
R94.13,~Abnormal response to nerve stimulation,0.30542871461063387,9.991155736023227,1.6662750568224929e-23,20.578655263166052,R
M40.05,Postural kyphosis thoracolumbar region,0.6531817999846576,4.860461213790819,1.1711258810680738e-06,5.931396421311069,M
R88,Abnormal findings in other body fluids and substances,0.7374002368844156,5.811406541902289,6.195011504592641e-09,8.207957882770328,R
N93,Other abnormal uterine and vaginal bleeding,-0.1871460596120323,19.40069246004998,7.613890786261675e-84,80.34549273150553,N
H53.42,~Scotoma of blind spot area,0.5548124925521858,7.018053430749634,2.2498051680173376e-12,9.750892509283995,H
K92.1,Melena,0.6295564076126873,94.41486703058915,0.0,1933.613694384454,K
K86.9,Disease of pancreas unspecified,0.9326619967726242,33.88253445027459,1.20469660677772e-251,247.66267318234023,K
N73.1,Chronic parametritis and pelvic cellulitis,0.20372675172711424,4.614890806060916,3.933020433158935e-06,5.40527379730113,N
N52.9,Male erectile dysfunction unspecified,0.2879504499779508,16.427512943374154,1.2154253068852742e-60,57.28641354161695,N
H18.20,Unspecified corneal edema,0.6319250381745222,35.9758724434231,1.9946553421833079e-283,279.3916546813513,H
M10.06,~Idiopathic gout,0.34617417271731615,4.35684610748933,1.3194997219226403e-05,4.879590696969112,M
E78.6,Lipoprotein deficiency,-0.22523138781922442,5.453270161884484,4.9451850537682867e-08,7.30581745202905,E
F31.31,Bipolar disorder current episode depressed mild,0.4336557212088074,10.924621187848146,8.790643310174148e-28,24.779481029148577,F
F40.02,Agoraphobia without panic disorder,0.22496259211072495,4.567562734807252,4.9342802278918205e-06,5.306776189671741,F
C82.18,Follicular lymphoma grade II lymph nodes of multiple sites,0.5082188419187981,2.587293270963276,0.009673322171164286,2.014424347755563,C
Z82,Family history of certain disabilities and chronic diseases (leading to disablement),0.07561265116955994,9.696508103417708,3.119938764132806e-22,19.33200108489271,Z
E78,Disorders of lipoprotein metabolism and other lipidemias,-0.07297108261025259,101.73834662923605,0.0,2245.5184859470896,E
H02.40,~Unspecified ptosis of right eyelid,0.44169953791770206,64.85891639461097,0.0,911.5587165839638,H
H92.03,Otalgia bilateral,9.889607284929713e-05,7.713853576548414,1.2207452146370414e-14,11.935697557108979,H
R63.0,Anorexia,0.9306116233414313,90.32992645997527,0.0,1769.7580685992602,R
E10.9,Type 1 diabetes mellitus without complications,0.5429337367212048,90.26502883682133,0.0,1767.2133752522793,E
C95.11,Chronic leukemia of unspecified cell type in remission,0.30650420928569144,3.832370108421933,0.0001269146122163598,3.8964883728651203,C
H54.60,Unqualified visual loss one eye unspecified,0.0968233465387307,16.571744150084246,1.1154293024263862e-61,58.31613435630754,H
T55,Toxic effect of soaps and detergents,0.72801337065408,3.6762815524678523,0.000236658323964193,3.6258782155224614,T
814.09, Closed fracture of other bone of wrist,0.5667470808662309,12.718927272726043,4.641889708806092e-37,33.92563999004138,8
Y83.2,Surgical operation with anastomosis bypass or graft as the cause of abnormal reaction of the patient or of later complication without mention of misadventure at the time of the procedure,0.46153116857587545,7.711402644796553,1.2444236956128073e-14,11.927626044997576,Y
M85.83,~Other specified disorders of bone density and structure,0.6011457040499409,12.040181657830479,2.1847402500664134e-33,30.30026838477752,M
J12.9,Viral pneumonia unspecified,0.5414177359513013,26.826065001678135,1.6048219572100514e-158,154.74073791193652,J
L30.1,Dyshidrosis [pompholyx],0.2792566446312078,6.316892669745112,2.6687479063490146e-10,9.57369244833776,L
N92.6,Irregular menstruation unspecified,-0.8164021807362798,9.684931739360202,3.4944188295651663e-22,19.28379929659683,N
K00.6,Disturbances in tooth eruption,0.055350413311124114,4.24736876308068,2.162957867883177e-05,4.664951940072724,K
G44.40,Drug-induced headache not elsewhere classified not intractable,0.0766588579214294,5.8108295449602245,6.216403358035726e-09,8.206460813627062,G
N90.89,Other specified noninflammatory disorders of vulva and perineum,0.2522067025557539,10.71151665267969,8.987716109545415e-27,23.786822831865614,N
Z68.29,Body mass index [BMI] 29.0-29.9 adult,0.35008923268706293,35.9657977732408,2.86665321488975e-283,279.23439047333284,Z
H43.21,Crystalline deposits in vitreous body right eye,0.5272635174370918,10.610424616021133,2.6653501925950955e-26,23.322884832661643,H
M12.85,~Other specific arthropathies,0.3568107426607605,11.061965063165893,1.9184767849284514e-28,25.42977964270406,M
S39.81,~Other specified injuries of abdomen,0.38010493322951344,38.38036995759296,0.0,318.1871817843111,S
E66.2,Morbid (severe) obesity with alveolar hypoventilation,0.6434470048439809,16.359262017502846,3.736281403957071e-60,56.80230524498864,E
B99.8,Other infectious disease,0.3432535899307857,4.020454105663432,5.808606497828552e-05,4.235928043666685,B
T80.92,~Unspecified transfusion reaction,0.6633437211843061,4.50939887910707,6.501157333340942e-06,5.187009323550587,T
H47.41,Disorders of optic chiasm in (due to) inflammatory disorders,0.7150102924136891,2.578479247319898,0.009923626030967476,2.003329610355837,H
M01.X5,~Direct infection of right hip in infectious and parasitic diseases classified elsewhere,0.2884073417688948,5.430557015780261,5.617842699296062e-08,7.250430425295375,M
D81.81,~Biotinidase deficiency,0.523909184702763,6.023360032959819,1.708328480245073e-09,8.767428618751351,D
E08.31,~Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema,0.7795487553415543,4.904211900205661,9.380318537789097e-07,6.02778241355535,E
H40.42,~Glaucoma secondary to eye inflammation,0.5241657289476572,5.859675931831139,4.637713183994142e-09,8.333696113494566,H
V45.1,~ Renal dialysis status,0.32819537569722623,2.7404012379289906,0.0061364221073162625,2.2120847741286513,V
S72.30,nan,1.0024899204120916,16.522269424046808,2.5367062398380812e-61,57.961893951643674,S
T74.91,~Unspecified adult maltreatment,0.6858540027502444,3.1579837806485296,0.001588643965140239,2.7989734226794942,T
T46,Poisoning by adverse effect of and underdosing of agents primarily affecting the cardiovascular system,0.47716017834075825,28.415469763978688,1.3023115153288556e-177,173.781519350485,T
L89.61,~Pressure ulcer of right heel,0.9341554096560734,24.18298409341674,3.360110547636551e-129,125.50976730835441,L
R19.4,Change in bowel habit,0.3543710234709691,70.04669703637833,0.0,1063.498125142521,R
R13,Aphagia and dysphagia,0.36121239584118103,131.76452153224605,0.0,3767.8684648632657,R
Z90,Acquired absence of organs not elsewhere classified,0.3100417329385462,39.123826350653665,0.0,330.6910886686576,Z
D48,Neoplasm of uncertain behavior of other and unspecified sites,0.318311316189365,94.37929051062754,0.0,1932.1553584098856,D
Z80.41,Family history of malignant neoplasm of ovary,-0.20453245034753967,9.337429445317479,9.870123932902586e-21,17.864257047993153,Z
E31,Polyglandular dysfunction,0.5292112615293095,8.11925015069584,4.690727891280815e-16,13.307252983369205,E
L73,Other follicular disorders,0.08903299163830311,7.803693797601485,6.0120964710351794e-15,12.233393671760124,L
E11.49,Type 2 diabetes mellitus with other diabetic neurological complication,0.4445814840138478,37.88494508446401,0.0,309.98819068172344,E
K09.8,Other cysts of oral region not elsewhere classified,0.3828627860057304,3.7448385105407334,0.00018050984577007854,3.7434991048552844,K
D16.30,Benign neoplasm of short bones of unspecified lower limb,0.16609880846200037,2.8978902952520547,0.0037568197429726875,2.4251796424426986,D
P01.2,Newborn affected by oligohydramnios,0.38659940553689054,4.395586829609839,1.1047389182241702e-05,4.956740346206702,P
S97.82,~Crushing injury of left foot,0.5604720678003696,2.952579086613792,0.003151313347169379,2.5015084111133272,S
S96.91,~Strain of unspecified muscle and tendon at ankle and foot level,-0.017889003356438726,2.858444482442956,0.00425723597367293,2.3708722767141617,S
H44.9,Unspecified disorder of globe,0.4911345604352635,4.774517822212039,1.801383309304188e-06,5.744393865524021,H
G24.3,Spasmodic torticollis,0.20086676247054597,9.723977743824795,2.3828675328283284e-22,19.44661484916851,G
S22.00,~Wedge compression fracture of unspecified thoracic vertebra,1.017214046748189,81.04665107361268,0.0,1424.3378100649131,S
K65.1,Peritoneal abscess,0.42729053324640887,17.253044195688688,1.0615578278365698e-66,63.30275805963705,K
V00.38,~Fall from other flat-bottomed pedestrian conveyance,0.7813709805399088,10.593982306326422,3.177785481548947e-26,23.24785009277017,V
H00.15,Chalazion left lower eyelid,0.11629120199077911,10.207061662487474,1.8436345097286163e-24,21.516330878893196,H
A18.01,Tuberculosis of spine,0.2773039970075226,3.6376048731329473,0.00027518515619980656,3.5603749961428464,A
L02.23,~Carbuncle of abdominal wall,0.5033357001125254,3.2497005902631444,0.0011552657096083627,2.93731811711799,L
A42.9,Actinomycosis unspecified,0.8453709988989904,6.873066768701567,6.283613662409428e-12,11.20179052468897,A
823.10, Open fracture of upper end of tibia alone,0.22097832932472888,2.9579884859701,0.0030965369009131392,2.509123740208757,8
S09.20,~Traumatic rupture of unspecified ear drum,0.33189979747894915,3.2037459991158683,0.001356520961325151,2.8675734910159036,S
S36.60,~Unspecified injury of rectum,0.5136637116219016,3.943411696960637,8.033057785688635e-05,4.095119108934088,S
