code,description,pos_exposed,neg_exposed,pos_absent,neg_absent,total_exposed,total_absent,prior_odds_ratio,lam,log_or,se,z,p_two,ci_low,ci_high,group
P29.89,Other cardiovascular disorders originating in the perinatal period,95,10,17757,17842,105,35599,2.1892183341418328,2.2504759876926075,4.174815753543761,2.468229609968632,1.6669161031091029,1.1775552709004584,-0.7233094580864501,8.951972824141276,P
P23.9,"Congenital pneumonia, unspecified",63,6,17789,17846,69,35635,1.707856568148903,3.888822506732825,3.6878431447046514,2.4934353921414814,1.3171116709830275,0.6957052155279201,-1.602910710543123,8.171176422206498,P
L30.8,Other specified dermatitis,132,30,17720,17822,162,35542,1.8122637857577104,0.5233887880875302,4.2028462405330425,2.1790371755161684,1.8821337939700544,1.1397593898896394,-0.1695948786295371,8.372073891341612,L
R58,"Hemorrhage, not elsewhere classified",65,15,17787,17837,80,35624,2.89468571370139,0.5233887880875302,4.000935660884632,2.256008925727698,1.734347182114724,1.2671579978478344,-0.5089935200656868,8.334398966388685,R
L53.0,Toxic erythema,36,28,17816,17824,64,35640,1.5163665780928632,1e-12,0.43713988581743535,2.0791418370385037,0.3129698828307116,0.016543078054014587,-3.4243343422195416,4.725751896472284,L
P00.2,Newborn affected by maternal infectious and parasitic diseases,930,373,16922,17479,1303,34401,1.4527260781700562,1e-12,3.259063984576814,2.067347803832583,1.6102318135704097,1.1505155624069214,-0.7230180355836957,7.380836442475983,P
L50,Urticaria,1191,881,16661,16971,2072,33632,1.1807434467510072,1e-12,0.9689344924511762,2.064356583810822,0.4012909130390685,0.18934512719087246,-3.217657017161695,4.87447209387301,L
P70.1,Syndrome of infant of a diabetic mother,283,82,17569,17770,365,35339,1.9424120814124464,0.2103382153772546,4.475704499132269,2.1261429506699185,2.181929473886836,1.4542071485117034,0.4719303604666587,8.80625757906018,P
H04.30,~Unspecified dacryocystitis of right lacrimal passage,63,47,17789,17805,110,35594,1.3105524578844596,1e-12,0.7661076447221298,2.072900468700792,0.3661551578883385,0.27395675697617455,-3.3038070637858006,4.821813460593699,H
Q75,Other congenital malformations of skull and face bones,1168,191,16684,17661,1359,34345,2.4651780519992657,0.904415825815252,6.238147807416078,2.1873103984104327,2.8033077654011462,2.278205844950524,1.844654621312236,10.418753829101046,Q
R26.0,Ataxic gait,640,136,17212,17716,776,34928,1.8169280834247703,0.5233887880875302,6.2267534973535055,2.2141796585500204,2.7165460676757034,2.2024809288417964,1.6752086585023551,10.354633430620822,R
M79.89,Other specified soft tissue disorders,202,88,17650,17764,290,35414,1.1750908654768544,1e-12,2.8895903320111462,2.0730659548242296,1.2708487892898868,0.656554786102325,-1.4285812502251731,6.697687967838084,M
Z02.89,Encounter for other administrative examinations,104,55,17748,17797,159,35545,1.233599663118872,1e-12,1.7643344904569942,2.073039468502317,0.8500317739749731,0.5080619984979096,-2.300933279863437,5.8252321137257566,Z
R06.82,"Tachypnea, not elsewhere classified",498,103,17354,17749,601,35103,1.9921770679567252,0.6280665457050362,4.441564363251081,2.109084683978019,2.091972586040117,1.5971418009888592,0.2784173195771409,8.545877361461057,R
R35.0,Frequency of micturition,67,97,17785,17755,164,35540,0.5639579090780438,1e-12,-1.0851399470294711,2.074869346435252,-0.5967482274090882,0.18474660368687368,-5.304843796229943,2.8284945870485645,R
P07.32,"Preterm newborn, gestational age 29 completed weeks",243,17,17609,17835,260,35444,2.082853850935368,3.888822506732825,4.306767461315588,2.3936222228789914,1.8321858816813812,1.1264147705088507,-0.3058525065998365,9.076974192275223,P
L20.9,"Atopic dermatitis, unspecified",1035,222,16817,17630,1257,34447,2.2117805593672992,0.5233887880875302,5.422256106666966,2.118631498331619,2.591903072934926,2.161980850448422,1.3388460577003451,9.643728924184554,L
J22,Unspecified acute lower respiratory infection,81,13,17771,17839,94,35610,1.989939650411452,1.0852989909783024,4.089365161345075,2.373584753599454,1.7738250163638034,1.1000861142379108,-0.4418166169138819,8.862464645702733,J
Z91.04,~Latex allergy status,33,13,17819,17839,46,35658,0.3535850580434161,1e-12,3.6517251131759623,2.1775911865096984,1.5773671600900687,0.5773647172312635,-0.8331394729088863,7.702861124312818,Z
T30,"Burn and corrosion, body region unspecified",74,66,17778,17786,140,35564,0.7289793447316737,1e-12,0.3684873185311395,2.0708117239890127,0.1453790745700503,0.1491175907045656,-3.7576637057394304,4.359769089824097,T
P01.1,Newborn affected by premature rupture of membranes,129,45,17723,17807,174,35530,2.5223038672582634,0.0283089967320945,6.055438833241738,2.382133448819229,2.468932179360566,1.8754064271357178,1.2124301612670827,10.550221693374835,P
K29,Gastritis and duodenitis,333,129,17519,17723,462,35242,1.7511661981938875,1e-12,3.495464849028335,2.077952997407052,1.7687792006430427,1.0214829390833624,-0.3972729947574143,7.748153078212334,K
J18.0,"Bronchopneumonia, unspecified organism",98,72,17754,17780,170,35534,1.0017254209327762,1e-12,0.5882952531755354,2.069758593599672,0.3865925110614388,0.13654255300165347,-3.2564991281569418,4.85680547213832,J
D22,Melanocytic nevi,135,31,17717,17821,166,35538,1.3770370967406451,0.4361573234062751,5.464681110153162,2.4597359166315838,2.249522749442136,1.5373129222401836,0.7122380940051309,10.354225710160172,D
B34.8,Other viral infections of unspecified site,208,29,17644,17823,237,35467,2.810129110470198,1.3023587891739627,4.760080344914902,2.281853101925338,2.046639975805196,1.370762572602413,0.197781879530817,9.142481675100152,B
R35,Polyuria,112,129,17740,17723,241,35463,0.7691177096857675,1e-12,-0.35852970685844415,2.068620725203919,-0.1948196917281185,-0.10208655946511783,-4.457430171059434,3.651414067086185,R
R45.4,Irritability and anger,369,82,17483,17770,451,35253,1.3129887221619978,0.5233887880875302,4.3445991414085325,2.1222883449272905,2.10242538974698,1.112111018953652,0.3023441798726232,8.62156162160584,R
G89,"Pain, not elsewhere classified",676,45,17176,17807,721,34983,2.4688559409010478,3.888822506732825,4.677459680898961,2.2305751681946173,2.11575883619753,1.409445991409907,0.3475121274397299,9.091206116381375,other
R00.0,"Tachycardia, unspecified",561,102,17291,17750,663,35041,1.6858524829735444,0.7536798548460434,5.492335224667206,2.191246337836182,2.50874784847171,1.9055499818210484,1.2025206321038304,9.79204843893224,R
S93.40,~Sprain of unspecified ligament of right ankle,36,30,17816,17822,66,35638,0.8912923969234648,1e-12,0.7061264066042253,2.0785103930914666,0.2282394325487218,-0.009982919135393509,-3.5994074792856474,4.548203544617282,S
D50.9,"Iron deficiency anemia, unspecified",456,208,17396,17644,664,35040,1.0324988003613498,1e-12,2.49401703619215,2.0671832235659755,1.1629716692649092,0.50696580417911,-1.6475291434477843,6.455680191821662,D
P39,Other infections specific to the perinatal period,161,59,17691,17793,220,35484,2.3689337709047766,1e-12,4.795180234288208,2.169682170123714,2.311249765268597,1.6109677925188801,0.7621784950647097,9.26717631774708,P
Q75.3,Macrocephaly,291,17,17561,17835,308,35396,4.8331992790573866,4.66658700807939,4.658133605404815,2.488691793450398,1.8826962533966825,1.0800504755347689,-0.1922955683950409,9.56319699917131,Q
L02,"Cutaneous abscess, furuncle and carbuncle",185,97,17667,17755,282,35422,1.8092755303973944,1e-12,1.8621071828941749,2.069138779819097,0.869166734281233,0.26209266349991645,-2.2570108914305624,5.853864083490603,L
R06.00,"Dyspnea, unspecified",1761,643,16091,17209,2404,33300,1.467501110687437,1e-12,5.302279712996757,2.0759021856323208,2.5924950736324908,1.909748423335545,1.313072670327382,9.45045970886204,R
Z20.1,Contact with and (suspected) exposure to tuberculosis,28,14,17824,17838,42,35662,2.205288579921433,1e-12,1.9375046629585648,2.10299414813503,0.9339363872097796,0.39059738359883556,-2.157730033010612,6.085855547075688,Z
E66,Overweight and obesity,146,39,17706,17813,185,35519,2.737603965390397,0.3028870301432467,4.4816153315526535,2.1753763836396747,2.0347437957952974,1.4100790188030872,0.162674235377688,8.689992964883189,E
P25,Interstitial emphysema and related conditions originating in the perinatal period,204,21,17648,17831,225,35479,2.070416162912278,2.2504759876926075,4.422591957178808,2.2907756718729324,1.864100346334928,1.2645624316428543,-0.2196020902175313,8.760073536845452,P
Z11,Encounter for screening for infectious and parasitic diseases,602,377,17250,17475,979,34725,1.6084905266957914,1e-12,1.2160543287236907,2.0650289571124816,0.6110622092966257,0.5331866836186305,-2.785521226178112,5.309243539767431,Z
J30.2,Other seasonal allergic rhinitis,410,249,17442,17603,659,35045,1.0968532354225948,1e-12,1.1360284318188343,2.065650842335352,0.6487277621623805,0.36987815446016875,-2.708556207255066,5.388646303969164,J
D81.9,"Combined immunodeficiency, unspecified",132,14,17720,17838,146,35558,3.694616048167156,2.2504759876926075,4.173058317953629,2.3494257880018794,1.7323988827366872,1.2937972291112547,-0.5346473186261029,8.674932539040537,D
R06.83,Snoring,343,17,17509,17835,360,35344,3.63437591203058,6.719885291634322,4.677404065075435,2.408551332844917,1.780887160344393,1.1962553325540792,-0.4313157235980949,9.010032010985867,R
R22.9,"Localized swelling, mass and lump, unspecified",143,65,17709,17787,208,35496,1.0294141240915522,1e-12,2.3461267519839515,2.07456111326292,1.154637800694278,0.6017725953669921,-1.670698384498872,6.461431746946413,R
R78,"Findings of drugs and other substances, not normally found in blood",356,143,17496,17709,499,35205,1.2892355464212586,1e-12,3.3617775601955855,2.072813429670616,1.5721637624129805,0.8972448172988068,-0.8038375084542464,7.321441829196465,R
T17.1X,~Foreign body in nostril,34,13,17818,17839,47,35657,1.2990782902467684,1e-12,4.081676681743825,2.224696618562887,1.728914245963761,1.1357170347534984,-0.5140155721305186,8.206634925692082,T
T31,Burns classified according to extent of body surface involved,59,38,17793,17814,97,35607,0.9989760561189132,1e-12,1.3712492410067207,2.075178827973493,0.5547676788538218,0.1608305515572625,-2.916033622706638,5.218517905909537,T
E16,Other disorders of pancreatic internal secretion,254,21,17598,17831,275,35429,2.482395045815736,3.2406854222773545,4.232217611001534,2.2834478218552827,1.8186358856802285,0.7843829287602253,-0.3227153395084166,8.628235643317158,E
