feature,mean_shap,std_shap,t_stat,p_value,p_two,log_or,group
T85.86,0.0,0.0,,,-0.165951229901724,0.01625174269590381,T
V20.4X,0.0,0.0,,,0.084210896309955,-0.08198467339092111,V
S60.11,0.0,0.0,,,-0.041377509371863054,-0.1600963455940382,S
P74,0.0,0.0,,,0.03791098053268153,0.24525438539774352,P
S05.70,0.0,0.0,,,0.046779761638763434,0.159969536807686,S
Z72.0,0.0,0.0,,,-0.10673025726451198,-0.17437792660394297,Z
H11.9,0.0,0.0,,,-0.17336915665194177,0.12680623280489603,H
L23.3,0.0,0.0,,,0.15305233901470403,0.24780344790337652,L
Z14.01,0.0,0.0,,,0.18844556091443143,-0.14552122315354146,Z
M23.90,0.0,0.0,,,0.1612310778342283,-0.11201170569138828,M
H92.23,0.0,0.0,,,-0.1067715023081868,0.042879366387973836,H
X10.2X,0.0,0.0,,,0.15077820902642114,0.24201857085170736,X
C81.23,0.0,0.0,,,0.07334829445231666,-0.03427151426158928,C
Y93.74,0.0,0.0,,,0.04182307043440161,-0.09394901113784258,Y
523.3,0.0,0.0,,,0.21363593365297567,-0.054851361006186115,other
C48.1,0.0,0.0,,,-0.06704360260063585,0.15189964671747402,C
J68,0.0,0.0,,,0.2005067321785744,0.02265260353939422,J
Q39.1,0.0,0.0,,,-0.3156520793284027,-0.17874518979784218,Q
D22.71,0.0,0.0,,,0.08961249294497525,-0.04564699314801519,D
O90.89,0.0,0.0,,,0.1706689020982856,-0.1601503645885054,O
M21.86,0.0,0.0,,,-0.19041716020217692,-0.16361050315828699,M
S83.22,-6.8924486e-08,7.818672e-06,-0.88153696,0.3780484477057158,0.4283759543852454,-0.13047845266206398,S
I63.44,0.0,0.0,,,-0.04789739097549788,0.05788474577678384,I
T44.6X,0.0,0.0,,,0.051100225573063394,-0.13660206542145067,T
D04.60,0.0,0.0,,,0.005069305055257762,0.002683419907148543,D
Z94,0.0,0.0,,,-0.0184889906471371,-0.012261681341527603,Z
D05.80,0.0,0.0,,,0.14940704100915245,0.16330290583548607,D
M24.15,0.0,0.0,,,0.22970335145692675,-0.32150355195295316,M
T83.19,0.0,0.0,,,-0.18121742661935614,0.05532918859673995,T
K51.90,0.0,0.0,,,-0.14335106700050432,0.1593888122435729,K
M89,0.0,0.0,,,0.05790909723904538,0.0525979679846738,M
R39.19,0.0,0.0,,,-0.3428877535852214,0.04436389150943371,R
Y93.G9,0.0,0.0,,,0.01225393733558119,0.0634513175272157,Y
V25.1,0.0,0.0,,,-0.05362688503838329,0.26582001186013005,V
Q79,0.0,0.0,,,-0.44051097617418766,0.11628807976907289,Q
A07.3,0.0,0.0,,,-0.03731865540971847,-0.0516453415825583,A
K59.89,0.0,0.0,,,0.15239973463546522,-0.22391610478098953,K
S52.00,0.0,0.0,,,0.09865905493014866,0.06117331857016668,S
S83.26,0.0,0.0,,,-0.026211865737971407,0.28664462151208514,S
Q31,0.0,0.0,,,-0.010827859899046935,-0.3077183354821655,Q
I71.00,0.0,0.0,,,-0.05485124806153805,-0.02737532241824265,I
I77.0,0.0,0.0,,,-0.10796198009062,-0.058502358716987383,I
E85.52,0.0,0.0,,,0.13357314417599822,0.056962012096395134,E
M05.31,0.0,0.0,,,0.1727327304963365,0.03735893055813919,M
Z94.82,0.0,0.0,,,0.23656202343039695,0.04130621058838902,Z
J33.0,0.0,0.0,,,0.1980551550726908,0.12558196870799146,J
Z85.02,0.0,0.0,,,0.022659669929774542,-0.23753195107216613,Z
H94.81,0.0,0.0,,,0.26992657067076303,0.10250646222429392,H
S09.12,0.0,0.0,,,-0.05273167185861431,-0.24358114555162266,S
S01.33,0.0,0.0,,,-0.10871667267779367,-0.11198944955998763,S
833,0.0,0.0,,,-0.03273045028449967,-0.1636213962306121,8
D34,0.0,0.0,,,-0.03677411396103106,0.35085679674289827,D
K80,-2.71297e-07,8.078726e-06,-3.3581657,0.0007875450121936,3.2386255493177813,-0.6536006464945963,K
I40.8,0.0,0.0,,,0.203749479654813,-0.10962200817553691,I
A51.32,0.0,0.0,,,-0.1288379230496157,-0.10571361339956532,A
T25.62,0.0,0.0,,,0.12935283917037413,-0.21745020995769784,T
M12,0.0,0.0,,,0.06616871365394017,-0.2152648580701966,M
J04.31,0.0,0.0,,,0.20925625303001874,0.0966258035201056,J
O23,0.0,0.0,,,0.14579870243069828,0.026645910436910305,O
V43.62,0.0,0.0,,,-0.16893054203881228,-0.06211059625197356,V
Z02.89,0.0,0.0,,,0.019603715660862744,0.03263478117569524,Z
F31.32,0.0,0.0,,,0.15028585582141096,0.026726848311961187,F
M79.89,0.0,0.0,,,-0.1406297761276118,-0.03854064647575919,M
T67,0.0,0.0,,,0.0705801922055137,-0.22026641977845487,T
K08.41,0.0,0.0,,,0.11566757329588802,-0.07839546379175909,K
H47.63,0.0,0.0,,,0.18734649974853357,-0.30704794346173864,H
S62.92,0.0,0.0,,,0.002615297258496805,-0.06528204936945234,S
F19.94,0.0,0.0,,,-0.0054298610921276955,0.10147234525053926,F
Q39.5,0.0,0.0,,,0.3011653314635964,-0.006065033418434537,Q
N97,0.0,0.0,,,0.05243388417427194,0.2629317175979336,N
Z92.23,0.0,0.0,,,-0.050469463295533847,-0.19861532748910676,Z
M66.25,0.0,0.0,,,-0.009007489285801359,-0.1948051679267897,M
C83.89,0.0,0.0,,,0.05398221300906285,-0.24689410105549184,C
E98.9,0.0,0.0,,,0.3040608213841999,-0.24626389175942884,E
I50.41,0.0,0.0,,,0.13490271496618716,-0.11801471835542857,I
