code,description,pos_exposed,neg_exposed,pos_absent,neg_absent,total_exposed,total_absent,prior_odds_ratio,lam,log_or,se,z,p_two,ci_low,ci_high,group
V85.4,~ Body Mass Index 40.0-44.9,25,10,13262,13277,35,26539,3.501992113694241,0.1460682051230935,3.8596092327670086,2.9377907502621143,1.3366061854592317,0.8880839890369892,-1.8312947762433895,9.684633353013908,V
D84,Other immunodeficiencies,117,8,13170,13279,125,26449,2.4323815231816432,1.0852989909783024,5.318744297391341,3.1571300650007563,1.6230207417999305,0.8330712991521319,-1.0637736418536925,11.311948801966471,D
E04.9,"Nontoxic goiter, unspecified",117,49,13170,13238,166,26408,1.340153977218944,0.1460682051230935,4.036804102559704,2.9199707672141595,1.3515243067011415,0.8589185606656761,-1.7766260729028254,9.66944900639626,E
R14.3,Flatulence,18,3,13269,13284,21,26553,5.792990439965359,0.1460682051230935,5.8153212084965125,3.017977440602373,1.9649186527904987,1.456934951139699,0.0149530770055106,11.845207256475554,R
M13.0,"Polyarthritis, unspecified",105,26,13182,13261,131,26443,2.517175572519084,0.1460682051230935,4.969871655061785,2.9235467994783257,1.723732787124603,1.0843173898233633,-0.6906329611408744,10.76945990704885,M
D50,Iron deficiency anemia,1806,322,11481,12965,2128,24446,1.937004808216764,0.2103382153772546,6.315184534545717,2.916442825498174,2.165312298878691,1.516295761223459,0.5988866180810604,12.03113241997437,D
H66.01,~Acute suppurative otitis media with spontaneous rupture of ear drum,9,6,13278,13281,15,26559,3.451532625189681,0.1460682051230935,2.628463716433348,2.980981663266235,0.9075090041364732,0.2906688904442525,-3.1373489979963,8.547884399155956,H
Z88.8,"Allergy status to other drugs, medicaments and biological substances",81,20,13206,13267,101,26473,1.0241409876951275,0.1460682051230935,4.943249307734464,2.926032586272944,1.710427521575275,1.0477417249536114,-0.730151822098235,10.739685151272884,Z
S05,Injury of eye and orbit,181,95,13106,13192,276,26298,0.5232369527467616,0.1460682051230935,3.4772045833160514,2.9181912853943928,1.2003587614152291,0.8824469676635256,-2.2166733424629275,9.222426296280386,S
N64,Other disorders of breast,416,477,12871,12810,893,25681,1.029821240930308,0.2103382153772546,-3.127029312715439,2.9731820968889577,-1.056815095677236,0.5096257754542963,-8.969433551571184,2.685226107192085,N
I36,Nonrheumatic tricuspid valve disorders,1123,104,12164,13183,1227,25347,4.1045484967877774,0.4361573234062751,6.799309602369792,2.949433322864145,2.284469624247909,1.7003661350097639,0.957107747211694,12.518673922443735,I
L71,Rosacea,279,278,13008,13009,557,26017,1.057757805557576,0.1460682051230935,-0.05798986232146951,2.9288686603887597,0.0311716879223924,-0.2536034462055984,-5.649179309962729,5.831774869657357,L
K12.2,Cellulitis and abscess of mouth,27,14,13260,13273,41,26533,1.4741449749037,0.1460682051230935,3.4838070957540683,2.9348904063674617,1.148667035509768,0.6893731896874933,-2.381067632424178,9.12349135768052,K
S52.60,No Data,6,1,13281,13286,7,26567,7.093790924397696,0.1460682051230935,5.960789268173222,3.2137070268238093,1.83904549700474,1.2283825854998207,-0.388596593065146,12.20890346581078,S
Y83,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",75,7,13212,13280,82,26492,4.60668449920294,0.5233887880875302,5.274485622554132,3.1222617000625843,1.7176401599447628,0.9392221843967501,-0.7565983965465612,11.48244256831637,Y
H25.9,Unspecified age-related cataract,460,82,12827,13205,542,26032,1.611656210820542,0.1460682051230935,7.337899407704712,2.9194796205366385,2.410007398174431,1.7034984661699153,1.3138925744623036,12.758042394163256,H
R11.0,Nausea,1062,253,12225,13034,1315,25259,1.500841549534102,0.1752818461477122,5.389429492098298,2.916324719775991,1.886915720653332,1.1618939144918963,-0.213032457709569,11.218750378260047,R
E50,Vitamin A deficiency,3,4,13284,13283,7,26567,6.813712962223465,0.6280665457050362,-0.8219643088821876,3.2235005211229093,-0.2396094976352499,-0.03799394444041901,-7.090326266040225,5.545563585053771,E
Z08,Encounter for follow-up examination after completed treatment for malignant neoplasm,485,128,12802,13159,613,25961,1.9332536309339872,0.1460682051230935,5.9345004236593715,2.9175619253447818,2.037797618211705,1.5137506160687908,0.2270844461116423,11.663717038793862,Z
H27,Other disorders of lens,123,10,13164,13277,133,26441,3.298969271902972,0.7536798548460434,5.233843127320635,3.079790134771693,1.6839809354855482,1.1704507408932476,-0.849969871842279,11.222585616346276,H
H50.01,~Monocular esotropia,4,2,13283,13285,6,26568,6.5549067440118325,0.1460682051230935,3.3181636179619067,3.045682674367968,1.1265527165686344,0.36315912494898533,-2.538306259483592,9.400550440714108,H
S41.10,~Unspecified open wound of right upper arm,16,3,13271,13284,19,26555,10.69272710180804,0.1460682051230935,5.731495461852919,3.0018029228329697,1.8550140425883697,1.2269527334817325,-0.3150390425017164,11.45181219237766,S
Z79.89,~Hormone replacement therapy,3161,1593,10126,11694,4754,21820,1.8518878897656204,0.2524058584527056,3.17792140015419,2.915344608067868,1.1107043360251925,0.7946144014259975,-2.4758845371474143,8.952056331524705,Z
H43.21,"Crystalline deposits in vitreous body, right eye",6,1,13281,13286,7,26567,53.74035584947252,0.1460682051230935,5.851933440775671,3.2137070268238093,1.83904549700474,1.140383102269519,-0.388596593065146,12.20890346581078,H
M21.70,"Unequal limb length (acquired), unspecified site",10,2,13277,13285,12,26562,5.952017162890482,0.1460682051230935,5.324466455734445,3.035947000199461,1.7742395966383484,1.256449539313188,-0.5638493983140647,11.336844160412657,M
R76.8,Other specified abnormal immunological findings in serum,141,51,13146,13236,192,26382,3.847661424544003,0.1460682051230935,4.427521399130507,2.9195032726074595,1.4703821217821025,1.0711211972519359,-1.4293358505310962,10.014906683583792,R
G44.89,Other headache syndrome,23,8,13264,13279,31,26543,3.611905997479428,0.1460682051230935,4.168572922381684,2.941920878347639,1.4298309998814631,0.8269394700456263,-1.5596092958678571,9.972508637987772,G
H81.31,~Aural vertigo,26,20,13261,13267,46,26528,1.6639407852685304,0.1460682051230935,2.2432745412761963,2.9434723994030945,0.7542206171917512,0.32051836586665,-3.549072322553076,7.989127462082449,H
H10,Conjunctivitis,844,523,12443,12764,1367,25207,1.381036476133606,0.1460682051230935,3.992039412757962,2.9164474952943547,1.357282408446372,0.5881240414169351,-1.7576891730584734,9.674574934099494,H
M31.6,Other giant cell arteritis,66,4,13221,13283,70,26504,1.5585955354041354,1.8753966564105065,4.248044649429538,3.2340381252542603,1.3109936610648816,0.9834106782478772,-2.0987947682772976,10.578401731978277,M
N40,Benign prostatic hyperplasia,2407,721,10880,12566,3128,23446,2.084565257292983,0.2524058584527056,4.470276136898677,2.915470671376652,1.441213758688246,0.7174750778735423,-1.5124010692409602,9.916033958521137,N
Q44.1,Other congenital malformations of gallbladder,20,4,13267,13283,24,26550,3.863837111861029,0.1460682051230935,5.45116490541288,2.976181657331696,1.815246779634519,0.8693352880286523,-0.4307046907401659,11.23571302889754,Q
N20.1,Calculus of ureter,206,149,13081,13138,355,26219,1.4308539711459018,0.1460682051230935,2.649925687482664,2.9184309580853327,0.8760998644618343,0.5230396675114843,-3.163182602394195,8.276856536033758,N
K63.9,"Disease of intestine, unspecified",102,42,13185,13245,144,26430,1.6379031325858282,0.1460682051230935,3.9938518503549214,2.920700588151825,1.3568858178639982,0.6397168235628855,-1.761410756112281,9.68752516869278,K
M75.10,~Unspecified rotator cuff tear or rupture of unspecified shoulder,578,320,12709,12967,898,25676,1.6602952314728787,0.1460682051230935,3.74726113679233,2.916446803291821,1.3428603940051915,0.8275757984185588,-1.7997497939153049,9.632511600642577,M
K29.40,Chronic atrophic gastritis without bleeding,426,114,12861,13173,540,26034,2.594203332448651,0.1460682051230935,5.6073701378567895,2.9175239948793457,1.938507656655651,1.1896763943015036,-0.0625993514447449,11.373884556545132,K
H69,Other and unspecified disorders of Eustachian tube,344,215,12943,13072,559,26015,0.9983708592673044,0.1460682051230935,3.0685537318134477,2.916938871793991,1.0898343794173826,0.645450196188987,-2.538114868681076,8.896075398961164,H
R71,Abnormality of red blood cells,52,11,13235,13276,63,26511,2.8447989448465267,0.1460682051230935,5.420550678024364,2.936519478643934,1.8097878663946203,1.2185345349176797,-0.4409950961611981,11.069949739923697,R
J91,Pleural effusion in conditions classified elsewhere,1770,24,11517,13263,1794,24780,5.826011335087363,11.611961783944109,5.799662151672975,3.183968853101182,1.78000199238725,1.020507870395295,-0.5729933777565677,11.907935182194668,J
Z76.0,Encounter for issue of repeat prescription,67,33,13220,13254,100,26474,0.3844419467693678,0.1460682051230935,3.518443508245294,2.9231602154803,1.2073680169773406,0.548715319624173,-2.199958590710226,9.258618896053235,Z
R94.5,Abnormal results of liver function studies,329,184,12958,13103,513,26061,1.3116582491582491,0.1460682051230935,3.4508330684434156,2.9169460808626937,1.2020005357514298,0.8116649221268095,-2.2109385113811486,9.223280015291133,R
R94.09,Abnormal results of other function studies of central nervous system,35,8,13252,13279,43,26531,6.280122256591545,0.1460682051230935,5.25610408396514,2.943074941846981,1.7340286884904763,1.1061521838931996,-0.664944508282292,10.871697271362503,R
H26.01,~Infantile and juvenile cortical,22,10,13265,13277,32,26542,2.029688476300991,0.1460682051230935,3.686855687985226,2.9396762318889653,1.2440235409036833,0.5097645587562767,-2.10463310560588,9.418685975815697,H
R10.0,Acute abdomen,30,4,13257,13283,34,26540,2.2903299448077674,0.1460682051230935,7.095403727139346,3.071232480674283,2.277102990326289,1.6976508027721269,0.9740076154594348,13.01301771600184,R
Z68.41,"Body mass index [BMI] 40.0-44.9, adult",172,51,13115,13236,223,26351,1.1975482130625446,0.1460682051230935,4.425157278466748,2.919390163321841,1.6327041542310166,0.9452733112223952,-0.9553991294545794,10.488400024408053,Z
E83.52,Hypercalcemia,195,74,13092,13213,269,26305,1.5395421011079955,0.1460682051230935,3.9142747271613434,2.9182639633704217,1.4645429024701253,0.8494265354228108,-1.4457694904986529,9.993615040675632,E
S13,Dislocation and sprain of joints and ligaments at neck level,250,267,13037,13020,517,26057,1.0488573680063042,0.1752818461477122,-1.1710072194464596,2.944594772065663,-0.483661757636358,0.2656177920478649,-7.195487585297738,4.347111819329519,S
R68.82,Decreased libido,38,52,13249,13235,90,26484,0.6998665579360961,0.363464436171896,-2.432918890663141,3.042170633888837,-0.7648964415911054,0.3912844535007377,-8.289490369822035,3.6355993846729775,R
S81.80,~Unspecified open wound,63,6,13224,13281,69,26505,2.193217767032741,0.5233887880875302,5.148562813389528,3.1225004996416343,1.6600713198046169,0.982093964927119,-0.936414995475264,11.303562046536593,S
M05,Rheumatoid arthritis with rheumatoid factor,171,12,13116,13275,183,26391,9.680900665264115,0.904415825815252,6.125092286134146,3.192901805023744,1.836528505438356,1.1302961337954411,-0.3941173640277835,12.121827724011151,M
H60,Otitis externa,388,225,12899,13062,613,25961,1.6992314243997402,0.1460682051230935,3.4930635717980425,2.9167376853427984,1.1895750257354814,0.7891079785525984,-2.247022508517297,9.186379122727914,H
S72,Fracture of femur,126,6,13161,13281,132,26442,3.171467138335505,2.7005711852311287,4.062705459583151,3.1922076561363277,1.3704105322460014,0.8610186067708495,-1.881977044114678,10.631247030285769,S
V43,"Car occupant injured in collision with car, pick-up truck or van",6,2,13281,13285,8,26566,5.283763277693475,0.1460682051230935,4.283152529363515,3.0196595120453944,1.4138191504303692,0.8270266264116791,-1.6491714432737634,10.18767633509177,V
R40,"Somnolence, stupor and coma",796,129,12491,13158,925,25649,2.276089092788871,0.1752818461477122,6.176689979491141,2.917798942526202,2.0865836293878672,1.4084626265676157,0.3694506658399925,11.807012348800814,R
H05.01,~Cellulitis of right orbit,13,5,13274,13282,18,26556,4.582177340298387,0.1460682051230935,3.9650331183509606,2.959390005203665,1.3488295938410555,0.8405933540455492,-1.8085850076708476,9.792010645143126,H
F44,Dissociative and conversion disorders,40,4,13247,13283,44,26530,3.65009204161137,0.4361573234062751,5.445255075898066,3.2244131317118216,1.6693750981434183,0.9851495104650252,-0.9369786212268272,11.702488597639526,F
F51.02,Adjustment insomnia,24,18,13263,13269,42,26532,1.1444062470624572,0.1460682051230935,2.243307643559343,2.9443401119448,0.7873963231074582,0.3114334890457505,-3.4524379995253014,8.089163155771576,F
M43.16,"Spondylolisthesis, lumbar region",149,22,13138,13265,171,26403,2.215577208660084,0.1460682051230935,6.670125632242535,2.934264713599673,2.268222552281357,1.7180622282247817,0.9045122379880794,12.406618557512273,M
Z80.8,Family history of malignant neoplasm of other organs or systems,27,32,13260,13255,59,26515,2.419665700153505,0.2524058584527056,-1.7720949018910819,3.095952123520316,-0.5920125154844804,-0.02078582020491121,-7.900797064424901,4.235112255495339,Z
S32.10,~Unspecified fracture of sacrum,44,4,13243,13283,48,26526,5.033316611089798,0.6280665457050362,4.716337955573651,3.207105381880796,1.5430220852255374,0.8644782281962097,-1.337176609223187,11.234445476998689,S
M41.86,"Other forms of scoliosis, lumbar region",25,3,13262,13284,28,26546,5.15859910175566,0.2103382153772546,6.1096208895908735,3.2248861241829427,1.912834377260004,1.1931392845335658,-0.1519876165556244,12.48933369872744,M
L97.20,~Non-pressure chronic ulcer of unspecified calf limited to breakdown of skin,71,5,13216,13282,76,26498,12.527093053157488,1.0852989909783024,4.896223735407226,3.2352210905857857,1.5170462390202275,1.0071362677574676,-1.4329368317004505,11.248896807444622,L
284,No Data,76,4,13211,13283,80,26494,4.065546218487395,3.2406854222773545,3.896187390638974,3.2472951680087294,1.1879477928650537,0.6286344421063383,-2.506964448850729,10.222198704085375,other
M54.40,"Lumbago with sciatica, unspecified side",41,14,13246,13273,55,26519,2.1229632766954007,0.1460682051230935,4.485364234949339,2.930428393542897,1.45632829813581,0.7056603239642826,-1.4758683154404633,10.011199905794829,M
J20.8,Acute bronchitis due to other specified organisms,81,26,13206,13261,107,26467,4.010728880828162,0.1460682051230935,4.278701910361818,2.9233310179791823,1.5224069107782154,0.722843435632726,-1.2791241658641876,10.180122854391833,J
C79.52,Secondary malignant neoplasm of bone marrow,65,9,13222,13278,74,26500,1.2002401163261498,0.1460682051230935,6.579143743838122,2.973641471802377,2.2920828984490527,1.6485502533112801,0.9876025759697616,12.644062951304436,C
D75.9,"Disease of blood and blood-forming organs, unspecified",84,13,13203,13274,97,26477,1.0820756693608296,0.1460682051230935,6.611593377578004,2.943377027432244,2.1470942640049,1.4793198489927017,0.5507949657138038,12.088620899093325,D
825.25, Closed fracture of metatarsal bone(s),104,67,13183,13220,171,26403,0.3403686954431407,0.1460682051230935,2.8000940706066184,2.920782705115517,0.9841681424265412,0.6373744390893534,-2.85008761936878,8.599170198018992,8
L08.9,"Local infection of the skin and subcutaneous tissue, unspecified",403,110,12884,13177,513,26061,1.7751818220036155,0.1460682051230935,5.7281656323315255,2.9175153694428,1.892796913907072,1.1664088059465958,-0.195960960892175,11.24048913600774,L
J45.21,Mild intermittent asthma with (acute) exacerbation,142,28,13145,13259,170,26404,1.4175165816751658,0.1460682051230935,5.5333430310722544,2.924174430011312,1.9354601827819904,1.4508628918625472,-0.0716533905389953,11.390899744131229,J
T87.89,Other complications of amputation stump,12,2,13275,13285,14,26560,7.505113149040048,0.1460682051230935,5.920939100972947,3.0680791766123,1.9295678370835252,1.2848243425163077,-0.0932577870606126,11.93339158869421,T
D17.79,Benign lipomatous neoplasm of other sites,57,38,13230,13249,95,26479,1.8869419692334968,0.1460682051230935,2.8273897702938324,2.925677409029143,0.9356169055891744,0.6361093903901228,-2.99690910789158,8.47153559626758,D
Q21.2,Atrioventricular septal defect,2,1,13285,13286,3,26571,30.466571454074803,0.1460682051230935,3.393163874351532,3.170820364920048,1.0814748545890271,0.6766087441561421,-2.78553122360961,9.64385620976928,Q
D21.9,"Benign neoplasm of connective and other soft tissue, unspecified",23,17,13264,13270,40,26534,1.1123696705663515,0.1460682051230935,2.2314008194266903,2.944831836848962,0.8056019793833901,0.3993848152843339,-3.39940198403415,8.144126697467646,D
N41,Inflammatory diseases of prostate,260,151,13027,13136,411,26163,0.9614913353008218,0.1460682051230935,2.8934740778423764,2.9173667090523185,1.1371630475860552,0.40360249742786725,-2.400412061646652,9.035455297230722,N
L59.9,"Disorder of the skin and subcutaneous tissue related to radiation, unspecified",14,4,13273,13283,18,26556,7.093790924397696,0.1460682051230935,4.574297641992347,2.9673168807481027,1.547237149848331,0.9126782561124765,-1.2246913037184814,10.406977130249553,L
E27.2,Addisonian crisis,82,10,13205,13277,92,26482,1.3438267347220307,0.1460682051230935,8.000147048095185,3.051826096634669,2.6204751752453106,1.9106371979188657,2.01576528891354,13.978703761880352,E
K80.51,Calculus of bile duct without cholangitis or cholecystitis with obstruction,16,3,13271,13284,19,26555,3.7517978491785975,0.1460682051230935,5.667405480514956,3.0018029228329697,1.8550140425883697,1.1494351810128225,-0.3150390425017164,11.45181219237766,K
M65.35,~Trigger finger,5,3,13282,13284,8,26566,4.623103186646434,0.1460682051230935,3.1158481293616824,3.0241086948748053,0.9907217909598196,0.7286034975638587,-2.931093745045517,8.923194509532575,M
M23.92,Unspecified internal derangement of left knee,9,5,13278,13282,14,26560,2.500692749224781,0.1460682051230935,3.193731099270101,2.9744955252144014,1.0731453695381357,0.5613839951279279,-2.637838002000039,9.021970201191518,M
J35,Chronic diseases of tonsils and adenoids,41,49,13246,13238,90,26484,0.8206373292867982,0.2524058584527056,-1.9839341174731255,3.0685086879483205,-0.6832536520340514,0.2760185551232959,-8.110736281965869,3.917596747288058,J
I70.22,~Atherosclerosis of native arteries of extremities with rest pain,195,7,13092,13280,202,26372,3.320084232692814,3.888822506732825,4.737944748289663,3.236905016185473,1.4236979624588335,0.6961376762901709,-1.7358421768845318,10.952592329316603,I
H16.10,~Unspecified superficial keratitis,63,25,13224,13262,88,26486,2.7801204819277108,0.1460682051230935,4.2944901575712855,2.924228005712489,1.36455629605335,0.7508808748099048,-1.7411078374893578,9.721655310070377,H
C80,Malignant neoplasm without specification of site,179,16,13108,13271,195,26379,3.615252293577982,0.5233887880875302,6.048636871765865,3.060105596819805,1.9256995380022064,1.2063627360617022,-0.1048528246224007,11.89054069269013,C
Z88.0,Allergy status to penicillin,114,50,13173,13237,164,26410,1.2803494863484248,0.1460682051230935,4.039208240508318,2.920011827370254,1.315794226195002,0.8415884753734906,-1.8809833132017904,9.565252718951584,Z
M77.31,"Calcaneal spur, right foot",27,19,13260,13268,46,26528,2.0489288357066795,0.1460682051230935,2.915522856071098,2.938676115683173,0.8663401498707973,0.1632547099279964,-3.213806242484388,8.305592455449773,M
E78.89,Other lipoprotein metabolism disorders,40,18,13247,13269,58,26516,1.1196027038212166,0.1460682051230935,3.7908438228525223,2.928721338944701,1.2628167634716687,0.6586012041716071,-2.041749942728979,9.4386267474421,E
M11,Other crystal arthropathies,77,10,13210,13277,87,26487,3.862498866624354,0.1460682051230935,7.363157748445648,2.989827558245652,2.436053683946636,1.9027419619535824,1.4234261034826874,13.143334771776304,M
V93,"Other injury due to accident on board watercraft, without accident to watercraft",261,17,13026,13270,278,26296,1.6615547872522507,1.0852989909783024,5.6355307144581275,3.0885149899001174,1.814653477971501,1.036481146918357,-0.4487936777269548,11.65796261410568,V
M21.6X,~Other acquired deformities of right foot,225,94,13062,13193,319,26255,2.6108304044599677,0.1460682051230935,4.138655820866069,2.917756149532305,1.407257809003338,1.0782820641669897,-1.6126618425567347,9.824732094950429,M
E06,Thyroiditis,128,109,13159,13178,237,26337,0.8977184113225363,0.1460682051230935,1.834101745513672,2.9228916820163886,0.604172915083272,0.35818869291470207,-3.962830439467332,7.494694415460311,E
H53.2,Diplopia,150,41,13137,13246,191,26383,0.846665123260868,0.1460682051230935,5.118278969835315,2.920410745597948,1.678710941263942,1.154330240985775,-0.8213744098156823,10.626425353055806,H
L02.42,~Furuncle of right axilla,11,6,13276,13281,17,26557,2.2504717292340177,0.1460682051230935,3.2272871403083543,2.963607324305646,1.0925222031904265,0.5436954939902258,-2.5707568166164934,9.046370423299871,L
H00,Hordeolum and chalazion,285,195,13002,13092,480,26094,1.517835201335039,0.1460682051230935,2.9564038437759974,2.9174067218971205,0.9653731406232344,0.6759342089923942,-2.901626013580259,8.534398192766576,H
H65.03,"Acute serous otitis media, bilateral",16,4,13271,13283,20,26554,2.193217767032741,0.1460682051230935,5.020683534330076,2.968641756406181,1.6420390620954437,0.6773628151919843,-0.9438052001712663,10.69305665094442,H
G31.9,"Degenerative disease of nervous system, unspecified",460,17,12827,13270,477,26097,2.3419443611045017,2.7005711852311287,5.731392511652892,3.1803080561336774,1.7825620672929543,1.1817723058347627,-0.5641927465945109,11.902385752934682,G
Z96.65,~Presence of right artificial knee joint,609,117,12678,13170,726,25848,2.251127016315733,0.1460682051230935,8.839068117226558,2.925806464846908,3.0175631494761985,2.6207273452791977,3.0943304739868625,14.563281067655655,Z
T88.7X,~Unspecified adverse effect of drug or medicament,35,5,13252,13282,40,26534,4.266464032421479,0.1460682051230935,6.727740897923758,3.0074283324075552,2.1912217232335798,1.8431131278677664,0.6954910754354113,12.484393510643736,T
K11.7,Disturbances of salivary secretion,83,14,13204,13273,97,26477,3.18929186316341,0.1460682051230935,5.989482255130256,2.9370813068524018,2.0446930932749074,1.5179823108449166,0.2488562814114017,11.762003443604488,K
R34,Anuria and oliguria,33,4,13254,13283,37,26537,3.982771098400841,0.1752818461477122,6.836112172801391,3.185736651390245,2.145933586075585,1.5935058769488066,0.5924501756561797,13.080308377564409,R
T63.00,~Toxic effect of unspecified snake venom,42,56,13245,13231,98,26476,2.0898791540785497,0.363464436171896,-1.9592512948779195,2.988666972127659,-0.612830610195271,0.21023028619380477,-7.689226231354032,4.026133022955139,T
R58,"Hemorrhage, not elsewhere classified",177,17,13110,13270,194,26380,2.8217623276776247,0.4361573234062751,5.500655660295208,3.026814535186325,1.93488691547445,0.9547853263928874,-0.0759036371476415,11.78899131654744,R
R23.3,Spontaneous ecchymoses,82,10,13205,13277,92,26482,2.546338437623777,0.1460682051230935,7.742948081972047,3.051826096634669,2.6204751752453106,2.1335558060348516,2.01576528891354,13.978703761880352,R
I97,"Intraoperative and postprocedural complications and disorders of circulatory system, not elsewhere classified",214,30,13073,13257,244,26330,2.0204894673094738,0.1460682051230935,6.9766129971027615,2.932098233656937,2.4131004164277945,1.5690818034885685,1.32864053154365,12.82225440574586,I
I12.9,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",1409,48,11878,13239,1457,25117,3.760873942811116,2.7005711852311287,6.8636897086615685,3.1892480978104056,2.1702686830765567,1.713748272646503,0.6707138597681324,13.172336678710677,I
R16.1,"Splenomegaly, not elsewhere classified",145,15,13142,13272,160,26414,1.818360970920452,0.3028870301432467,6.571063245250249,3.0916484817260863,2.160977091697513,1.5994430439220295,0.6214618675504013,12.740501221632538,R
H72,Perforation of tympanic membrane,79,18,13208,13269,97,26477,2.294257889845233,0.1460682051230935,5.317916278290468,2.927663349918738,1.7704846230542373,1.0698405178435328,-0.5547317821880293,10.921497667209197,H
D04.10,"Carcinoma in situ of skin of unspecified eyelid, including canthus",5,2,13282,13285,7,26567,8.928784469677149,0.1460682051230935,3.9455674297335492,3.0265154019796765,1.2895323046954628,0.6778692420236279,-2.029071805024763,9.834650568047095,D
D69.9,"Hemorrhagic condition, unspecified",26,6,13261,13281,32,26542,8.03951367781155,0.1460682051230935,5.075209066991446,2.952123911234666,1.7164983139071817,0.8498440845677608,-0.7187408278400866,10.853372259998844,D
H90.5,Unspecified sensorineural hearing loss,608,167,12679,13120,775,25799,2.4544919047173392,0.1460682051230935,6.707196698796917,2.918479029135422,2.28975526963804,1.375904228156281,0.9624889495500932,12.402716523031796,H
S37,Injury of urinary and pelvic organs,84,10,13203,13277,94,26480,7.724126214691824,0.1460682051230935,8.262808734200073,3.122305948719009,2.710360231521984,2.1705956799910466,2.342966665848098,14.58218108225694,S
N40.3,Nodular prostate with lower urinary tract symptoms,49,10,13238,13277,59,26515,2.4909252981061494,0.1460682051230935,5.3373585892094075,2.939317249399995,1.8367388489578969,1.3206299501509717,-0.3621977665762879,11.159714129346362,N
B02,Zoster [herpes zoster],461,167,12826,13120,628,25946,1.2110112710833023,0.1460682051230935,5.007747949861333,2.9169074384143854,1.7015085087620303,0.8940855165475261,-0.7538906997958454,10.680176351262515,B
S91.32,~Laceration with foreign body,49,7,13238,13280,56,26518,2.129994941831057,0.1460682051230935,6.535022301215112,2.9813753563427663,2.218829600013576,1.6915933839687118,0.7717755665772605,12.458552212231442,S
B19,Unspecified viral hepatitis,106,42,13181,13245,148,26426,0.7353870782809981,0.1460682051230935,4.343873310026315,2.92059331491233,1.3867018979517556,0.52328777205273,-1.674265417782478,9.774250003650751,B
H15.11,~Episcleritis periodica fugax,7,4,13280,13283,11,26563,3.27669464666449,0.1460682051230935,3.142839949741813,2.9918390775185424,1.0433325261109023,0.6161343539101133,-2.74241381701115,8.985379861940615,H
