code,description,pos_exposed,neg_exposed,pos_absent,neg_absent,total_exposed,total_absent,prior_odds_ratio,lam,log_or,se,z,p_two,ci_low,ci_high,group
M83.9,"Adult osteomalacia, unspecified",18,11,13269,13276,29,26545,3.8826884327721047,0.1460682051230935,2.8756175646869226,2.9461461804794022,1.0039375411958562,0.36182992661743263,-2.8165936544958163,8.732087159363925,M
L70.8,Other acne,79,113,13208,13174,192,26382,0.8427217204472208,0.4361573234062751,-1.981656296962966,2.949322158023908,-0.6365869117293719,0.09937554588082984,-7.658065092804255,3.903065324261364,L
G57.01,"Lesion of sciatic nerve, right lower limb",10,2,13277,13285,12,26562,5.567918155563171,0.1460682051230935,5.500808193372219,3.035947000199461,1.7742395966383484,1.1757778938168957,-0.5638493983140647,11.336844160412657,G
J12,"Viral pneumonia, not elsewhere classified",167,11,13120,13276,178,26396,11.42533936651584,1.0852989909783024,5.309152913243413,3.152088268427682,1.7347900426027918,1.1414537251080934,-0.7097681407360605,11.646190823682897,J
E86.0,Dehydration,1263,128,12024,13159,1391,25183,2.362480283911672,0.3028870301432467,7.719477377282956,2.953875757913294,2.6141582973607926,1.8866400374662202,1.9324087216059267,13.511388922237948,E
C85.90,"Non-Hodgkin lymphoma, unspecified, unspecified site",40,3,13247,13284,43,26531,5.107745519337596,1.5628305470087551,3.890584764627199,3.222524457915152,1.2021766856122966,0.5146950555133504,-2.4419881046921583,10.190075648934158,C
N43,Hydrocele and spermatocele,116,57,13171,13230,173,26401,1.111911397207939,0.1460682051230935,3.6037275316176633,2.919819428740678,1.2290376512686718,0.593098904363591,-2.134172908863966,9.31130893452012,N
M41,Scoliosis,415,90,12872,13197,505,26069,2.3280475035820563,0.1460682051230935,6.212337668691039,2.9182836396902663,2.119450527069802,1.2176418273545706,0.4654269678153291,11.9048886287461,M
H65.02,"Acute serous otitis media, left ear",9,9,13278,13278,18,26556,2.2025570658315305,0.1752818461477122,0.02312557914508408,3.133094219714628,7.087070779035039e-17,0.19265300924016635,-6.140751830811294,6.140751830811294,H
Z90.79,Acquired absence of other genital organ(s),34,32,13253,13255,66,26508,0.7916793508192607,0.1460682051230935,1.0296574023888183,2.966404744858476,0.3279916097292007,0.0614270427892407,-4.84109059611687,6.787002330865811,Z
R65.10,Systemic inflammatory response syndrome (SIRS) of non-infectious origin without acute organ dysfunction,92,5,13195,13282,97,26477,3.689093446116237,2.2504759876926075,4.344179178458538,3.201042476504476,1.3350773167604966,0.6884462762869763,-2.000288766563705,10.547567167299649,R
B00,Herpesviral [herpes simplex] infections,204,125,13083,13162,329,26245,1.5968087369690094,0.1460682051230935,3.157471742853917,2.9179855399223924,1.064461179761019,0.4321957933526352,-2.6130642353051687,8.825228896007937,B
R23.4,Changes in skin texture,38,14,13249,13273,52,26522,1.1099793548555166,0.1460682051230935,4.027498677432989,2.9307830639361585,1.4024008606749436,0.8439829716899326,-1.634096560499204,9.85436194313044,R
