code,log_or,p_two,group
R92.8,2.3341355299405047,1.4449644192715625,R
C67,7.424429434949127,6.596484037396073,C
N47.1,8.038978046813742,6.799440962732902,N
C21.8,5.172202441367141,3.679831005271237,C
I21.29,8.936824346182663,8.223253083606606,I
G89,4.911336216933717,3.0035797250018157,G
D49.81,5.558430457280584,3.5662664844405443,D
R13.11,8.115072305736375,7.215970497178911,R
D27.9,2.2900823266896944,0.9432409137102359,D
H33,5.675287012453819,4.234211387162451,H
D69.2,10.761695527641823,9.690333204336511,D
C25,6.519095780809432,5.100202873910493,C
H30.93,5.400518400868949,3.731556779263931,H
S98,7.461396628202381,4.187168526523819,S
S00.93,6.312358966567044,3.6002602050490786,S
I45.81,9.695075506452094,8.88433080778566,I
I82.5Z,7.547290374501193,4.638114751814409,I
N52.1,3.9274898257798365,2.267820364856265,N
E11.00,6.299976034260394,4.847049117013663,E
L85.3,5.739316279062975,3.9662321209780167,L
K56.60,7.712130361081934,6.461643573863569,K
M25.50,4.122685087992809,2.627163296867676,M
N26,8.085072869619797,6.513061873410732,N
D31.40,5.083192844526531,3.4556987369159935,D
H02.82,5.448248658589432,3.610600034875494,H
C92.01,3.105421228939854,1.1832191756345756,C
M75.50,5.694036401146341,4.2160709773340646,M
D33,6.5326168366144195,5.038689258903182,D
S62.30,6.253287379323386,4.7227807426518345,S
S81.80,7.1274312495556185,4.672486674989555,S
M65.83,4.270941284527645,2.3743762952133713,M
M12.50,4.625271891000434,2.8819032823497124,M
H51,7.173187890931898,5.388103705096853,H
M51,10.657173224856566,9.208925235390724,M
R78.81,7.258741046715135,5.4419127457151015,R
G43.71,3.9459644503794165,2.393078903385652,G
G57.90,7.876774776400655,7.083432265322785,G
S00.01,7.225939103944987,5.873027969850635,S
S20.00,5.688942254404051,3.8238300701595294,S
S74.90,5.411724704721807,3.5240550534350614,S
L64.8,3.9963454332365678,2.7308550884304945,L
D04.72,6.881116770933135,5.4976364337389985,D
M54.14,9.106930547795573,8.629021790234459,M
S50.01,7.157940288100431,5.660785862544676,S
R29.2,5.440313454699593,3.6833987234765178,R
K40,5.338117007109379,3.5682786336991055,K
I21.09,7.920276128662943,6.486069511266684,I
D39.8,3.916494035970544,2.288578907943508,D
N30.91,5.87637561323719,4.138869667994369,N
I71.9,10.537673231126492,9.248636783875765,I
D51,6.981132823228235,5.3483859243516605,D
M54.42,5.380200559718962,3.758650715906075,M
R92,3.8236178754134533,2.16097828061918,R
N21.1,4.47068634860009,2.5073497946942385,N
K27.7,5.941918803875594,4.490054817728726,K
D23.0,4.299170971053994,2.4535473773633396,D
N60.32,-2.118556996804887,0.4963660562262381,N
L81.6,1.9950733339844602,1.1955587550456381,L
M05.89,5.608081690375783,3.942564896844113,M
S71.12,6.67428668199225,5.257639287873417,S
G58.7,6.161001504940921,4.092033687579667,G
D68.8,7.8866460185243055,7.177836870200991,D
N44,5.096176353718073,3.191410279637328,N
M22.2X,-2.1444716349028283,0.512739595980504,M
L29.9,5.734474722776338,4.146616224451609,L
S46.09,3.7129573188936904,2.358162238589365,S
R15,10.255282758945658,8.349281317047804,R
D37.8,5.989042429504192,4.5695961224249775,D
H66.00,1.4736511441169313,0.42721302272949696,H
R93.5,9.776305558396377,9.416619462261663,R
H05.24,4.629548137158265,3.0521821365828705,H
S76.91,5.31531355762943,3.856426835997793,S
S53.40,4.0936104165817255,2.336306258036963,S
H57.89,5.365530888637916,3.9735922810551965,H
R43.8,4.047859590110997,2.2121992751930337,R
N81.82,5.326436243075688,3.720869991245436,N
D21.20,3.7544988893984956,2.471053204811522,D
I47.9,6.93282065419907,5.737035432689036,I
L25.2,4.834205928767294,3.4899154096763088,L
H02.10,6.575998916225392,3.7021619218424977,H
M75.12,5.115904100562982,3.517294327230819,M
H00.14,4.756510713982594,2.842959244137287,H
K73,2.7765360488759523,0.9109534309509991,K
S04,5.591057588687683,3.935240816672969,S
H11.05,3.0294848107616312,1.4509209725699164,H
H26.10,5.151778825578589,3.5914375678850963,H
H16.13,5.172217280626423,3.3066305875077973,H
S01.51,6.809008508448009,5.278395822277289,S
M1A.09,5.414367329714161,3.971072939709396,M
I11.0,6.017003604048842,4.301070582116068,I
C78.7,5.094076264144851,3.3603779592197354,C
L27,5.7184062684000425,3.8113918106663185,L
I21,11.363371887698236,10.575042458810243,I
J98.8,5.732504474112295,4.341923666802639,J
R06.09,7.1528528869761665,5.702274969665157,R
H40.9,12.734250618973851,9.144384219542072,H
M92.70,2.1288287522979004,0.7504332117757326,M
C82,6.244144225992318,4.776298162417477,C
N39.49,8.019433804297812,6.827277183408877,N
N94.19,-2.659837935221455,0.9545234693100666,N
R14.2,5.504920200566302,3.910327861590474,R
H35.53,4.151672379261816,2.1476815823608573,H
