method,p_sel,q_sel,n,theta,detK,bias_mean,bias_sd,rmse,cover_95,se_mean,feasible_rate,lam_median
lambda-OR,0.85,0.6,5000,0.25,0.44999999999999996,-0.009376776106684394,0.20927791364318707,0.20284930674720664,0.5,0.0717597005660821,1.0,0.0
lambda-OR,0.85,0.6,5000,0.4,0.44999999999999996,0.11097626788407247,0.14361264449599975,0.17790808501559427,0.625,0.0724611727043004,1.0,0.0
lambda-OR,0.85,0.6,5000,0.7,0.44999999999999996,0.010840229282712752,0.2695014112942119,0.2611686870441698,0.4375,0.07400001418280992,1.0,0.0
lambda-OR,0.85,0.6,5000,1.1,0.44999999999999996,-0.036911931727180526,0.2769401350401791,0.2706747849360005,0.4375,0.07657387373724217,1.0,0.0
lambda-OR,0.85,0.6,5000,1.4,0.44999999999999996,-0.010414715075343459,0.2416141161827077,0.23417357047215986,0.5,0.08044665985567824,1.0,0.0
lambda-OR,0.85,0.6,10000,0.25,0.44999999999999996,-0.05238572135031216,0.10442676675481587,0.11387560785931386,0.5,0.05047814418387112,1.0,0.0
lambda-OR,0.85,0.6,10000,0.4,0.44999999999999996,-0.07792191857654832,0.12026915687685685,0.14011585780891597,0.5,0.0500933144293044,1.0,0.0
lambda-OR,0.85,0.6,10000,0.7,0.44999999999999996,-0.0504013431443626,0.1265693842213535,0.13250987264744693,0.5,0.05134666548162512,1.0,0.0
lambda-OR,0.85,0.6,10000,1.1,0.44999999999999996,-0.03940323310392382,0.12250429619212383,0.12498784322074802,0.6875,0.05363348359490994,1.0,0.0
lambda-OR,0.85,0.6,10000,1.4,0.44999999999999996,0.03432722366841939,0.21956011327920258,0.21534178976457274,0.375,0.0578529255918883,1.0,0.0
lambda-OR,0.85,0.6,20000,0.25,0.44999999999999996,0.024372168057879232,0.08974704662509721,0.09025035556798887,0.5,0.03568006560285934,1.0,0.0
lambda-OR,0.85,0.6,20000,0.4,0.44999999999999996,-0.07101999766923414,0.10883728312018642,0.1270789011937472,0.3125,0.03565388957706816,1.0,0.0
