code,log_or,p_two,group
M83.9,2.7601422641951574,0.346369673893496,M
M41,6.171865518635969,1.365895596386015,M
H65.02,-0.10356151551606364,0.23467246658908683,H
Z90.79,0.6649676030874103,0.5093955509408375,Z
R65.10,4.231800896201131,0.6162541382148148,R
R23.4,4.203747176812251,0.9988802055229818,R
R14.3,5.934488610578439,1.3072512542313617,R
M13.0,5.14055726193867,1.1206002735839875,M
H66.01,2.59242493885263,0.5083531860518019,H
Z88.8,5.201012036375244,1.077153217466259,Z
S05,3.614211240242246,0.7956398300387761,S
K12.2,3.3969004655131845,0.578213215030356,K
S52.60,6.058934613760284,0.9615073829056995,S
H25.9,6.8659748117561765,1.8600845073038734,H
R11.0,5.4174413836319655,1.2962731920182342,R
Z08,6.05522760581288,1.3046656550250137,Z
H27,4.992319604550468,1.118906251258115,H
H50.01,3.3498477028787823,0.5744818808497478,H
S41.10,5.614205670763237,1.2008264010703842,S
Z79.89,3.2797375794652828,0.8251505385023463,Z
H43.21,5.949619647651165,1.28576297541471,H
M21.70,5.410558188809704,1.0165136085432567,M
R76.8,4.461140827463755,0.6897159758264865,R
H81.31,2.219552160806544,0.5824166596030831,H
H10,3.8114236630224108,0.9057085576646234,H
M31.6,4.274215809575503,0.6801607387345346,M
K63.9,3.9049051553306953,0.8032509776526752,K
M75.10,3.7737903913458988,0.610240053638233,M
K29.40,5.792580586060391,1.3043522399240834,K
H69,3.193520755684772,0.6268939101347841,H
R71,5.32885401501551,1.2960469642689683,R
Z76.0,3.3864665602317108,0.4577560697772888,Z
R94.5,3.426815157932737,0.7647725536858183,R
R94.09,4.99695194426014,1.0775569644891958,R
H26.01,3.5978579672490234,0.576132617264742,H
R10.0,7.071085614453958,1.920138750825862,R
Z68.41,4.626382413052255,1.1199275616475861,Z
S13,-1.4672613770409766,0.24728048229395522,S
R68.82,-2.2275938584121957,0.3007503966720194,R
S81.80,5.101498399819379,0.9319336982707926,S
M05,5.948468457388147,1.0703921576099271,M
H60,3.2170366446330236,0.5090570723566199,H
S72,4.449373045582214,0.8213485059601249,S
R40,6.350726589512772,1.2072459357913106,R
H05.01,3.9689445176053932,0.5417474977453376,H
M43.16,6.471654913528321,1.5848179395352973,M
Z80.8,-1.857997048792012,0.2843187134917321,Z
S32.10,4.8329823612263,0.9984575560739429,S
M41.86,6.318998839320596,1.2448947634842746,M
M54.40,3.990041462056506,0.8662573343614677,M
K80.51,5.400758474118352,1.098560578126554,K
M65.35,2.9625473404653806,0.43722220777764287,M
M23.92,3.2611233738138843,0.37188312687502656,M
H16.10,4.042516794029551,0.6678714308494774,H
Z88.0,3.9198447939179455,0.6318617864055398,Z
M77.31,2.46728964876248,0.49707855451623706,M
M11,7.363252617823984,1.8434181831387508,M
M21.6X,4.076887050390841,1.0052836580876086,M
H53.2,5.005026852586059,0.9446695471410924,H
H00,2.96555260038711,0.2901545756875938,H
H65.03,5.0049289079853,1.0065197022450423,H
Z96.65,9.074816630125225,2.626991118678939,Z
K11.7,5.943023909060653,1.087902369131389,K
R34,7.1503969398953675,1.2719231159192204,R
R58,5.8202517080970635,1.2334848663955622,R
R23.3,7.7231909288467016,1.9680300663602133,R
R16.1,6.8270484783624275,1.52393182668296,R
H72,5.120179348564399,1.321518301156577,H
H90.5,6.800839519380646,1.7049785188640518,H
S37,8.397412871564983,2.0756786167083274,S
S91.32,6.7747727831389986,1.3910181762629756,S
H15.11,2.9556668236118067,0.2974423566120158,H
M23.90,1.0063958574668448,0.4031840317634428,M
R63.6,4.436520647606516,0.7414969009927608,R
Z13.5,4.3552830479292695,0.8264837095768992,Z
R93.8,6.322069665969736,1.2165194140255209,R
R09,8.829953352476549,2.4396417557141383,R
S16.1X,3.820861616032648,0.7624873467226032,S
