code,description,odds_ratio,log_or,se,z,p_two
rxIDD,Antibiotics - Cephalosporin & Rel.,1.0030108530779902,0.0030063295373978145,0.022384261689455013,0.13430550353215645,0.04907024799444093
rxIBX009,Mebendazole,0.9642316169104388,-0.036423746726360964,0.2699324505544931,-0.1349365244954417,0.04931292264495792
rxIDB004,Terbinafine Hydrochloride,0.969587941479104,-0.03088410033775546,0.17575254428529274,-0.17572491176925678,0.0652440465293478
rxIDD019,Ceftriaxone,0.9573392725069868,-0.043597433629175175,0.20883280311429894,-0.20876717153154004,0.07850600905868345
rxVCX000,Multivit. W/ Fluoride And Iron,1.029585779203776,0.029156565242249226,0.1394288946822174,0.20911422491515902,0.07864700848114865
rxSAK,Antiinflam S/MM Agnts&Comb NEC - Scabic/Pediculic,0.9597837350754673,-0.04104729586175127,0.14328055464147155,-0.2864819721312722,0.1109735316673315
rxIDB011,Isavuconazonium,1.021410140553519,0.02118416327446614,0.07277645089288266,0.29108541313242153,0.11295351042906189
rxSAX016,Fluticasone Propionate,1.0364933618433465,0.03584324847699653,0.10120794989726141,0.35415447613929396,0.14072769988899891
rxSLX017,Diclofenac,1.153975530552309,0.14321296383363732,0.37908028672425403,0.3777905864511798,0.15144994193543462
rxSLX015,Dextranomer,0.9296156003244811,-0.07298411126488817,0.19111295787989044,-0.381889915129443,0.15332707612958962
rxSAX009,Desoximetasone,0.9146881268495609,-0.0891721167806237,0.21129298398474466,-0.4220306566689499,0.1719832315322749
rxLDA004,Tobramycin,0.91090649349029,-0.09331502860348273,0.21615912863985373,-0.4316959880003792,0.1765503008627108
rxIDD013,Cefdinir,0.9896033942102659,-0.010451028028712355,0.023768142533440294,-0.43970739463584124,0.1803579998741417
rxVCX,Multivit Prep - NEC,0.944508882024757,-0.05709018814116121,0.12775038860399637,-0.44688856734620747,0.18378819389332718
rxIDG010,Ampicillin,1.1292857310977014,0.121585336493397,0.2468637940911242,0.4925199215261049,0.205964020478598
rxSAK001,Pyrethrins/Piperony Butox,1.0837602987819754,0.08043675198047295,0.15167846578991548,0.5303109545680866,0.22482927272585515
rxLDA013,Moxifloxacin,1.0202769148483002,0.020074075596148475,0.03720872766640986,0.5394991136520458,0.22948487505388124
rxSLX,S/MM Miscellaneousellaneous - NEC,1.0743158297879427,0.07168402156080372,0.12626615105010194,0.5677216020654638,0.24395449182236947
rxKAX009,Levocetirizine,1.1399189318758662,0.13095714748820722,0.20922786361118612,0.6259068234409184,0.27459801675509155
rxSGX007,"Emoll/Moist, Misc.",1.1350617572165371,0.12668706109763225,0.19050538949217607,0.6650051289117739,0.29580896297132436
rxIJX,Sulfonamides & Comb - NEC,0.973188444119108,-0.027177542250225773,0.04058676100912758,-0.6696159430932122,0.2983433967552491
rxLHX019,Olopatadine,1.1217166603599271,0.11486024433570916,0.16963932904345655,0.6770849954628468,0.3024637697808624
rxNGX002,Hydroxyzine,1.0565400970483758,0.05499951007350017,0.07610631936730078,0.7226667973268304,0.3280087707435031
rxSAE,Antiinflam S/MM Agnts&Comb NEC - Antivirals & Comb,0.7645344140234713,-0.2684882395529551,0.3685901963087451,-0.7284193726304624,0.33128158585764816
rxIJX001,Sulfamethoxazole/Trimethoprim,0.9706749950206462,-0.02976357833547201,0.040666038038755244,-0.7319025843409419,0.3332686416936423
rxTAX010,Hyoscyamine,1.1129344484228907,0.10700017426325716,0.13961045501373692,0.766419493817486,0.3531781237313074
rxLFX015,Fluticasone Furoate,0.7823892808558153,-0.24540286069303938,0.3148745424619341,-0.7793671053057797,0.36074915420791104
rxCAX,Antihyperlipidemic Drugs - NEC,1.1505820165326435,0.14026791568180694,0.17683851053218336,0.7931977896651599,0.368898733016629
rxIHX024,Ritonavir,1.1257608205590621,0.11845909202016096,0.14067196591765774,0.8420945228667731,0.3982277732439137
rxIBX,Anthelmintics - NEC,1.2505614192679093,0.2235925858974171,0.23740736856629854,0.9418097982707578,0.4605600148048793
rxNAH000,Phenylbutazone,0.7995958688819039,-0.2236488428500989,0.2238577383356527,-0.9990668382200816,0.4978976102477358
rxIFX,Antimalarial Agents - NEC,1.211343181098447,0.19172981096334157,0.17930154018936023,1.069314913641321,0.5452651862904659
rxSAX015,Mometasone Furoate,1.0919806865060873,0.08799319081657103,0.08078362873455612,1.089245335904686,0.5590189954606444
rxCAX007,Cholestyramine,1.2272424953140464,0.2047697788947908,0.1853778403153523,1.1046076410559658,0.5697158515031109
rxKAX004,Brompheniramine,1.0749849524688737,0.07230666377828407,0.06254264107410275,1.1561178507414256,0.606191559142348
rxIFX002,Mefloquine,1.246193211111559,0.22009347344147126,0.18474806252798448,1.1913168150715132,0.6316587429967162
rxSAC009,Clioquinol,0.8075832499928784,-0.21370913323293642,0.17538594781104963,-1.2185077305233936,0.6516345952947179
rxSGX,Emoll/Moist/Demul/Protect S/MM - ,1.239921446288732,0.21504802784311267,0.16457846411449853,1.3066595863569492,0.7182206740621508
rxNGX,Anxiolytic/Sedative/Hypnot NEC - ,1.104248177467164,0.0991647210219246,0.07533455984117711,1.3163244230932927,0.7256916131763653
rxLDB009,"Sod.Sulfacetamide/Prednis,EENT",1.1598666333297751,0.14830502724113526,0.10911786027131372,1.3591269740112706,0.7591853724566724
rxIDB,Antibiotics - Antifungals,0.9189356098447007,-0.08453922453849301,0.061330052854805986,-1.378430648651696,0.7745088538098652
rxVCA002,"Vitamins W/Fluoride, Misc Prep",0.9209417892601425,-0.0823584485677708,0.0592300424277492,-1.3904843756989438,0.7841461611145113
rxSAC025,Econazole Nitrate,0.7168679255411298,-0.332863659616413,0.2283734692439529,-1.4575408462216848,0.8387304146783842
rxKAX011,Loratadine,1.4625229940150788,0.3801630224037515,0.2547342956759318,1.4923904195742366,0.8677504790010799
rxSAC013,Cycloheximide,1.1560755548367072,0.14503112696967185,0.09252027698816856,1.5675604493512092,0.931874467127105
rxSAC002,Luliconazole,0.6067683928070807,-0.4996081211849693,0.30765238302591913,-1.6239371080797975,0.9813442983122547
rxSAX008,Fluocinonide,1.5427916549724014,0.4335935383227888,0.2623088212541177,1.6529887795985905,1.0073000610109188
rxVCX001,Vitamin A-D-C W/Fluoride&Iron,0.5922271228393676,-0.5238650642294186,0.31567262219172765,-1.6595201084978561,1.0131788750216117
rxTHX022,Midodrine,0.9017765659579151,-0.10338849918562447,0.06193084742386049,-1.6694184479347416,1.0221187967484686
