code,log_or,sig,group
I80.23,1.7333419119334394,2.0731155516782036,I
A18.31,-0.8604222760128332,0.5209288966992031,A
R92.8,0.25280077652125627,99.23266288217826,R
C67,2.473562733979286,500.9450989341493,C
S96.01,0.3087306231273166,0.4414058518156159,S
B95.5,1.9573754579930707,32.27107721054314,B
C84.63,0.9811663416566031,0.4107014358646869,C
N47.1,2.291316340615762,127.52452143057309,N
C21.8,1.467372380356954,11.506464776958271,C
T63.39,-0.5509599266813814,0.40880506287944707,T
S22.06,3.4714880911253547,41.42753543257415,S
I21.29,2.6074101985631457,141.34636516625116,I
K08.24,-1.0331516696113798,0.5730270202321094,K
T87.40,3.719055206268393,13.775324913092227,T
G89,1.5438515509094053,3598.273266966338,G
D49.81,1.5192143809655907,12.221099631193225,D
C85.85,2.08603903841741,11.236928325204964,C
A69.8,-0.06948767389934288,0.4272698910320422,A
C81.15,0.38586661523225146,0.062306389813385855,C
S49.81,3.343646290441518,5.1183327207118685,S
R13.11,2.4315234660196374,127.62494851176817,R
814.09,2.1472510390899724,15.901484524383639,8
D27.9,0.07904768897182173,1.494821395751165,D
Z85.05,1.0055969581018411,5.023482501918673,Z
S42.13,0.8497316727792354,1.2971903431577394,S
H33,0.8672657209694952,256.047393536103,H
D69.2,2.669896074278681,320.9841914701696,D
H04.13,0.48761796229884974,1.1355333402024994,H
C25,1.812218108642837,63.96392994145229,C
B96.81,0.9478813708937731,143.51076225184636,B
M86.10,3.2065793054044804,6.016980869479136,M
H30.93,1.3655906597166112,20.77196580820498,H
M99.53,2.1211283907824554,17.150000231208686,M
J82.83,0.180445879951929,0.44742360655129193,J
S98,2.726162856178702,44.40962430638354,S
G24.4,2.3169635780765354,13.895784975956557,G
A39.9,3.206312520841554,34.9077738869863,A
S00.93,3.1114820090176782,64.43911500030885,S
S52.29,1.7389100671343567,1.964201964038066,S
I45.81,2.707320659632881,91.29236273657303,I
B06,0.4054581691157787,1.2642084172281058,B
T40.2X,3.252035145151622,36.04573304300448,T
M24.25,1.4922902773748323,0.867932151056982,M
I82.5Z,2.6844677473380045,43.16006246187955,I
N52.1,0.5881744529404794,7.35957084474287,N
A69.20,-0.0560955970584765,0.9958266153739543,A
T85.42,0.47892225582307846,0.6624905492658778,T
E11.00,1.9561869939686731,91.75546048205733,E
L85.3,1.833116401305044,1241.610833009084,L
C85.14,1.79507355343126,1.687403689725672,C
M67.24,0.9172694795344905,0.3589558912606561,M
K56.60,2.123370538702024,731.4742380499866,K
M25.50,0.8336102044159184,881.5258329216358,M
N26,2.7956222710869447,173.88822293417155,N
L41.9,0.9159758455935315,0.7424524018042431,L
S20.92,1.6952969010835983,3.1054805277179125,S
A48.1,2.150409932102214,6.269809207060477,A
T88.51,1.2399453978642196,6.259656939754291,T
D31.40,1.030042913267084,13.41170049227298,D
H02.82,1.4020951138221256,99.23256210184985,H
C92.01,0.35238428775468295,0.5165638781303996,C
M75.50,1.5520545110626904,13.027578057129285,M
M89.69,1.6751136925585257,2.304775838780277,M
H59.89,3.6184006515623133,3.6891594269537524,H
H44.42,2.4835082194137192,8.812776795272336,H
D33,1.4449042572342927,159.8042225036105,D
Q85.9,2.5059934160981903,1.8326672654595446,Q
E86.54,-1.1984598517958367,0.33766037055071435,E
T22.03,1.5153918832017372,1.3917976515399573,T
S62.30,1.7322832368228527,19.400513619787418,S
M49.80,2.835400616545666,8.92863809835495,M
T87,2.963377554161915,49.79171908522552,T
S72.24,2.9077264576261235,1.960068283112971,S
E50.0,0.34716974688239444,0.42799290846641,E
S52.00,1.4211778200355027,3.8728384742156674,S
S46.90,2.1028970189233993,2.0368409098941656,S
S81.80,2.996015566268192,136.2878267351529,S
M65.83,0.8732070841660352,4.436437489808832,M
F90.9,-0.537283635145897,8.284275860434661,F
Z91.14,1.5595362965269723,32.31060999854595,Z
M12.50,0.8656799377902445,6.376403270263526,M
S82.02,2.0354479293437873,5.222847904956016,S
F51.05,1.4687796494181031,25.104656808596243,F
C85.91,2.3884007532175167,4.6591461463882435,C
H51,1.8944889339612954,95.28426553182179,H
M51,1.5065060340080727,5616.609506053733,M
Z71.81,-0.0955014074034139,0.023263768387824874,Z
I97.41,2.0283996374397213,2.4131472813443358,I
R78.81,3.4058356845284288,342.86770641171495,R
G43.71,0.7658007538073144,12.648814671217448,G
Z11.52,0.8916809205661369,7.546459081078492,Z
