code,description,odds_ratio,log_or,se,z,p_two
rxDP,Diagnostic Agents - Roentgenography,1.0,0.0,1.0000752700313436,0.0,-0.0
rxIEX002,Retapamulin,1.0,0.0,0.534663340920176,0.0,-0.0
rxIDB002,Nystatin,1.0,0.0,0.534663340920176,0.0,-0.0
rxNAI010,Morphine Sulfate,1.0,0.0,0.2628999230828384,0.0,-0.0
rxDPX008,Barium Sulfate,1.0,0.0,1.0000752700313436,0.0,-0.0
rxIDG010,Ampicillin,1.0,0.0,0.08218695640001168,0.0,-0.0
rxNGE006,Alprazolam,1.0244675855592078,0.024173048917815177,0.21988806786548382,0.10993342727720452,0.03978513103948527
rxSAB005,Skin & Mucous Membrane Agents,0.9090224379822934,-0.09538550086036161,0.43710380119750386,-0.21822162287090704,0.08235984410002938
rxCGX002,Sildenafil,1.0211382486323852,0.0209179351408472,0.09147541378522726,0.22867275779653617,0.08665073631478515
rxNAH016,Meloxicam,1.0328341611683594,0.03230663627009609,0.1271064500454037,0.25416992024052154,0.09725525805075763
rxNAH024,Tolmetin,1.0801628959276017,0.07711185932508768,0.27782702393138115,0.27755348718032946,0.10715152575504498
rxSKM001,"Lubricants, Misc.",0.8332705917783467,-0.18239684949436277,0.605654399858224,-0.30115664896855293,0.11730755674397284
rxCG,Cardiovascular Agents - Phosphodiesterase Inhibitors,0.9796191615978598,-0.0205913934606212,0.06764729612645835,-0.30439344422766146,0.11871342054554862
rxLHX003,Cromolyn Sodium,1.25009411233248,0.22321883834605408,0.6709326151438987,0.3326993401538232,0.13114331594665204
rxNMA012,Dexmethylphenidate,1.079191732161447,0.07621236480112051,0.22551497790511807,0.3379481288075938,0.13347502949295445
rxTG,Autonomic Drugs - Sympatholytic Agents,1.3334337122637958,0.2877573538159148,0.7638611759094339,0.3767142026472521,0.15095791242090775
rxHL,Hormones & Synthetic Subst - Ovulation Stimulants,1.3334337122637958,0.2877573538159148,0.7638611759094339,0.3767142026472521,0.15095791242090775
rxHLX000,Clomiphene Citrate,1.3334337122637958,0.2877573538159148,0.7638611759094339,0.3767142026472521,0.15095791242090775
rxIDD006,Ceftolozane,1.1668424621411888,0.15430135031119555,0.39358934849207,0.39203639758636505,0.15799562407806617
rxTAX005,Methscopolamine,1.5001129177958445,0.405540383805441,0.9129533858461936,0.4442071085913722,0.18250546305142235
rxCGX000,Tadalafil,0.9538895598217634,-0.04720737962117228,0.10244148527840177,-0.46082287359343116,0.19049032324582982
rxTHX013,Phenylephrine,0.9016201904068023,-0.10356192253348492,0.20371069705572864,-0.5083774393308061,0.21382470415732913
rxSAE001,Acyclovir,0.8331449668474985,-0.18254762212779857,0.34981842782516265,-0.521835351164047,0.2205586605488996
rxHCG002,Troglitazone,1.1670186288558715,0.15445231620689243,0.2784452739283906,0.5546954129543382,0.23724417455240882
rxKAX004,Brompheniramine,1.1116151306670699,0.10581403040482837,0.18797967116872308,0.5629014549655952,0.2414650712454769
rxGED002,Danthron,0.9252224417092979,-0.07772109285623151,0.12473739521917068,-0.6230777283722426,0.2730826193456339
rxCGX001,Vardenafil,0.8808897824848084,-0.12682276588381045,0.1906071253279103,-0.6653621456471334,0.2960049552308798
rxHDX011,Exenatide,1.3753107110575475,0.318679677268997,0.46482224739931227,0.6855947172322641,0.3071806423359369
rxNLB004,Imipramine,1.1672835775796948,0.15467932085456026,0.21063885533153603,0.7343342262808161,0.3346582060558072
rxLDB006,Tobramycin/Loteprednol,0.6665160755967171,-0.4056910202293105,0.5271891367050566,-0.7695360013768265,0.3549953444104798
rxHCE002,Canagliflozin,0.7616177056309675,-0.2723105478353898,0.33206893947389027,-0.8200422125201532,0.38490039574122703
rxGIX004,Misoprostol,0.7497174502712477,-0.2880588764051446,0.3417855881273795,-0.8428058010971147,0.3986603804125573
rxSK,Skin & Mucous Membrane - S/MM Miscellaneous,0.692099134485036,-0.36802607569855167,0.4338027614286065,-0.8483719063626106,0.40205167739176995
rxLAE000,Menthol,0.7774260013065983,-0.25176681462655387,0.29121620852860747,-0.8645357203798005,0.41195960505751883
rxLA,"Eye, Ear, Nose Throat - Anesthetics",0.7774260013065983,-0.25176681462655387,0.29121620852860747,-0.8645357203798005,0.41195960505751883
rxTIX003,Zolmitriptan,0.7056164838816883,-0.3486834130521021,0.3772367297364041,-0.9243092879522793,0.44937385838131766
