code,log_or,p_two,group
R23,5.194248748092788,3.7588955452315975,R
I85,5.4434215912539665,3.7645206269656253,I
I95.9,6.994678683268569,5.530016560602637,I
S36.81,-1.7969956584832636,0.402269693789826,S
M48.02,5.970278204776907,4.3467140715120935,M
I25,5.621532332558831,3.914000704554878,I
D22.62,3.5140380392364183,1.8934661671652198,D
L12,7.165438773266242,5.780390155795939,L
R41.84,6.72025781687266,5.0621656205154215,R
K05.30,3.5533148350986554,1.7377887364635278,K
I65.1,6.939078357807292,3.8269008380173264,I
J01.20,3.696128991944275,2.1924512942648824,J
H50.00,6.243809144050169,4.798679832878951,H
K58.2,5.444354043079147,3.8127536301874105,K
R05,4.194359466338237,2.732268280616476,R
M23.40,2.2740150843152156,1.0046051980598076,M
D26.1,-4.64769156108548,2.2488074163845515,D
R22.31,4.947569741718334,3.561074208511608,R
S71.00,8.385607871794717,7.165121520760677,S
M17.9,5.184866906202025,3.4456625007340858,M
G97.81,5.100428022056174,3.468305912602042,G
D72.9,4.505424619116149,2.8157280381570344,D
J66.0,-2.387728926781363,0.8900606785932359,J
N19,6.840159232790067,4.930669480684087,N
M71.34,3.9459874503401453,1.9987774374332667,M
C76.0,5.885769404158395,4.758164389407126,C
K85,7.4753886036781925,7.036436449900494,K
M54.81,6.125992037455316,4.587812974743622,M
H35,6.762963584836161,4.875988610879397,H
H02.88,5.1958961623355995,3.43923322099917,H
I62.00,6.4584059464398385,3.3698628717268,I
K51.00,3.910571431820225,2.603792707091616,K
H10.32,3.1428762051042,1.7512996145817332,H
M95.3,3.2008347349806763,1.587848723078219,M
H46.8,5.961365611031483,4.264845929633815,H
K21.9,4.370586134849923,2.830306470874962,K
D28,3.9310846301811586,2.053485851258209,D
H53.8,7.20236583981809,6.273743399979451,H
E27,6.6920489448343865,5.43806671904933,E
E29.9,0.9597906377161214,0.5534129368360563,E
I15,8.042389541822702,6.910511339688403,I
C44.81,6.967998820793098,5.473560119104308,C
G62.9,8.231925812020675,7.259861264248105,G
L23.89,4.258130345175912,2.450324823325883,L
S21.20,5.504200663522346,4.169669220430052,S
R06.01,7.128820932655848,5.7830909523539225,R
N36.8,6.574382718541013,4.93325824107313,N
C91.00,5.798431188762872,3.8305750535405174,C
D24.2,1.9006929016078074,0.6100929277371696,D
K37,3.6187857128071994,1.6918888970566826,K
C20,5.207215798955616,3.622117437546637,C
L92.9,6.020818966468549,4.53210381794449,L
I47,10.661871627885137,9.386202510362088,I
M60.00,5.959024021209362,4.004647155472186,M
C22,5.30963073533948,3.6637754787176324,C
D04.8,6.96299157628624,5.287853840409253,D
I82.40,11.94699752583965,11.382939304905735,I
K13,6.493836643629766,4.746931299077245,K
H66.00,1.7193015084127414,0.5900441442851984,H
D12.0,4.033781222566567,2.523845118176925,D
S02.40,7.547094294849137,6.345942974110407,S
G43.00,1.6746344119897267,0.5689884898464042,G
M20.40,7.351555472321021,5.982758961880295,M
H15.00,3.8804127779884996,2.049676668501247,H
I48.92,7.155108676050132,5.765891046095609,I
R11.2,5.237658544790398,3.7546469680742063,R
M94.21,3.663639443601415,2.1540092988230537,M
N32,6.847523635091012,5.512896335999591,N
I27.2,7.437192045616948,4.535305836720308,I
S39.81,9.93446192119965,9.06848788461078,S
R63.6,6.703309483251164,5.117153466660471,R
D80,5.920834733540566,3.987701021894519,D
I83.10,5.6884076366906475,4.221007526910964,I
M12.87,5.331034300222729,3.716972801868389,M
J92,6.788934694276478,4.499517649968021,J
D48,4.616321961964676,2.6640090241860532,D
K57.80,5.605977546829523,3.760635799843801,K
D16.10,3.280440817904102,1.787367307781891,D
S39.01,4.105024001787185,2.3946622455149518,S
K29.30,4.908468152318979,3.117082967892946,K
J93.9,9.088159911451308,7.98498775105223,J
J12.9,7.29602147990953,5.85022350103107,J
G44.02,4.1478431628012125,2.634772184469644,G
I72.2,7.606874068410644,6.574493261953489,I
D50,7.089791987177094,5.8772905578093635,D
I82.91,8.38529984025441,7.52399742976078,I
G45.9,6.761133094518757,4.490516679436524,G
R43.9,3.83846875082922,2.274824518575966,R
M25.45,6.322247786844624,5.012595169483664,M
M80.08,6.870588336889833,4.875207004097601,M
S63.60,4.210539113060792,2.5356590454991257,S
L72.9,4.4619038055578315,2.5244306113291737,L
M21.75,5.101093954828973,3.758975465286992,M
L53,6.701371782510187,5.471538240205721,L
M24.46,3.594633669101202,1.7597687486913733,M
D23.11,4.952034963929935,3.129587659147733,D
S56,3.7051661382469008,2.2193058507017787,S
G93.6,6.095741761978951,3.0861350127459453,G
M21.16,5.664598900853056,4.27129740008586,M
J32.9,4.331251098199202,2.58460658966689,J
