code,log_or,sig,group
S23.14,-2.0406676929569563,1.9860947260115396,S
R69,1.5086771865027886,1814.254150552432,R
E85.81,1.5509230196759403,1.63546858925819,E
813.21,1.704158267561633,19.162583575086746,8
T70.20,0.6838514378897018,2.521248284401305,T
D31.21,1.319110573208265,2.926893881868706,D
M50.31,2.1356331053691395,55.056389176434955,M
Z98.81,2.2016017528604848,4.9239892871262025,Z
S92.42,1.2274665880640079,6.069293678018509,S
G73.3,2.1209564391167537,5.15168113184309,G
E09.65,2.100603389433011,5.065471387463535,E
M89.29,1.1647137215964538,1.090533803825328,M
D39.9,0.2698386386524093,0.1603485074604376,D
S82.45,1.3826563468436885,5.299371808248281,S
H90.5,2.297230982089419,2937.4422733424676,H
R26.89,3.099675132506008,659.988544465927,R
M41.23,1.0380721375913116,0.7170348205983489,M
D36.13,0.8096784165474002,1.5836296641634937,D
Z90.6,3.1869888391321086,8.075587519275118,Z
S73.10,0.7086401146365466,5.076778203904323,S
C50.41,0.6657212695288394,130.95186951108982,C
N76.2,0.8114483342011359,9.63321862316082,N
R07.89,1.4315461907933746,4330.231033402481,R
Z44.12,1.2443880995124383,0.5981373400868333,Z
Z96.81,0.8945549381870702,0.5948293332939911,Z
C63.9,2.863639387017188,2.060860428263231,C
Q11,1.4566912060210455,7.745130341549836,Q
A18.6,-0.21554740713001758,0.06801334238076175,A
A18.4,0.6120659061670769,2.0389929216304057,A
H04.51,1.7581778598533209,3.9525079168836212,H
T82.22,2.866722682478626,20.78550331651707,T
T24.31,1.174634715823533,1.5087160169791662,T
M36.2,-0.589767058341696,0.12054267494199869,M
B87.9,2.7012882878254154,2.19525116577616,B
E30.9,2.1874163825180597,2.4691098180983566,E
Q21.2,0.941872815503555,2.245902206668743,Q
D57.00,0.6302925985771369,1.1925904064614377,D
Q27.8,1.7061405267369747,12.753564567031521,Q
T87.9,3.5232596475287212,13.158256370271365,T
Z22.4,-1.7100605307680745,1.6112284088018964,Z
M26,1.1824641777238907,152.45917529704718,M
N34.0,1.5896887681408798,6.357555547647423,N
H44.43,3.6454714167706577,6.7490864718270425,H
S13.17,-0.33224218396574934,0.8982306621492414,S
S76.31,0.9327004534047217,9.330304759608058,S
H81.8X,2.198700893696943,16.4246757066237,H
M54.15,1.6635986038189234,17.502142746910813,M
L05.92,-0.9856333856423191,0.1113288049037226,L
814.04,1.3452301615799618,1.4065497232917488,8
F60.6,0.7229736423911256,0.752379724432219,F
S44.22,0.2656893384999756,0.28647098457343795,S
S49.82,3.118788289268635,6.017411883080898,S
F14.10,0.7340553281283404,4.918631870563968,F
Q38.1,0.7918913310372766,1.4076005456200613,Q
R39,1.7661809317870276,2797.9041051014174,R
A69.1,2.0847870863325837,5.450749937641235,A
S79.92,2.354978572861863,29.770322549350592,S
Z28.3,0.7189545472037464,4.337258908035942,Z
E88,0.5738612910573595,205.89389652641108,E
S82.51,1.1503136570266026,6.449087658563881,S
K52.0,1.8825994330635796,38.46434576589408,K
R45.83,1.0291387136052774,2.6328813202061068,R
R44.1,5.224078418003957,7.256237720197838,R
G32,4.676652110226281,5.742596015250851,G
H93.A1,1.4848227775118215,1.9022126774407089,H
Z44.00,-0.03165900280443795,0.07692265349256179,Z
S42.91,2.581427773460321,9.061559321828991,S
H21.30,0.4468853820311196,0.9851351166510115,H
C62.10,-0.2803403212917504,0.320701102145696,C
M25.10,0.51518762131716,3.7870706639747196,M
A33,0.7269777055519847,-0.013036315384925362,A
H33.30,0.7566333784339663,45.88035044152692,H
J70.5,2.672233611595203,7.425932380028446,J
T17.50,2.8524916342961792,5.374979659385044,T
S10.16,0.7808854935009206,11.181736539552482,S
H02.87,1.4052891357935922,3.0848424569941155,H
E08.64,2.1334193288069074,2.560662175230253,E
I89.8,1.1395150777947625,19.002500903189034,I
K02,0.6476623718123692,30.57364723955483,K
S61.42,1.2458943153416424,43.44495106351257,S
K56.52,2.439655085667226,1.8103659691767096,K
C14,1.5033578355006616,20.831893782151276,C
E13.63,0.7154878297602707,0.498273669950014,E
E03,0.9936221547016234,2988.581898880933,E
B19.9,0.5855754701853519,5.459725486360177,B
M1A.30,1.4834586393126372,1.7364839351517956,M
G89.21,1.7478960276637097,39.259925000102946,G
D68.62,0.754344190629897,2.92130214700545,D
Q15.8,1.4117020760002297,1.389379222740856,Q
Q33.1,1.9233325867727968,6.8446028013419165,Q
S30.91,1.5894373998694586,12.08631423855066,S
A02.0,1.432505176582769,8.263638377739609,A
H54.10,3.6677083104716783,56.352548490958604,H
E61.7,0.8003266076971804,0.9327434125985518,E
N81.2,1.3767918507712875,147.5996405930462,N
N17.2,2.795920480550174,6.10088919929241,N
