,error,cov_n,cov_p
0,0.19999999999999996,0.0,0.66
1,0.15000000000000002,0.0,0.7733333333333333
2,0.09999999999999998,0.0,0.8133333333333334
3,0.050000000000000044,0.013333333333333334,0.9333333333333333
