code,description,log_or,z,pval,p_two,group
U09,Post COVID-19 condition,-2.5810388810804223,2.81682078452725,0.004850158118297826,2.31424410288539,U
P26,Pulmonary hemorrhage originating in the perinatal period,2.8069536018696897,4.417660989815376,9.977475048977668e-06,5.0009793495980475,P
516,nan,2.403949586924431,37.329258506029085,5.503575257522733e-305,300.9188253806737,5
P55,Hemolytic disease of newborn,2.246603853210262,4.5347617481182025,5.76685451201578e-06,5.239061004966031,P
P09,Abnormal findings on neonatal screening,2.071742370891299,4.45859122350865,8.250008490831814e-06,5.083545604478013,P
X37,Cataclysmic storm,2.412657731816972,4.45859122350865,8.250008490831814e-06,5.083545604478013,X
V78,Bus occupant injured in noncollision transport accident,2.0472565044955466,4.45859122350865,8.250008490831814e-06,5.083545604478013,V
I52,Other heart disorders in diseases classified elsewhere,2.028478297156162,4.347481452233515,1.3770971208535903e-05,4.8610354297042955,I
747,nan,2.070684840792058,5.985134961894102,2.162105067765964e-09,8.66512320527528,7
84.,nan,2.0136485810285816,17.803663050665367,6.619412695322911e-71,67.48068243186579,8
W09,Fall on and from playground equipment,2.09092996764664,4.124726792278131,3.7117509044526573e-05,4.430421176971388,W
J84,Other interstitial pulmonary diseases,1.9481781106729534,53.48400552812135,0.0,619.3318344695754,J
J67,Hypersensitivity pneumonitis due to organic dust,1.8213452888263033,13.301041079711522,2.282676233523303e-40,37.19524351182325,J
N01,Rapidly progressive nephritic syndrome,1.9555033098268215,3.7609844370441357,0.00016924596101581887,3.7714816867755965,N
G14,Postpolio syndrome,1.8182773005002946,3.7609844370441357,0.00016924596101581887,3.7714816867755965,G
J60,Coalworker's pneumoconiosis,1.6217590347310473,6.421939016906392,1.345493277134158e-10,9.871118467882265,J
J63,Pneumoconiosis due to other inorganic dusts,1.7293997190245791,3.685409143235198,0.00022833552986089586,3.6414265054087926,J
D82,Immunodeficiency associated with other major defects,1.6150723628124957,3.685409143235198,0.00022833552986089586,3.6414265054087926,D
Q70,Syndactyly,1.7106855164506687,3.6147127033113735,0.00030068086942038085,3.521894202659254,Q
B47,Mycetoma,1.4774613975054165,3.5483601777650557,0.0003876377475497244,3.41157393865343,B
