code,description,log_or,z,pval,p_two,group
M49,Spondylopathies in diseases classified elsewhere,-3.6303992694842746,3.7693686252431986,0.00016366102520866077,3.7860547326352387,M
O07,Failed attempted termination of pregnancy,-3.455945578128147,3.7693686252431986,0.00016366102520866077,3.7860547326352387,O
G21,Secondary parkinsonism,-3.6899263549911345,3.7693686252431986,0.00016366102520866077,3.7860547326352387,G
V20,Motorcycle rider injured in collision with pedestrian or animal,-3.540817117802408,3.7693686252431986,0.00016366102520866077,3.7860547326352387,V
608,nan,-3.3319978061402686,3.7693686252431986,0.00016366102520866077,3.7860547326352387,other
C00,Malignant neoplasm of lip,2.5554057570474207,4.6139525198399305,3.950827155953524e-06,5.40331196977631,C
U07,Emergency use of U07,2.156432413937652,9.303275772482253,1.3618391858245598e-20,17.727602010992737,other
752,nan,1.9267027765697857,2.9902969597018627,0.0027870634883731408,2.55485313809112,7
S55,Injury of blood vessels at forearm level,2.0917780987197867,2.9902969597018627,0.0027870634883731408,2.55485313809112,S
G94,Other disorders of brain in diseases classified elsewhere,1.6984004122940053,2.9902969597018627,0.0027870634883731408,2.55485313809112,G
F30,Manic episode,1.9895250886153775,2.9902969597018627,0.0027870634883731408,2.55485313809112,F
W92,Exposure to excessive heat of man-made origin,1.6797839003849884,2.9902969597018627,0.0027870634883731408,2.55485313809112,W
C24,Malignant neoplasm of other and unspecified parts of biliary tract,1.972235681234747,2.9902969597018627,0.0027870634883731408,2.55485313809112,C
F94,Disorders of social functioning with onset specific to childhood and adolescence,1.7813453754273245,10.4074028756128,2.293944585729685e-25,22.40469146790202,F
F70,Mild intellectual disabilities,1.6420482814023445,5.0001745561207604,5.727843382133617e-07,6.242008865561417,F
D39,Neoplasm of uncertain behavior of female genital organs,1.6074561227756037,2.886923413228363,0.003890289129968464,2.4100181202980475,D
L99,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere,1.411004769510933,2.886923413228363,0.003890289129968464,2.4100181202980475,L
F78,Other intellectual disabilities,1.4324461616422102,2.886923413228363,0.003890289129968464,2.4100181202980475,F
O03,Spontaneous abortion,1.509594879043879,2.886923413228363,0.003890289129968464,2.4100181202980475,O
F09,Unspecified mental disorder due to known physiological condition,1.3551797931035834,3.959257956095684,7.518299729151601e-05,4.1238803644266975,F
F02,Dementia in other diseases classified elsewhere,1.3421350135530228,3.959257956095684,7.518299729151601e-05,4.1238803644266975,F
D25,Leiomyoma of uterus,1.3806505780954075,2.7108999600148818,0.006710086782965321,2.173271862972701,D
B39,Histoplasmosis,1.2934064475227267,2.7108999600148818,0.006710086782965321,2.173271862972701,B
B45,Cryptococcosis,1.3539361808401584,2.7108999600148818,0.006710086782965321,2.173271862972701,B
S58,Traumatic amputation of elbow and forearm,1.2080313397842029,2.7108999600148818,0.006710086782965321,2.173271862972701,S
G98,Other disorders of nervous system not elsewhere classified,1.1683180299052736,6.498089132479588,8.134660714809192e-11,10.089660556157853,G
H59,Intraoperative and postprocedural complications and disorders of eye and adnexa not elsewhere classified,1.2131485677610723,3.7118302559786844,0.00020576596591663068,3.686626456769524,H
G08,Intracranial and intraspinal phlebitis and thrombophlebitis,1.3382354794151237,5.83113625036851,5.505120906314057e-09,8.259233138387343,G
E31,Polyglandular dysfunction,1.3508944588613538,4.497694738411774,6.869423153480123e-06,5.163079730448268,E
Y71,Cardiovascular devices associated with adverse incidents,0.8958651927803776,4.4036095591855995,1.0646447892165687e-05,4.9727952671690545,Y
O21,Excessive vomiting in pregnancy,1.2888489736452697,3.595584177745768,0.00032366444576814634,3.489905004813557,O
M63,Disorders of muscle in diseases classified elsewhere,1.2137328876066067,2.54249872291794,0.011006300342876078,1.9583586402188438,M
C40,Malignant neoplasm of bone and articular cartilage of limbs,1.313963933663546,2.54249872291794,0.011006300342876078,1.9583586402188438,C
M45,Ankylosing spondylitis,1.0991388086542428,2.54249872291794,0.011006300342876078,1.9583586402188438,M
F68,Other disorders of adult personality and behavior,1.5992185454391843,2.54249872291794,0.011006300342876078,1.9583586402188438,F
F89,Unspecified disorder of psychological development,1.1813681043284572,14.65512465085616,1.2492716133641556e-48,45.3732451197958,F
F88,Other disorders of psychological development,1.3319931839045207,39.170471777271736,0.0,331.4836083169207,F
F79,Unspecified intellectual disabilities,1.1765293387072429,6.813600570270537,9.518576011645905e-12,11.021428017638746,F
B59,Pneumocystosis,1.2045390031639276,4.141623413152742,3.448562311012389e-05,4.4623619224706434,B
N91,Absent scanty and rare menstruation,0.9947271675649418,3.3816665182097676,0.0007204755106601456,3.1423807764959553,N
O40,Polyhydramnios,1.090801093047459,2.3912312414397436,0.01679197299588625,1.7748982728384133,O
F72,Severe intellectual disabilities,1.2015769585231095,2.3912312414397436,0.01679197299588625,1.7748982728384133,F
I09,Other rheumatic heart diseases,1.286927645574098,2.3912312414397436,0.01679197299588625,1.7748982728384133,I
C90,Multiple myeloma and malignant plasma cell neoplasms,1.156192581349265,2.3912312414397436,0.01679197299588625,1.7748982728384133,C
F80,Specific developmental disorders of speech and language,0.9947944332962054,87.88927515309325,0.0,1675.3172276096468,F
F60,Specific personality disorders,1.293761721035128,5.283585866853157,1.266794454967636e-07,6.897293846296517,F
R43,Disturbances of smell and taste,0.9708900912597853,4.711939796673494,2.4536987599195654e-06,5.610178756578504,R
Z44,Encounter for fitting and adjustment of external prosthetic device,0.9523911765001545,3.90803871771922,9.30483975084828e-05,4.031291101944456,Z
G37,Other demyelinating diseases of central nervous system,1.0366888171991697,3.1909376536157055,0.0014181187851744707,2.8482873900378713,G
R86,Abnormal findings in specimens from male genital organs,0.9351005456423465,2.256360082975062,0.024048089385860602,1.618919422497608,R
E79,Disorders of purine and pyrimidine metabolism,0.9301241020322639,2.256360082975062,0.024048089385860602,1.618919422497608,E
O86,Other puerperal infections,1.0911622996600032,2.256360082975062,0.024048089385860602,1.618919422497608,O
G96,Other disorders of central nervous system,0.9621559427761643,14.043984446497772,8.386193274678768e-45,41.58315988173417,G
R46,Symptoms and signs involving appearance and behavior,1.1485959756031678,17.123052109562572,9.989757610286461e-66,62.3356940098423,R
D15,Benign neoplasm of other and unspecified intrathoracic organs,1.006684430632202,4.449717191198426,8.598343770287855e-06,5.065585195348985,D
