feature,is_signal,naive_logOR,naive_p,lambda_logOR,lambda_p
0,0,-0.005888534868419405,0.47898208084155447,-0.01577099036123471,0.08432459292509928
1,0,-0.005615895776375025,0.5175633899448437,-0.015043040931067111,0.11459432725095486
2,0,-6.748103890775194e-05,0.9938822193908496,-0.0001839078603557869,0.9848027674822084
3,0,0.0018835360029033717,0.8587058922172395,0.005027804243106558,0.664698783093872
4,0,-0.018830278079941757,0.034752623265205874,-0.05061546920613662,2.6476208056075214e-07
5,0,0.015231853269675698,0.1968949662283328,0.04051179763705844,0.0016601682160733108
6,0,0.008710842629322596,0.29564088818123724,0.02325001773233745,0.010795620849797623
7,0,0.0005255573397930039,0.9479152416895565,0.0014032523327268634,0.8736621865771514
8,0,-0.004118661024993661,0.6167191761447688,-0.011026815000715815,0.22230420013217023
9,0,0.0037972339379375828,0.745422415996239,0.010133363566218046,0.42902454340235785
10,0,0.007007721132213489,0.47428649932323297,0.01869716245747638,0.0811857001757812
11,0,-0.0023008605181956423,0.8157503732886301,-0.006162978084918444,0.5696715441593855
12,0,0.005199754595750614,0.6417997368987165,0.013874201454250435,0.2570328110717669
13,0,-0.005191506773805426,0.5527358578903789,-0.013905475541006341,0.14772721424498828
14,0,0.007245013051403787,0.3856355830390815,0.01934286402339291,0.03445852413857835
15,0,0.01383259377935893,0.1631291292828857,0.036834908365366716,0.0006756087506448988
16,0,0.003636063850759352,0.658137385827464,0.009714503927894308,0.28083877057639073
17,0,-0.006706914814224764,0.42174319767451796,-0.017966053141934963,0.05013106156510589
18,1,-0.008112713296955894,0.4622651990159229,-0.021764534597326766,0.07302074241750711
19,0,-0.005708886722840833,0.4976322924886467,-0.015290248664637853,0.09819090411310898
20,0,-0.001404295889012789,0.8636821733795155,-0.003759079748563689,0.6753507627394052
21,0,-0.016592944634428487,0.11524343401960371,-0.04462866588692553,0.0001229758517916202
22,0,0.009948468673652185,0.2632068091591213,0.026535192635774175,0.006388202684621625
23,0,-0.007416914736113307,0.3952284000265527,-0.01987571996849397,0.038179730816102576
