beta_true,prev0,prev1,logOR,se_naive,p_naive,se_lambda,p_lambda,var_extra,y_naive,y_lambda
0.12122757364155548,0.21360220531842491,0.23467127195070062,0.1234367622134227,0.004380524137494073,1.0716723560880323e-174,0.06339707399966633,0.05152970626888853,0.004,173.96993797181923,1.287942333109747
0.016669950939425457,0.062359616381225835,0.06334146360036072,0.013068172764136719,0.007537869396658105,0.08297677657969246,0.06369316662752036,0.8374362927692455,0.004,1.0810434403294544,0.0770482216059175
0.07254296540177337,0.023508993726663915,0.025233154746387185,0.07606450642357655,0.01191799605207875,1.7442099312911336e-10,0.06435867175367563,0.23725159565518517,0.004,9.75840124502592,0.6247908580074703
0.04296691181616211,0.03654892805436415,0.03809242467387855,0.059389029706066715,0.009650652985523702,7.560647740085262e-10,0.06397761407748023,0.3532632365170548,0.004,9.12144099578264,0.45190155647553043
0.04642052123668662,0.0017747386957211616,0.0018589083313899752,-0.017067852610384956,0.04354904888603435,0.6951154692103383,0.0767887990456825,0.8241036412041316,0.004,0.15794304652426372,0.08401816697691152
0.05353208510730702,0.14686108959608546,0.15369585438930605,0.04990986243870884,0.00510314199030472,1.3690968062240379e-22,0.06345109973966732,0.43152318960521385,0.004,21.86356584264577,0.3649958607900894
0.0005995838744175253,0.011185877592752498,0.011192511386398154,0.0075430995170341075,0.017370283449752836,0.6641046538046379,0.06558755024488075,0.9084387020222717,0.004,0.17776347637221987,0.041704371902026555
0.05304202867067431,0.07838262341068636,0.08230102557269209,0.05739672643672716,0.00671881686632838,1.3114014313458608e-17,0.06360143473289936,0.36682111284609764,0.004,16.882264346652978,0.4355456759227355
0.034043607711751744,0.22873887628161282,0.23480014983152311,0.02901805535596483,0.004326956206438449,1.9956142426626463e-11,0.06339339516079287,0.6471351362699278,0.004,10.699923405169956,0.18900501947329698
0.1596899854993465,0.018362646324807358,0.021473811008101494,0.16196706584511236,0.013132606608449969,6.001500241319895e-35,0.06459462327726902,0.012160963249413114,0.004,34.22174017210237,1.915032023966523
0.06677359839683765,0.05615222486937029,0.05979786139561201,0.0641071893419198,0.007815973536666692,2.3627577666311974e-16,0.063726677634456,0.3144295225123167,0.004,15.626580800588485,0.5024766838086672
0.04942107616975214,0.03786210798043369,0.03970414303189161,0.06850526605686781,0.009417223793547822,3.477957106870067e-13,0.06394281901807085,0.28401119372021,0.004,12.458675778389807,0.5466645427870559
0.05156137745545949,0.018260191108780976,0.01920784844642192,0.0618983910351643,0.013447463297211224,4.164902572781856e-06,0.06465937108517096,0.3384160497044352,0.004,5.380395153344376,0.47054904831391464
0.03995860961673149,0.008923634188182584,0.009284052688514764,0.05102413327515775,0.019197938171914033,0.007865433784184056,0.06609508930361342,0.44012585878787736,0.004,2.1042773207352328,0.35642311451142733
0.028345483463846355,0.026894719708552603,0.027646593097516554,0.02942600805324528,0.011226673242124901,0.00876517055460713,0.06423424469926803,0.646877237460042,0.004,2.0572396288908834,0.18917813069507447
0.048275970682960356,0.16969643388244007,0.1766073541201225,0.046936944897228904,0.004824473518449988,2.2697712575888433e-22,0.06342929563482654,0.45930701474549496,0.004,21.64401790781678,0.3378969217887023
0.07445836165520357,0.010900976273866434,0.01173373958855138,0.08286929985787159,0.01733734137108083,1.754557889740149e-06,0.06557883351979807,0.20635235577460675,0.004,5.75583229813541,0.6853905687343612
0.052843391802799,0.11301293290030638,0.1184193086572077,0.05231866037530341,0.005704977005416949,4.699360634467259e-20,0.06350233667064809,0.41000456661131734,0.004,19.327961225428357,0.3872113061020904
0.08873276108879291,0.03594577098461149,0.03915054703603665,0.09662798689839178,0.009595137222368653,7.458542577417928e-24,0.06396926338731818,0.1309062655629244,0.004,23.127346026739318,0.8830395663271426
0.0540059361280026,0.05976409085392886,0.06287194602471519,0.06194094492863966,0.007592755679889761,3.408983158030107e-16,0.06369968554721835,0.3308565048101427,0.004,15.467375144383505,0.48036032248213534
0.06072778695229994,0.06214922724219901,0.06578439042237316,0.0645177296334464,0.0074679713823243375,5.6579399401810075e-18,0.06368493225690999,0.31102346188558183,0.004,17.24734166695086,0.5072068489695648
0.10637462553638435,0.029757923260279023,0.03298772859937033,0.1372131252771544,0.010475332981079586,3.349955814598701e-39,0.06410719617222777,0.03232486967663049,0.004,38.474960921202715,1.4904632173782515
0.07635316568062933,0.051935756211788406,0.05582648260073189,0.0788663338080644,0.008063561569400638,1.3642233775635945e-22,0.06375751740135052,0.21609707027233416,0.004,21.86511451259707,0.6653511210074747
0.04484313793157946,0.00781507875230043,0.008170579314685593,0.03499225438452716,0.02053478579996636,0.0883721773600663,0.06649569480688582,0.5987260626209228,0.004,1.053684444499424,0.22277183654933505
0.05451483076206795,0.04046243038267078,0.0426328149479506,0.0501231042698022,0.009134015839918486,4.076134365503003e-08,0.06390172333641622,0.4328183588452854,0.004,7.389751508366615,0.36369432605282515
0.07621575395264406,0.03248140895950627,0.03496384657628065,0.07667360918652315,0.010139115319208396,3.9643124913205845e-14,0.06405311592308532,0.2312942056753179,0.004,13.40183211909414,0.6358352469300126
0.11805264102296559,0.12263486564473765,0.13591291097894348,0.12389666969317831,0.005442073678866246,9.862930994461878e-115,0.06347925776130506,0.05096596892065212,0.004,114.00599400538691,1.2927197149447165
0.0519113901797426,0.03367269936486652,0.035403342495644974,0.04123644595254109,0.009999632046728933,3.726784575405508e-05,0.06403118491071337,0.5195717591395499,0.004,4.428665710658188,0.28435446264745884
0.05269323962762686,0.012201562518978684,0.0128532576865696,0.0587347195015296,0.01641872417055959,0.0003471602414104945,0.06534198117128771,0.3687156080694508,0.004,3.4594700183018308,0.4333084779215114
0.09006940803827074,0.03762578057404059,0.04102652922073487,0.10234346955990883,0.009388065444031068,1.134425022710289e-27,0.06393853120600605,0.10945356156161971,0.004,26.94522420255492,0.9607701021509363
0.03340620170518239,0.07383020310088217,0.07614726784022809,0.03522728717022784,0.006925948316068315,3.651618548056472e-07,0.06362364937723118,0.5797963053233547,0.004,6.437514595630215,0.23672455645737864
0.051248393026804076,0.007963745889664682,0.008379005155152663,0.03222224256498114,0.02032671722368397,0.11291720840832299,0.06643173513533732,0.6276459028668632,0.004,0.9472398672223141,0.20228530180788876
0.08647616902369451,0.02057467500734847,0.02239147775828692,0.08746672741664377,0.012578299260398598,3.556257406279244e-12,0.06448421211648743,0.1749702462268624,0.004,11.449006811796078,0.7570357970172183
0.07741050048572697,0.041755410575537444,0.04496500256504338,0.06520355980307752,0.008958288541240016,3.3736890765790733e-13,0.06387684191933812,0.30736345153261535,0.004,12.471894945027328,0.5123477755525516
