method,alpha,TP,FP,discoveries,FDR,TPR
noisy_naive,1e-06,1348,808,2156,0.3747680890538033,0.42125
lambda_corrected,1e-06,92,15036,15128,0.993918561607615,0.02875
noisy_naive,1e-05,1835,989,2824,0.3502124645892351,0.5734375
lambda_corrected,1e-05,276,15123,15399,0.982076758231054,0.08625
noisy_naive,0.0001,2355,1208,3563,0.3390401347179343,0.7359375
lambda_corrected,0.0001,772,15268,16040,0.9518703241895262,0.24125
noisy_naive,0.001,2814,1595,4409,0.361760036289408,0.879375
lambda_corrected,0.001,1784,15502,17286,0.896795094295962,0.5575
noisy_naive,0.01,3077,2512,5589,0.44945428520307745,0.9615625
lambda_corrected,0.01,2770,15900,18670,0.8516336368505624,0.865625
noisy_naive,0.05,3169,4190,7359,0.5693708384291344,0.9903125
lambda_corrected,0.05,3059,16573,19632,0.8441829665851671,0.9559375
noisy_naive_BH,0.00661492136348428,3047,2272,5319,0.427147960142884,0.9521875
lambda_BH,0.023934964002178365,2949,16214,19163,0.8461096905494965,0.9215625
