feature,is_signal,naive_logOR,naive_se_boot,naive_p_boot,lambda_logOR,lambda_se_boot,lambda_p_boot
0,0,0.1701631471627256,0.15088495792317116,0.2594181352016005,0.42439878694823635,0.431563193696448,0.325411132104781
1,0,-0.014536413744883746,0.1244401002136193,0.9070070170489895,-0.032324573361244044,0.30116887686124716,0.9145268751285744
2,0,-0.016752969135374406,0.11186408482901321,0.880952531386875,-0.03775175742473369,0.2939343753300894,0.8978039378139252
3,0,-0.1882379283556453,0.16692218977384854,0.25944720725834114,-0.4373278488689964,0.4269282382433653,0.305665667312229
4,0,0.16274381241559013,0.14484530900798986,0.261195581048152,0.403576239212375,0.3821710666377676,0.2909639197987448
5,0,-0.04690883439259195,0.13343660136099286,0.7251802812990477,-0.10926902724216002,0.27729164874954654,0.6935381260704612
6,0,0.06378876714922589,0.12108163965000815,0.5983155083894396,0.15517147507148762,0.29155344783010895,0.5945714970024787
7,0,0.42308785886591604,0.20837831944951482,0.04231759333778851,1.1934736960251167,4.096534867460569,0.7707933089586617
8,0,-0.1410164011429061,0.12540012445503462,0.26078757751826354,-0.3300354327877338,0.2982275231232582,0.2684424609073899
9,0,-0.07050011685604433,0.12153638108452329,0.5618645934238273,-0.16547746678761402,0.288545361034396,0.5663139352882073
10,0,-0.13749016766210337,0.13579474806108122,0.3113061371077569,-0.3212594152719442,0.3161111890613634,0.3094931540956578
11,0,-0.10511240978756273,0.1145055561196366,0.35863574059770054,-0.24642541178365815,0.27435116304971513,0.36907272177451333
12,0,0.13194750682523357,0.11737083058909593,0.26093101144474407,0.32130296285044085,0.27354236775812546,0.24015464037666934
13,0,0.05404452258098363,0.16070077131797306,0.7366406467299789,0.13597729164789768,0.45552704534179594,0.7653174405928824
14,0,-0.075251273675374,0.13872054003029302,0.5874970409772652,-0.1749039878848573,0.31180263220073723,0.57483533707858
15,0,-0.15086178216258425,0.12680300756712595,0.23415116599057417,-0.3531753778124682,0.3215838087601434,0.27210082295072124
16,0,-0.08888890036737113,0.15934264073503496,0.5769484956811755,-0.20562084916127976,0.34977532613258183,0.5566225708532085
17,0,0.01646481003864886,0.12008187713306814,0.8909413215351317,0.04106982054302413,0.3095196593505109,0.8944394283585676
18,0,-0.03876802667868222,0.1833877536211562,0.8325757712730586,-0.08664977872136126,0.4191224878201363,0.8362121795455042
19,0,0.16313859323246657,0.1138971268563274,0.15204859380344096,0.3994955682053422,0.3061962548211058,0.19199355906181959
20,0,-0.16217991275996044,0.1394523518233161,0.244838732444142,-0.3785235122170025,0.3022090814502021,0.2103797301002447
21,0,0.08746272670651871,0.13654278676769804,0.5218139294265071,0.2133162689284332,0.3172928302474649,0.5013921296624577
22,0,-0.27172167884759163,0.1935616814781851,0.16037873654882806,-0.6303019193515248,0.4811570318458017,0.19020553295646248
23,0,-0.07811169614752472,0.13988818247179527,0.576580374426423,-0.1814621036916962,0.34989121983570887,0.6040227307736342
24,0,-0.07150522520772871,0.12774940860339268,0.5756633561213473,-0.16762539419029837,0.300579526218617,0.5770669979991614
25,0,-0.10260413732370346,0.125578952056166,0.4139005168101756,-0.24051499670808582,0.30416241016425416,0.42909263481373305
26,0,0.03988443781839641,0.11570217077883882,0.7303075743826544,0.09739314662950065,0.28366136141666165,0.7313404252222782
27,0,0.010822707433805671,0.11171188811085389,0.922821267273923,0.02751478379553715,0.2802187989874446,0.9217811397879112
28,0,-0.2577934228554515,0.20222396491914393,0.2023829952995262,-0.5972430083193007,0.548910387228483,0.2765721813730003
29,0,0.025757427516388685,0.1991677916670315,0.8971002804053665,0.0705235856603918,0.5807956494334777,0.9033537699566593
30,0,0.021820019049575923,0.1774608049545794,0.9021412785952286,0.0588901466851558,0.5035674955073953,0.9069029362028398
31,0,0.06912900565994509,0.13403486549007432,0.606026298461682,0.16942002014325758,0.330016807387532,0.6076940276993896
32,0,0.22697991775344822,0.1672249678402191,0.17467552041692547,0.5769832271592196,0.46711019696771794,0.21674913989308953
33,0,-0.16758395821625172,0.12813598702426235,0.19092072944476013,-0.39341831231237334,0.2917338875092361,0.17748091277746558
34,0,-0.06365515840377158,0.12918697544536226,0.6221986729005042,-0.14759899308753238,0.3489814280164714,0.6723373904244481
35,0,0.07053814412090895,0.15941629006992447,0.6581436057751753,0.1743616684202088,0.3976575278847666,0.6610442053832546
36,0,0.2349690707568353,0.17353259802034338,0.1757254701840376,0.5988652426398875,0.5085449605396496,0.23895399453278898
37,0,-0.024837195586097503,0.1303824922681004,0.848921364710473,-0.056704796231807256,0.3156471353526466,0.857430362597806
38,0,0.1275177513087339,0.12118144669276365,0.29266755240705544,0.31075201777000316,0.3213280040152676,0.3335007267164649
39,0,0.23079849714592465,0.1768889204023523,0.19197283248298314,0.5900036170050239,0.49212265658556564,0.23056859867632729
40,0,0.016347296730831806,0.1133387104347609,0.8853156853697214,0.04071442898387631,0.2803414449706619,0.8845280386755434
41,0,0.021865082804247947,0.13713186565981125,0.8733177561775742,0.056482475577696596,0.34189598508701996,0.8687836673161298
42,0,0.3809457062330446,0.2510188964857387,0.12911584074075327,1.0703203389971068,4.317898624900167,0.8042273214439692
43,0,-0.12673872419300544,0.13515736754939853,0.34839228786455845,-0.29569220405464985,0.3254902416504435,0.36363955532194603
44,0,-0.014482738119553223,0.13289612457148825,0.9132200338143855,-0.03153320127822995,0.2887038484522017,0.9130253410509195
45,1,0.1872186549948713,0.10180479848460311,0.06591571979457223,0.45155282754749226,0.2436938389754961,0.06388933225839614
46,0,-0.16838601512721377,0.12971993266697318,0.19426205797844875,-0.3939332980642824,0.29449207023012275,0.18100393437572349
47,0,0.017923215700355342,0.19071608118621464,0.9251262170553193,0.051819061150581595,0.5598726067547595,0.9262570211857912
48,0,0.0005151301185382796,0.23035960546110396,0.9982157721402092,0.011489216474151848,0.6193884459841869,0.9852006558533543
49,0,-0.05196517817833537,0.1421532982468195,0.7146954305124201,-0.1200185040655829,0.33838352368160307,0.7228279277993599
50,0,-0.11148431327987063,0.1319369584098281,0.39812106558823657,-0.26093060493683606,0.30284683564197595,0.38891172199501434
51,0,0.01468807704819542,0.12298018554211058,0.9049311293514612,0.03765659779462474,0.29236994883989675,0.8975176691168817
52,0,0.10592838570440781,0.15734718276046517,0.5008109155997642,0.2608044059179169,0.3548704828080923,0.46238308432859165
53,0,0.052352513549581634,0.12550532882600177,0.6765805502581106,0.12882581219387518,0.36431855703468136,0.7236329746272904
54,0,0.18684161549616418,0.12600950586771337,0.13813869202991225,0.4625860425533494,0.3789022740124365,0.22213961903785828
55,0,-0.18303557524252395,0.16093373875885195,0.2553982647900278,-0.42489091136770857,0.40341485725533427,0.2922330010226555
56,0,-0.012414760872855436,0.12079919449450921,0.9181440199439719,-0.027049184601461187,0.3053839109148722,0.929420185372071
57,0,0.09727193602554689,0.1269702257328985,0.44361658702478446,0.23736846246136992,0.33451305751062765,0.4779559341274271
58,0,-0.056043704756079823,0.2254686997199639,0.8036970192268016,-0.12379343989856764,0.49140489733110876,0.8011049165620137
59,1,0.2001647485994941,0.10031460501386248,0.046002545629565884,0.48175494409493536,0.24603065611163552,0.050217175240518316
60,0,-0.07018412512534176,0.1262708796382646,0.5783325862801563,-0.16328415722267545,0.32048730179417634,0.6104108136015829
61,0,-0.0033285569445318493,0.13379799209767415,0.9801526896013883,-0.004947469761511805,0.33718606951647384,0.9882932052806497
62,0,0.20627828223545133,0.13398002835696582,0.12365309670005327,0.5158914049027458,0.467412452005655,0.26971560730381217
63,0,0.1241120111685385,0.12312668278633612,0.3134532343632991,0.3028397049172831,0.2941319805654795,0.3031955516842174
64,0,-0.011876624162579098,0.2122876976448314,0.9553849131869625,-0.02149798552492779,0.4760654502203386,0.9639816693713369
65,0,-0.09306043495220759,0.19085055659618666,0.6258268718257213,-0.21197995942767284,0.5239138317165404,0.6857653518526481
66,0,-0.027140575259914677,0.20030196630538108,0.8922179108756696,-0.057553469197158244,0.4554971909888841,0.8994524477659273
67,0,0.22116390778365666,0.13082854929903037,0.09093490220948268,0.5521367588377202,0.3615101405183369,0.12668483358770904
68,0,0.1650324447438367,0.13639280558221734,0.2262869110586172,0.40890528572685564,0.4277271703946371,0.3390744659350353
69,0,-0.12002332892892281,0.11323724125892,0.28917733098926823,-0.2820951862652302,0.25396983390202726,0.2666790367615339
70,0,-0.019242062529729622,0.13528941041226927,0.8868992136606149,-0.043270905037007194,0.3044189392382833,0.8869673555047776
71,0,-0.24241683771437103,0.18257430488797988,0.18425382370921906,-0.5625353484900468,0.4564136460955739,0.2177578437094142
72,0,0.15474673892406396,0.16710331225740205,0.35441776799824576,0.3875117523458855,0.5145322869780845,0.45136940325742636
73,0,-0.17503441101978315,0.10279068993886675,0.08860108797713574,-0.4115058582688538,0.23859485782029818,0.0845805633549587
74,0,-0.23169698041284614,0.1497377032489756,0.1217783152851381,-0.5391723217585346,0.3991656068963375,0.17677602879035448
75,0,0.3529892672323776,0.224754154003633,0.11628552528525443,0.9664926290175508,3.411240072776177,0.776927032812467
76,0,-0.147102089870147,0.12422266990432866,0.23634153502300437,-0.3448063631602583,0.2946147568463349,0.2418547106211547
77,0,0.03780147697237897,0.1947938587532828,0.8461297828905583,0.09850241385803907,0.5082037830336359,0.8463131951459082
78,0,0.19410110271013933,0.13073087870043654,0.1376132426995341,0.47753163922701375,0.293708174024549,0.10397707394098431
79,0,-0.04299980544535786,0.11228887780734094,0.701764895415421,-0.1000943802972527,0.29479632772738046,0.7342049232771453
80,0,0.12972294833088577,0.12284858978330297,0.2909874143317872,0.3184289035665714,0.33010508622860746,0.3347307228379386
81,0,-0.047937211985609365,0.12769898325423046,0.7073687483511779,-0.11184581151923485,0.2804081836125686,0.6899905737430434
82,0,-0.22435357846915363,0.18138096414813662,0.21611711931349387,-0.5202998088073298,0.4270957443007146,0.2231375071935464
83,0,0.23410734853530007,0.11507427664967129,0.04191107165757841,0.5876559826806077,0.39338711518952685,0.13521839118270068
84,0,0.17008463373135368,0.21974417077315725,0.4389236717579377,0.43870932086575104,1.8847492345258892,0.8159415581901511
85,0,-0.013241718907361423,0.13128409186502116,0.9196591451600695,-0.028842017931485206,0.32138253310102605,0.9284909866245873
86,0,-0.07319196872954713,0.15263319573567294,0.6315626919470123,-0.16994733575935705,0.3452279693997884,0.6225244653954064
87,0,-0.16572670636062486,0.1319707932960193,0.20919458083128406,-0.38757157337920745,0.29835749105834525,0.19393795662417257
88,0,0.15474673892406396,0.16384900794944124,0.3449411646131345,0.3875117523458855,0.4403448759675358,0.3788491460527217
89,0,-0.13924357546152033,0.15773553138719337,0.3773626752031628,-0.32299860657420176,0.37757791907101595,0.39230269529134454
90,0,0.1083321532495237,0.13069582050529516,0.4071679768770273,0.2659284513801994,0.3105185920771677,0.39177597861516356
91,0,0.1630736333204134,0.1967825909838411,0.4072744729120318,0.4167819325092254,0.6235600787961724,0.5038840513247829
92,0,-0.16547086644209894,0.15730897397267019,0.2928525586769387,-0.3843439312214187,0.4004680023915257,0.3371876317518425
93,0,-0.04684486771403628,0.11403543334302063,0.6812249055612931,-0.10934406563574017,0.31601993631779207,0.7293399379071546
94,0,-0.09036940756978337,0.1250168866606978,0.4697673706598423,-0.2114830073537409,0.3038640183378768,0.48644191577103935
95,0,-0.02695443900224487,0.13100531406167926,0.8369856294210474,-0.06220520906833902,0.2690967281130517,0.8171881672029346
96,0,-0.03558191530237494,0.12525743896524302,0.7763565250601971,-0.08266454437786952,0.3016191953457589,0.7840314101157329
97,0,0.008999474978186883,0.19744370957993235,0.9636450478509769,0.028623364683075973,0.5056037291333876,0.9548540761572107
98,0,0.0598238631927204,0.20996254337782047,0.7757005604083966,0.1540523284857626,0.5512167367882812,0.779878885911431
99,0,-0.04714305096982106,0.12373306701142509,0.7031987361801637,-0.1095666826313635,0.2807413625080435,0.6963322927334241
100,0,0.09435871655295155,0.1817116373627455,0.6035674263551843,0.2359651091902942,0.47894374314466465,0.6222400308397137
101,0,-0.04692491093826077,0.11772824285631954,0.6901977686024086,-0.10973631396071312,0.28910977765241125,0.7042674181334073
102,0,0.042199455451314344,0.12770991586543323,0.7410734914744661,0.10333086244055822,0.30513182529848154,0.7348784241997759
103,0,-0.1216256837232522,0.191588863970549,0.5255415923513913,-0.2811369269512198,0.40610012153731695,0.48875851605753395
104,0,-0.02184250924296627,0.1225346570389235,0.8585221154206276,-0.05034125630280534,0.29085642095401426,0.8625890129964807
105,0,-0.1252014294422304,0.18467424501294324,0.4977981599642908,-0.28901660968325,0.4482781616132371,0.5191047299737241
106,0,-0.03239255529756052,0.1979557533663934,0.8700182291793572,-0.07044227759100771,0.4556680123993029,0.8771435859108032
107,0,0.18519270375912988,0.14766728867124332,0.20979789061998244,0.46215331303234936,0.3702606882366392,0.21196383409091846
108,0,-0.2238886152999989,0.18983862320464687,0.23825373068308964,-0.5180046067203963,0.5102785977584242,0.3100387314469666
109,0,0.18110531625769347,0.1325573148397812,0.17186314830776372,0.4508337131380152,0.4272666948020586,0.29135323840395055
110,0,-0.23799561535625957,0.14492409422655048,0.10054675034100537,-0.5550159945540838,0.3624066954086921,0.12565258518477102
111,0,-0.11956285163595551,0.19478603249194576,0.5393366912737436,-0.2754230910958878,0.4238747332885768,0.5158377431346939
112,0,-0.08931747478055202,0.12722809286229755,0.4826627253285892,-0.20937193465995135,0.26717006938418525,0.4332364800652121
113,1,0.12158489474116409,0.09528686044944468,0.20195974532842131,0.29195719377293605,0.2511649141708188,0.2450680161375235
114,0,0.36422385930211354,0.20617604699867617,0.07730072411800094,0.9940566020275703,2.5360468916266083,0.695079709581482
115,0,0.12068228973069821,0.12262801763551374,0.3250500797268543,0.29488091501900393,0.30722910178240626,0.33715191212807616
116,0,0.17895292061518947,0.13501432714354725,0.18502640930124492,0.4436666323561391,0.34647225228414774,0.2003603030212715
117,0,0.037239382457423705,0.13080737373370138,0.7758826411745612,0.09222959158041018,0.296719273319287,0.7559289910950091
118,0,0.0011517023431783686,0.13253022128665318,0.9930663818141642,0.0052581142793484735,0.3045540208856292,0.9862252359224729
119,0,-0.041406519799083635,0.1137483231459582,0.715844025184662,-0.09689602202168683,0.2747465606251456,0.7243327074461672
120,0,-0.1523919002116079,0.1249180704275031,0.222489595498505,-0.357618874823884,0.30587410802211346,0.24233508764138878
121,0,-0.01517306779695681,0.14093293106658772,0.9142641145846149,-0.03303052567648207,0.32179265717566125,0.9182444346197179
122,0,-0.155553624667185,0.11641543318306265,0.18148581179580947,-0.36542751560337594,0.2663179293859443,0.17001748460103483
123,0,-0.061852667375613575,0.12409281697996503,0.618174837015791,-0.14493246852308775,0.2807528518191522,0.6056952128731095
124,0,-0.13858804979244285,0.14077394030866455,0.3248833271379742,-0.32291260323016935,0.3726552828163712,0.3862060230985883
125,0,-0.0716898430552374,0.23829595590158523,0.76353366417816,-0.1599728391978273,0.6162108219569382,0.7951666904010086
126,0,0.24402136804603955,0.1607418732797622,0.12899055506896925,0.6256893281460206,1.3796987098257278,0.6501908496944697
127,0,-0.26389774469018246,0.21388879168476185,0.21727438379168051,-0.6121841903829456,0.46789684527230035,0.19074639749561162
128,0,0.021286164859652512,0.1272297389635625,0.8671301110834557,0.05339970906339277,0.33138302578013973,0.8719815956637732
129,0,0.14787310162008502,0.13732154168691418,0.2815524915749449,0.36272392754213845,0.3316715155914871,0.2741199214959611
130,0,-0.0688985337713367,0.1366212230640935,0.6140482581835431,-0.16074933251531387,0.31017830759340204,0.6042851475231985
131,1,0.10079667084427711,0.11202159559891935,0.36822840906152976,0.24188494329141189,0.24420486239695854,0.32192973496880883
132,0,0.10407202657087156,0.12958849326014793,0.42191913360316446,0.255681094342732,0.3922307653859931,0.5144889455083184
133,0,-0.1953097322724248,0.19125998742885644,0.3071719937491477,-0.4526253777022649,0.4611918673901552,0.32638304325080847
134,0,-0.13470607643808885,0.18546971521877864,0.4676567885208831,-0.3113847782879319,0.41184412693497985,0.449604623004787
135,0,-0.1583625605262752,0.18195457786841762,0.3841139852603862,-0.36642020166580236,0.4501900157896421,0.41568881747457387
136,0,0.021865082804247947,0.15942441014896103,0.8909121078425837,0.056482475577696596,0.3731389894302335,0.8796829511614763
137,0,-0.03272142882795697,0.1412781684870517,0.8168409825670704,-0.07442588663740422,0.33339823431421234,0.823353239163851
138,1,0.28781301689544747,0.11195446541452048,0.0101462655533141,0.7122546426376305,0.3070944651540855,0.020376931770634384
139,0,-0.20125380433622364,0.1426862474245706,0.1584027418361913,-0.46935181998549547,0.3192641475041945,0.1415333180298123
140,0,0.01357091395212825,0.11693126386633647,0.9076058610539507,0.03406119287489574,0.29374287443668423,0.9076875641491966
141,0,0.03815021687489232,0.14057966528884044,0.7861003839212188,0.09459370317016387,0.36460519156090165,0.7952946441469432
142,0,-0.12909067833858204,0.13233161742253902,0.32930785993765077,-0.30061924217740554,0.38199281671256546,0.431295818734724
143,0,0.17401563246595456,0.1303513868456362,0.18188505664383336,0.42863431829969506,0.3560541194461129,0.22864911646161545
144,0,0.23005221144276655,0.12286524984195028,0.0611520528218904,0.5744991670162043,0.3351882526291507,0.08653612193831724
145,0,-0.0324315436194736,0.15764567557395015,0.8370062889553116,-0.07323409708477022,0.3999133573174586,0.8547000118482758
146,0,-0.2096142257963635,0.1184954068675861,0.07689971788810944,-0.4925879903656439,0.2932716243142972,0.09302921279105679
147,0,0.15696549242280114,0.1102642465134061,0.1545798670444941,0.38370487820526683,0.29514585123461556,0.19358323567026348
148,0,0.28682343410193273,0.2460750960314519,0.2437789987635125,0.759513412092674,2.468447114758613,0.7583191793992933
149,0,0.061401714931129864,0.1520079135147046,0.6862585907122583,0.15147161163214035,0.37379713713373747,0.6853127853887722
