ln_true,ln_naive,se_naive,ln_lam,se_lam,lam,feasible,n,varphi,pi,theta,p_sel,q_sel,detK,a_hat,b_hat,c_hat,d_hat,n_sweep
0.6931471805599453,0.28997851382943146,0.0568112189805947,0.7685153776763424,0.07345316434311287,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,658.2500000000002,348.4166666666667,1864.75,2128.5833333333335,5000
0.6931471805599453,0.28138970043129063,0.056737163555118576,0.697126131168758,0.07040323780707278,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,689.3333333333336,404.0000000000001,1794.6666666666667,2112.0,5000
0.6931471805599453,0.32457142156215485,0.05691073025843944,0.9145938918477855,0.07679105660300219,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,641.1666666666669,298.8333333333334,1876.8333333333335,2183.166666666667,5000
0.6931471805599453,0.30341863861412655,0.056854090009089066,0.8298771519036794,0.07499221459211916,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,642.5833333333335,325.75000000000017,1864.4166666666667,2167.25,5000
0.6931471805599453,0.17420272191174704,0.05667018395870761,0.4362418944866291,0.06999684539108027,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,625.1666666666667,438.1666666666667,1888.8333333333335,2047.8333333333335,5000
0.6931471805599453,0.18704680365827045,0.05671044360458701,0.48520670560071855,0.0714008529965246,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,601.9166666666669,411.41666666666686,1889.0833333333335,2097.5833333333335,5000
0.6931471805599453,0.2828793318683403,0.05682761003686704,0.7668997603405054,0.07431462593221586,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,636.3333333333335,338.66666666666686,1875.6666666666667,2149.3333333333335,5000
0.6931471805599453,0.17161520571309596,0.056745497692911,0.462274628599018,0.07277866625665798,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,569.0000000000002,392.6666666666667,1927.0,2111.3333333333335,5000
0.6931471805599453,0.27474887818228233,0.056777158679923286,0.7166210725443234,0.07249949733857224,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,653.3333333333335,368.3333333333334,1846.6666666666667,2131.666666666667,5000
0.6931471805599453,0.2876911561288675,0.056823810829260545,0.774475584211271,0.07407359004368413,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,644.0833333333335,340.91666666666674,1868.9166666666667,2146.0833333333335,5000
0.6931471805599453,0.27269621441905145,0.056787813786062825,0.7195472702700239,0.0728971740431492,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,638.4166666666667,364.91666666666674,1838.5833333333335,2158.0833333333335,5000
0.6931471805599453,0.17682730787131745,0.05670276376152968,0.4534396467342233,0.07098093242808681,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,616.0833333333334,415.5833333333335,1924.9166666666667,2043.4166666666667,5000
0.6931471805599453,0.29736100735106336,0.05685394715321956,0.8013808892495948,0.0744469580810111,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,661.6666666666669,330.0,1898.3333333333335,2110.0,5000
0.6931471805599453,0.303735471505644,0.05688248333723582,0.8519701215142751,0.07610695312939883,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,624.0833333333334,312.5833333333335,1868.9166666666667,2194.416666666667,5000
0.6931471805599453,0.33405392123259514,0.05686763358897749,0.903089440653005,0.07488055899605324,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,665.7500000000002,322.5833333333335,1827.25,2184.416666666667,5000
0.6931471805599453,0.3192051954109363,0.0568378980837125,0.8212516856251655,0.07276396780067375,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,711.7500000000002,348.2500000000001,1865.25,2074.75,5000
0.6931471805599453,0.1765520545592588,0.056672603537593756,0.4429724716170398,0.07002570932282812,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,616.6666666666667,441.66666666666674,1863.3333333333335,2078.3333333333335,5000
0.6931471805599453,0.31351926177333794,0.05683102659639049,0.8259560410585142,0.0735643764194227,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,680.6666666666669,341.0,1855.3333333333335,2123.0,5000
0.6931471805599453,0.3043828895144433,0.056741352664998,0.734617805132772,0.06960566453510397,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,725.7500000000002,412.5833333333335,1767.25,2094.416666666667,5000
