method,n,theta,p_sel,q_sel,bias,rmse,coverage,ridge_frac,infeas_frac,detK
naive,5000,0.6931471805599453,0.95,0.65,-0.4287542905167075,0.43273887445009124,0.0,,,0.6000000000000001
lambda-OR,5000,0.6931471805599453,0.95,0.65,0.007434198404075111,0.16259797783290586,0.596,0.0,0.0,0.6000000000000001
naive,10000,0.6931471805599453,0.95,0.65,-0.43047346382166984,0.43230524955846955,0.0,,,0.6000000000000001
lambda-OR,10000,0.6931471805599453,0.95,0.65,0.0026026792700416463,0.1115689059288006,0.656,0.0,0.0,0.6000000000000001
naive,20000,0.6931471805599453,0.95,0.65,-0.4310410768950263,0.43199087390237173,0.0,,,0.6000000000000001
lambda-OR,20000,0.6931471805599453,0.95,0.65,0.002694467249402851,0.07881763584482249,0.624,0.0,0.0,0.6000000000000001
naive,50000,0.6931471805599453,0.95,0.65,-0.43066087522974994,0.43106092311185645,0.0,,,0.6000000000000001
lambda-OR,50000,0.6931471805599453,0.95,0.65,0.0006641464652459513,0.051171000184860184,0.588,0.0,0.0,0.6000000000000001
