method,p_sel,q_sel,m,bias,rmse,coverage,ridge_frac,infeas_frac,detK
naive,0.98,0.98,0.02,-0.056213552089974854,0.06825351797806399,0.644,,,0.96
lambda-OR,0.98,0.98,0.02,0.0025972802453759583,0.04273797617150802,0.912,0.0,0.0,0.96
naive,0.9564285714285714,0.9564285714285714,0.043571428571428567,-0.12119253250625746,0.12616843991424606,0.084,,,0.9128571428571428
lambda-OR,0.9564285714285714,0.9564285714285714,0.043571428571428567,-0.0023557438110454318,0.043273428862017696,0.904,0.0,0.0,0.9128571428571428
naive,0.9328571428571428,0.9328571428571428,0.06714285714285714,-0.17150417050765235,0.17503901279321388,0.0,,,0.8657142857142857
lambda-OR,0.9328571428571428,0.9328571428571428,0.06714285714285714,0.0018883922179824815,0.0478594792572472,0.876,0.0,0.0,0.8657142857142857
naive,0.9092857142857143,0.9092857142857143,0.0907142857142857,-0.21875695514838406,0.2208461228146477,0.0,,,0.8185714285714285
lambda-OR,0.9092857142857143,0.9092857142857143,0.0907142857142857,0.0028172212654729084,0.04585968268574754,0.876,0.0,0.0,0.8185714285714285
naive,0.8857142857142857,0.8857142857142857,0.11428571428571428,-0.26396191337664854,0.2656853614155478,0.0,,,0.7714285714285714
lambda-OR,0.8857142857142857,0.8857142857142857,0.11428571428571428,0.00029739110244171395,0.05042247120348539,0.844,0.0,0.0,0.7714285714285714
naive,0.8621428571428571,0.8621428571428571,0.13785714285714284,-0.30437807465695427,0.3060873077522628,0.0,,,0.7242857142857142
lambda-OR,0.8621428571428571,0.8621428571428571,0.13785714285714284,-0.0011599248019227492,0.05931265455663382,0.776,0.0,0.0,0.7242857142857142
naive,0.8385714285714286,0.8385714285714286,0.1614285714285714,-0.3396755196577601,0.3410623980650179,0.0,,,0.6771428571428573
lambda-OR,0.8385714285714286,0.8385714285714286,0.1614285714285714,-0.001143698883758718,0.06319550246578488,0.724,0.0,0.0,0.6771428571428573
naive,0.8150000000000001,0.8150000000000001,0.18499999999999997,-0.37245214492476564,0.37379687163445563,0.0,,,0.6300000000000001
lambda-OR,0.8150000000000001,0.8150000000000001,0.18499999999999997,0.0013599506734636691,0.07253235218683798,0.708,0.0,0.0,0.6300000000000001
naive,0.7914285714285715,0.7914285714285715,0.20857142857142855,-0.40324959263146515,0.40462719907070316,0.0,,,0.582857142857143
lambda-OR,0.7914285714285715,0.7914285714285715,0.20857142857142855,0.0028294578023909107,0.08332014816300017,0.64,0.0,0.0,0.582857142857143
naive,0.7678571428571429,0.7678571428571429,0.23214285714285712,-0.43422480207602454,0.4351915929400984,0.0,,,0.5357142857142858
lambda-OR,0.7678571428571429,0.7678571428571429,0.23214285714285712,-0.001644484795812654,0.08103236409802601,0.604,0.0,0.0,0.5357142857142858
naive,0.7442857142857142,0.7442857142857142,0.2557142857142857,-0.45915095445483023,0.46014170504003005,0.0,,,0.48857142857142843
lambda-OR,0.7442857142857142,0.7442857142857142,0.2557142857142857,0.0061299272682660295,0.09548924609594886,0.584,0.0,0.0,0.48857142857142843
naive,0.7207142857142856,0.7207142857142856,0.2792857142857143,-0.48776896587820967,0.4887171539898108,0.0,,,0.4414285714285713
lambda-OR,0.7207142857142856,0.7207142857142856,0.2792857142857143,-0.0021770508818457265,0.10825973513287786,0.532,0.0,0.0,0.4414285714285713
naive,0.6971428571428572,0.6971428571428572,0.3028571428571428,-0.5084635656895866,0.5092732013047698,0.0,,,0.39428571428571435
lambda-OR,0.6971428571428572,0.6971428571428572,0.3028571428571428,0.013876346908006303,0.11742067684701527,0.528,0.0,0.0,0.39428571428571435
naive,0.6735714285714286,0.6735714285714286,0.3264285714285714,-0.5345205461441114,0.5352243291975235,0.0,,,0.3471428571428572
lambda-OR,0.6735714285714286,0.6735714285714286,0.3264285714285714,0.008943036337923625,0.13192873619169623,0.456,0.0,0.0,0.3471428571428572
naive,0.65,0.65,0.35,-0.5589922781041289,0.559728784909125,0.0,,,0.30000000000000004
lambda-OR,0.65,0.65,0.35,-0.0030756477048467846,0.15966130182480054,0.396,0.0,0.0,0.30000000000000004
