ln_true,ln_naive,se_naive,ln_lam,se_lam,lam,feasible,n,varphi,pi,theta,p_sel,q_sel,detK,a_hat,b_hat,c_hat,d_hat,m
0.6931471805599453,0.6759898144971421,0.035621571727440494,0.7389050180024074,0.03666177067659865,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2565.104166666667,1422.3958333333335,7409.895833333333,8602.604166666666,0.02
0.6931471805599453,0.5767307671265316,0.03534222540726331,0.6294512901042586,0.03630118336038687,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2512.1458333333335,1495.1458333333335,7554.854166666666,8437.854166666666,0.02
0.6931471805599453,0.5995591555290716,0.03545314282288461,0.6548368507083966,0.03643890208736776,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2514.6875,1471.7708333333333,7530.312499999999,8483.229166666666,0.02
0.6931471805599453,0.632603326527441,0.03584700361525019,0.6930164145541824,0.03691849956041849,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2455.2708333333335,1415.5625,7491.729166666666,8637.4375,0.02
0.6931471805599453,0.6051884142698917,0.0356326376403472,0.6620081078440729,0.036654524265620554,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2462.291666666667,1454.375,7497.708333333333,8585.625,0.02
0.6931471805599453,0.5829469854346954,0.035271997285440254,0.6362159007956762,0.03621993388653837,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2450.2083333333335,1533.1250000000002,7339.791666666666,8676.875,0.02
0.6931471805599453,0.6549123125609236,0.03557913983017813,0.7157503593682769,0.036604805676241775,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2547.1875,1436.1458333333333,7437.812499999999,8578.854166666666,0.02
0.6931471805599453,0.6422302840635621,0.035377506963056436,0.7008330314371211,0.036360805795235755,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2576.854166666667,1465.8541666666667,7434.145833333333,8523.145833333332,0.02
0.6931471805599453,0.5970184834884087,0.03529664259705823,0.6514486627943556,0.036253092053123416,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2507.5833333333335,1505.9583333333335,7428.416666666666,8558.041666666666,0.02
0.6931471805599453,0.6439193179792652,0.0354204561805516,0.7029308096683987,0.0364125126280442,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2564.7500000000005,1461.2916666666667,7427.249999999999,8546.708333333332,0.02
