method,p_sel,q_sel,x,bias,rmse,coverage,ridge_frac,infeas_frac,detK
naive,0.95,0.98,0.02,-0.06325777871522639,0.07303285792086532,0.58,,,0.9299999999999999
lambda-OR,0.95,0.98,0.02,0.00227634341712194,0.04074333083387895,0.912,0.0,0.0,0.9299999999999999
naive,0.95,0.935,0.065,-0.1599668741851862,0.16311918601527214,0.0,,,0.885
lambda-OR,0.95,0.935,0.065,0.005089216167984347,0.043177247500355495,0.892,0.0,0.0,0.885
naive,0.95,0.89,0.11,-0.23845877198521034,0.24064505650359716,0.0,,,0.8399999999999999
lambda-OR,0.95,0.89,0.11,-0.004465429661477735,0.050988787132221054,0.812,0.0,0.0,0.8399999999999999
naive,0.95,0.845,0.155,-0.29388794959271236,0.2953240660683959,0.0,,,0.7949999999999999
lambda-OR,0.95,0.845,0.155,-0.005193044776281758,0.05287941246403253,0.824,0.0,0.0,0.7949999999999999
naive,0.95,0.8,0.19999999999999998,-0.3371905732204863,0.33836496650280834,0.0,,,0.75
lambda-OR,0.95,0.8,0.19999999999999998,-0.006141147726498664,0.0578513553889259,0.78,0.0,0.0,0.75
naive,0.95,0.755,0.24499999999999997,-0.37270618319625465,0.3738671475741515,0.0,,,0.7050000000000001
lambda-OR,0.95,0.755,0.24499999999999997,-0.005343108327782571,0.06667373084889311,0.74,0.0,0.0,0.7050000000000001
naive,0.95,0.71,0.29000000000000004,-0.3974160932405649,0.39840038705135733,0.0,,,0.6599999999999999
lambda-OR,0.95,0.71,0.29000000000000004,0.003054131186576034,0.06973426633817036,0.708,0.0,0.0,0.6599999999999999
naive,0.95,0.665,0.335,-0.4199410955403346,0.4208091916818065,0.0,,,0.615
lambda-OR,0.95,0.665,0.335,0.012354677537022298,0.07564241201208935,0.656,0.0,0.0,0.615
naive,0.95,0.62,0.38,-0.4461847597305879,0.44709731831339344,0.0,,,0.5699999999999998
lambda-OR,0.95,0.62,0.38,-0.002395262169418144,0.08594220155095265,0.6,0.0,0.0,0.5699999999999998
naive,0.95,0.575,0.425,-0.46490934095514697,0.46570968094881254,0.0,,,0.5249999999999999
lambda-OR,0.95,0.575,0.425,-0.0006208159822989256,0.08833094530889071,0.564,0.0,0.0,0.5249999999999999
naive,0.95,0.53,0.47,-0.4825511335516264,0.4834278974642523,0.0,,,0.48
lambda-OR,0.95,0.53,0.47,-0.003075786848024793,0.10244340401228351,0.484,0.0,0.0,0.48
naive,0.95,0.485,0.515,-0.49734406901249745,0.49825670115880555,0.0,,,0.43500000000000005
lambda-OR,0.95,0.485,0.515,-0.004076788505618074,0.11600502627680723,0.472,0.0,0.0,0.43500000000000005
naive,0.95,0.43999999999999995,0.56,-0.5094290785418286,0.5103101542681079,0.0,,,0.3899999999999999
lambda-OR,0.95,0.43999999999999995,0.56,0.002435984441124173,0.1253537142328129,0.392,0.0,0.0,0.3899999999999999
naive,0.95,0.395,0.605,-0.5217425770367803,0.5225924350368769,0.0,,,0.345
lambda-OR,0.95,0.395,0.605,0.0053660450926060095,0.1327624535608835,0.436,0.0,0.0,0.345
naive,0.95,0.35,0.65,-0.5362511899688133,0.537157243216816,0.0,,,0.2999999999999998
lambda-OR,0.95,0.35,0.65,0.00031645373681623234,0.15034126863508898,0.404,0.0,0.0,0.2999999999999998
