0.01,0.04,0.07,0.1,0.15
0.044,-0.033,-0.037,0.003,-0.009
-0.022,0.028,-0.011,-0.011,0.111
-0.034,0.088,0.01,0.053,0.011
0.041,-0.015,-0.025,-0.109,-0.037
0.097,0.14,0.038,-0.088,-0.01
0.007,0.035,0.042,0.04,-0.052
0.028,-0.013,0.005,0.037,-0.078
-0.037,-0.007,0.013,0.042,-0.05
0.024,0.004,-0.053,0.029,-0.039
0.102,0.048,0.02,-0.054,0.034
0.024,0.004,-0.0,-0.01,0.024
-0.012,0.01,-0.006,-0.005,-0.071
-0.037,-0.019,0.025,-0.016,0.011
0.008,0.034,-0.012,-0.002,0.026
-0.013,-0.014,0.022,0.041,0.029
0.02,0.001,-0.007,0.015,0.006
-0.024,0.001,0.018,-0.038,-0.004
0.019,-0.007,0.004,-0.008,0.017
-0.001,-0.001,-0.012,-0.009,0.017
0.052,0.041,-0.015,0.029,0.022
0.01,-0.007,0.011,0.003,-0.04
0.012,0.001,0.002,-0.031,0.011
-0.005,0.015,-0.012,-0.007,0.009
0.014,-0.019,-0.003,0.031,-0.004
0.024,-0.017,-0.005,0.009,0.059
0.01,-0.003,0.018,0.062,-0.009
0.006,-0.006,-0.015,0.051,-0.008
0.001,0.062,0.046,0.025,-0.04
0.039,0.015,-0.003,0.073,-0.055
0.025,0.027,0.053,0.028,-0.002
0.002,0.002,-0.038,0.026,-0.002
-0.01,-0.012,0.034,-0.042,0.038
0.028,-0.02,0.055,-0.009,0.002
-0.014,0.044,0.004,-0.055,-0.002
-0.029,0.01,0.016,0.082,0.002
0.016,0.018,0.014,0.001,0.003
-0.018,-0.028,0.021,0.011,-0.005
0.017,0.006,0.01,-0.014,0.018
0.008,-0.009,0.01,-0.042,-0.002
0.025,-0.031,0.011,-0.016,0.052
-0.013,0.009,0.016,0.012,-0.013
0.011,0.007,-0.024,-0.005,0.006
0.001,-0.005,0.011,0.014,-0.005
0.01,0.033,-0.009,0.001,-0.016
-0.013,0.044,0.027,-0.015,-0.003
0.002,-0.007,-0.017,-0.013,-0.006
-0.004,-0.004,0.022,-0.013,-0.032
-0.009,-0.013,0.008,0.013,0.001
0.005,-0.02,0.027,0.0,0.011
0.028,0.046,0.012,-0.013,0.035
-0.049,-0.019,0.029,0.006,-0.04
-0.005,0.015,0.012,-0.011,-0.002
-0.015,0.044,-0.017,-0.017,0.052
-0.031,-0.031,-0.039,-0.047,0.008
0.018,-0.004,0.013,-0.036,-0.04
0.004,0.031,-0.019,-0.011,-0.033
0.014,0.016,0.015,0.029,-0.04
0.01,0.022,0.004,-0.006,0.014
0.008,-0.023,-0.025,-0.01,-0.017
0.02,-0.015,-0.042,0.021,0.001
-0.001,0.019,0.006,-0.021,-0.007
-0.015,0.009,0.009,-0.027,-0.028
-0.018,-0.018,-0.014,-0.0,0.004
-0.007,-0.035,0.017,-0.003,-0.003
0.017,0.003,-0.003,-0.025,0.025
0.008,0.001,-0.003,-0.011,-0.005
-0.012,0.005,0.003,0.003,0.004
0.002,0.001,0.002,0.001,0.005
0.02,0.002,-0.007,-0.007,0.006
0.017,-0.023,0.001,0.005,0.007
0.009,-0.004,0.006,0.007,-0.005
-0.001,0.014,-0.005,-0.007,0.005
0.002,-0.011,-0.005,0.009,0.004
-0.003,0.007,0.003,0.014,-0.026
0.019,0.017,0.005,0.01,0.002
0.003,-0.038,-0.01,-0.014,0.032
0.023,-0.029,-0.005,-0.016,0.064
0.039,-0.041,0.052,-0.014,0.028
0.007,-0.012,-0.017,-0.034,0.011
0.036,0.018,-0.003,0.047,-0.029
-0.012,0.004,-0.002,-0.004,0.01
-0.007,0.026,0.025,-0.001,-0.019
-0.023,-0.009,0.034,-0.033,-0.014
0.019,-0.008,0.012,-0.015,-0.0
-0.007,-0.014,-0.006,0.003,-0.01
-0.001,0.001,0.004,-0.017,-0.002
0.0,0.009,0.009,-0.013,-0.024
-0.002,-0.005,0.005,-0.002,-0.012
0.005,0.005,-0.005,0.006,-0.014
0.014,-0.028,-0.027,0.012,0.029
0.001,0.009,0.001,0.005,-0.013
0.003,-0.003,-0.002,0.001,0.009
-0.007,0.005,0.005,-0.006,0.014
-0.025,-0.012,-0.0,-0.005,-0.006
-0.01,0.0,-0.002,0.006,0.009
-0.012,-0.0,0.003,-0.009,0.001
0.008,-0.005,0.006,0.006,0.001
-0.003,0.009,-0.012,0.005,0.01
-0.001,-0.005,-0.008,0.003,-0.01
0.009,0.006,0.002,0.005,0.0
0.027,-0.041,0.001,-0.024,0.007
0.013,-0.003,0.009,0.017,0.015
0.016,0.006,-0.025,-0.016,-0.023
0.003,0.012,-0.016,-0.012,0.012
-0.028,-0.01,0.001,0.022,0.015
0.009,0.004,-0.012,0.017,0.023
-0.017,0.014,-0.022,-0.021,-0.008
-0.003,0.029,-0.007,0.021,0.006
-0.027,0.007,-0.009,0.037,-0.02
0.014,-0.017,-0.06,-0.0,-0.001
0.0,-0.008,-0.015,0.017,-0.004
-0.002,-0.007,0.009,-0.013,0.012
0.02,-0.001,-0.005,0.018,0.017
0.004,-0.007,0.01,0.007,-0.021
0.009,0.009,0.001,-0.003,-0.027
0.002,0.008,-0.015,-0.019,0.011
-0.007,-0.004,0.001,0.009,0.009
0.007,0.002,0.013,-0.004,0.001
-0.011,0.006,-0.0,0.009,0.015
-0.004,-0.001,-0.001,0.01,-0.007
0.004,-0.018,0.017,-0.009,0.002
-0.002,-0.008,-0.023,-0.002,0.005
-0.002,0.012,-0.006,0.005,0.003
-0.004,0.001,0.004,0.013,0.006
-0.011,-0.004,-0.01,-0.003,-0.008
