j,is_signal,ln_true,ln_naive,se_naive,p_naive,ln_lam,se_lam,p_lam,lam,feasible
0,True,0.1823215567939546,0.007141819843941654,0.09359669553424856,0.9391770940885816,0.019781050462425908,0.11301891639631352,0.8610605832249054,0.0,True
1,True,0.1823215567939546,0.05936346823273245,0.10534209990752903,0.5730738136531262,0.17199894945307473,0.1234981503149544,0.16370299493500698,0.0,True
2,False,0.0,-0.09189223162371526,0.1055987205304975,0.3841899516462977,-0.3012671236336138,0.13710672515533714,0.027997717739683983,0.0,True
3,True,0.1823215567939546,-0.05561524108563376,0.10116481106444834,0.5824916289310145,-0.17792764153719512,0.12738416047501133,0.1624797528298908,0.0,True
4,False,0.0,0.04135672750502206,0.14117476965968878,0.7695626508857093,0.11768242540316977,0.16689293495253446,0.4807248263629237,0.0,True
5,True,0.1823215567939546,-0.1319713821632971,0.11824086873833292,0.2643693832267389,-0.45036219937842875,0.1604993255903352,0.005015963342415169,0.0,True
6,True,0.1823215567939546,-0.06901397498907841,0.10244898503295129,0.5005387220083528,-0.22252476932704088,0.1303763757471014,0.08786155532263557,0.0,True
7,True,0.1823215567939546,0.2584950268990324,0.12187477165134275,0.03392274411047486,0.6862051612115962,0.13127127181617554,1.7192650208525836e-07,0.0,True
8,False,0.0,-0.04566352620204959,0.1389922379029676,0.7425087554171053,-0.1494174467696233,0.17491383083045411,0.3929750142053946,0.0,True
9,False,0.0,-0.022711875978622904,0.09408495485160498,0.8092470247308419,-0.07193682126097853,0.11564669595784235,0.5339158477097026,0.0,True
10,True,0.1823215567939546,0.24114616192227398,0.11866708266196589,0.042141159533075304,0.6452393917613364,0.1286360719045774,5.275650411111912e-07,0.0,True
11,True,0.1823215567939546,0.04411785273150208,0.09903671104755399,0.6559803608955781,0.1287431587462794,0.11714916998381156,0.27178213681502944,0.0,True
12,True,0.1823215567939546,0.0884585914539533,0.09076405492205501,0.3297590223842152,0.25556043143643314,0.10538260604777269,0.015305341263966647,0.0,True
13,False,0.0,0.17262101828478923,0.12655281643844735,0.17256016298340135,0.47337603157805486,0.14024671828062485,0.0007373281251433449,0.0,True
14,False,0.0,0.006178513077973515,0.11130247752826318,0.9557313577991794,0.01579011594018848,0.13451279349301282,0.9065530162752775,0.0,True
15,False,0.0,-0.21818914955490643,0.11505724364726326,0.05791338189172594,-0.8125829286582925,0.17386535006834564,2.9591716676642324e-06,0.0,True
16,False,0.0,0.23378218494762976,0.23395624525690853,0.3176706877463432,0.6132411879934506,0.2518492848491037,0.014893721444184438,0.0,True
17,False,0.0,0.11579385369282467,0.16349343226849525,0.47879142512396017,0.3219972556453793,0.18525564510792408,0.08218899275941316,0.0,True
18,True,0.1823215567939546,0.07867276237939004,0.09572149298914126,0.41113816986998347,0.22747822617093413,0.1114061738830418,0.04116326882800376,0.0,True
19,False,0.0,0.0673140395250168,0.4065072514087431,0.8684786421727317,0.15675466433757204,0.48389752870604774,0.7459820534009742,0.0,True
