method,n,theta,p_sel,q_sel,bias,rmse,coverage,ridge_frac,infeas_frac,detK
naive,5000,0.6931471805599453,0.95,0.65,-0.4295230260328199,0.4334985338803312,0.0,,,0.6000000000000001
lambda-OR,5000,0.6931471805599453,0.95,0.65,0.009195408212585895,0.1663629048287327,0.572,0.0,0.0,0.6000000000000001
naive,10000,0.6931471805599453,0.95,0.65,-0.4329061459741721,0.4347653123466681,0.0,,,0.6000000000000001
lambda-OR,10000,0.6931471805599453,0.95,0.65,-0.0033618670332005705,0.11181963421076613,0.584,0.0,0.0,0.6000000000000001
naive,20000,0.6931471805599453,0.95,0.65,-0.4292503381232539,0.43027865898455264,0.0,,,0.6000000000000001
lambda-OR,20000,0.6931471805599453,0.95,0.65,0.005658271491710191,0.08262161911381886,0.624,0.0,0.0,0.6000000000000001
naive,50000,0.6931471805599453,0.95,0.65,-0.4308583347270396,0.4312133763296914,0.0,,,0.6000000000000001
lambda-OR,50000,0.6931471805599453,0.95,0.65,0.0015153795807715347,0.049435692515960875,0.64,0.0,0.0,0.6000000000000001
