method,p_sel,q_sel,x,bias,rmse,coverage,ridge_frac,infeas_frac,detK
naive,0.95,0.98,0.02,-0.06547979056798948,0.07464818710566459,0.544,,,0.9299999999999999
lambda-OR,0.95,0.98,0.02,-0.0001568773310176601,0.03993688349113993,0.936,0.0,0.0,0.9299999999999999
naive,0.95,0.935,0.065,-0.16391187200631113,0.1675664560502806,0.0,,,0.885
lambda-OR,0.95,0.935,0.065,-0.00021714989844015564,0.04671283883273752,0.872,0.0,0.0,0.885
naive,0.95,0.89,0.11,-0.2350830211274259,0.2371989596141669,0.0,,,0.8399999999999999
lambda-OR,0.95,0.89,0.11,0.0006356884766503348,0.04980429013454592,0.864,0.0,0.0,0.8399999999999999
naive,0.95,0.845,0.155,-0.29264246601550076,0.29403302440313145,0.0,,,0.7949999999999999
lambda-OR,0.95,0.845,0.155,-0.0029323109989515092,0.05188141824201551,0.836,0.0,0.0,0.7949999999999999
naive,0.95,0.8,0.19999999999999998,-0.33570287285719225,0.3369873679112083,0.0,,,0.75
lambda-OR,0.95,0.8,0.19999999999999998,-0.0024918970970302374,0.059252405487167176,0.752,0.0,0.0,0.75
naive,0.95,0.755,0.24499999999999997,-0.3710968093858223,0.3723872280265379,0.0,,,0.7050000000000001
lambda-OR,0.95,0.755,0.24499999999999997,-0.0030423214814129006,0.06956609352647483,0.732,0.0,0.0,0.7050000000000001
naive,0.95,0.71,0.29000000000000004,-0.3987613140400144,0.3998104758514144,0.0,,,0.6599999999999999
lambda-OR,0.95,0.71,0.29000000000000004,0.0006076945382336661,0.0730584721453509,0.692,0.0,0.0,0.6599999999999999
naive,0.95,0.665,0.335,-0.42775251112566137,0.4287541717457124,0.0,,,0.615
lambda-OR,0.95,0.665,0.335,-0.00965788403727489,0.08119704444189323,0.6,0.0,0.0,0.615
naive,0.95,0.62,0.38,-0.44518216729880034,0.44600738859063566,0.0,,,0.5699999999999998
lambda-OR,0.95,0.62,0.38,-0.0001317332128055655,0.07909194939433692,0.648,0.0,0.0,0.5699999999999998
naive,0.95,0.575,0.425,-0.46342190989306814,0.4642319078216421,0.0,,,0.5249999999999999
lambda-OR,0.95,0.575,0.425,0.0037968465467649714,0.09024381247594046,0.572,0.0,0.0,0.5249999999999999
naive,0.95,0.53,0.47,-0.4827347718818242,0.48352226705265683,0.0,,,0.48
lambda-OR,0.95,0.53,0.47,-0.006546609853071482,0.09663032769460692,0.54,0.0,0.0,0.48
naive,0.95,0.485,0.515,-0.49443548047170177,0.495246076369675,0.0,,,0.43500000000000005
lambda-OR,0.95,0.485,0.515,0.008482786798795924,0.10778650004631882,0.468,0.0,0.0,0.43500000000000005
naive,0.95,0.43999999999999995,0.56,-0.5122606209092578,0.5130824515011853,0.0,,,0.3899999999999999
lambda-OR,0.95,0.43999999999999995,0.56,-0.005524873440568522,0.117683026485281,0.452,0.0,0.0,0.3899999999999999
naive,0.95,0.395,0.605,-0.5232182564880182,0.524080707259882,0.0,,,0.345
lambda-OR,0.95,0.395,0.605,0.0013295125618279268,0.1334965442828995,0.408,0.0,0.0,0.345
naive,0.95,0.35,0.65,-0.533899197091615,0.5347698513410197,0.0,,,0.2999999999999998
lambda-OR,0.95,0.35,0.65,0.004858896854010146,0.1401217935288886,0.392,0.0,0.0,0.2999999999999998
