method,n,theta,p_sel,q_sel,bias,rmse,coverage,ridge_frac,infeas_frac,detK
naive,20000,0.22314355131420976,0.95,0.65,-0.13412036709229214,0.13683510789330014,0.0,,,0.6000000000000001
lambda-OR,20000,0.22314355131420976,0.95,0.65,0.008627082057742996,0.07177822361789851,0.664,0.0,0.0,0.6000000000000001
naive,20000,0.4054651081081644,0.95,0.65,-0.251073380717392,0.2525589496106514,0.0,,,0.6000000000000001
lambda-OR,20000,0.4054651081081644,0.95,0.65,-0.0009961963529929213,0.07226602480616,0.628,0.0,0.0,0.6000000000000001
naive,20000,0.6931471805599453,0.95,0.65,-0.4292115013439528,0.43004667569399013,0.0,,,0.6000000000000001
lambda-OR,20000,0.6931471805599453,0.95,0.65,0.005153564903359155,0.07628225674207109,0.66,0.0,0.0,0.6000000000000001
naive,20000,1.0986122886681098,0.95,0.65,-0.6911863461001071,0.6917844415947966,0.0,,,0.6000000000000001
lambda-OR,20000,1.0986122886681098,0.95,0.65,0.01162830153012366,0.09030756594392077,0.592,0.0,0.0,0.6000000000000001
naive,20000,1.3862943611198906,0.95,0.65,-0.8916924998715886,0.8921206149502471,0.0,,,0.6000000000000001
lambda-OR,20000,1.3862943611198906,0.95,0.65,0.003424283272907368,0.09985709040046241,0.548,0.0,0.0,0.6000000000000001
