method,p_sel,q_sel,m,bias,rmse,coverage,ridge_frac,infeas_frac,detK
naive,0.98,0.98,0.02,-0.058380286454669895,0.06675169968516922,0.632,,,0.96
lambda-OR,0.98,0.98,0.02,0.0001910445712708646,0.03564117852466551,0.96,0.0,0.0,0.96
naive,0.9564285714285714,0.9564285714285714,0.043571428571428567,-0.12063954935939329,0.12578813956638638,0.072,,,0.9128571428571428
lambda-OR,0.9564285714285714,0.9564285714285714,0.043571428571428567,-0.0016112940743021574,0.04375800261852113,0.892,0.0,0.0,0.9128571428571428
naive,0.9328571428571428,0.9328571428571428,0.06714285714285714,-0.17482722485924593,0.17818449738183043,0.0,,,0.8657142857142857
lambda-OR,0.9328571428571428,0.9328571428571428,0.06714285714285714,-0.0023538181680493684,0.04707190227071751,0.888,0.0,0.0,0.8657142857142857
naive,0.9092857142857143,0.9092857142857143,0.0907142857142857,-0.2162794456047323,0.21912574919587818,0.0,,,0.8185714285714285
lambda-OR,0.9092857142857143,0.9092857142857143,0.0907142857142857,0.006921489888791666,0.05375259674818827,0.816,0.0,0.0,0.8185714285714285
naive,0.8857142857142857,0.8857142857142857,0.11428571428571428,-0.2656226412109689,0.26740148690723314,0.0,,,0.7714285714285714
lambda-OR,0.8857142857142857,0.8857142857142857,0.11428571428571428,-0.0021251844398806905,0.05169684039000147,0.816,0.0,0.0,0.7714285714285714
naive,0.8621428571428571,0.8621428571428571,0.13785714285714284,-0.30300677895969025,0.3046195346526703,0.0,,,0.7242857142857142
lambda-OR,0.8621428571428571,0.8621428571428571,0.13785714285714284,0.00031583881923424694,0.05793098400024288,0.808,0.0,0.0,0.7242857142857142
naive,0.8385714285714286,0.8385714285714286,0.1614285714285714,-0.34036853674713496,0.3418463824136018,0.0,,,0.6771428571428573
lambda-OR,0.8385714285714286,0.8385714285714286,0.1614285714285714,-0.0012358710266214131,0.06511612031869639,0.724,0.0,0.0,0.6771428571428573
naive,0.8150000000000001,0.8150000000000001,0.18499999999999997,-0.3708019146096567,0.37211634444302566,0.0,,,0.6300000000000001
lambda-OR,0.8150000000000001,0.8150000000000001,0.18499999999999997,0.005334625058722293,0.07180225644503416,0.692,0.0,0.0,0.6300000000000001
naive,0.7914285714285715,0.7914285714285715,0.20857142857142855,-0.40438672165027656,0.40563958998542654,0.0,,,0.582857142857143
lambda-OR,0.7914285714285715,0.7914285714285715,0.20857142857142855,-0.0011734696100505163,0.08033429219462379,0.648,0.0,0.0,0.582857142857143
naive,0.7678571428571429,0.7678571428571429,0.23214285714285712,-0.4340048622697326,0.4349622350389048,0.0,,,0.5357142857142858
lambda-OR,0.7678571428571429,0.7678571428571429,0.23214285714285712,-0.0008861222013483485,0.0804374992924018,0.612,0.0,0.0,0.5357142857142858
naive,0.7442857142857142,0.7442857142857142,0.2557142857142857,-0.4590534923232072,0.45996801337640775,0.0,,,0.48857142857142843
lambda-OR,0.7442857142857142,0.7442857142857142,0.2557142857142857,0.005309048201173224,0.09161381076539979,0.536,0.0,0.0,0.48857142857142843
naive,0.7207142857142856,0.7207142857142856,0.2792857142857143,-0.48507576045544726,0.48595253297186713,0.0,,,0.4414285714285713
lambda-OR,0.7207142857142856,0.7207142857142856,0.2792857142857143,0.006947073538950028,0.10478288536466017,0.516,0.0,0.0,0.4414285714285713
naive,0.6971428571428572,0.6971428571428572,0.3028571428571428,-0.5126848479799256,0.513492965969498,0.0,,,0.39428571428571435
lambda-OR,0.6971428571428572,0.6971428571428572,0.3028571428571428,-0.0037189736279205155,0.11525768715953968,0.468,0.0,0.0,0.39428571428571435
naive,0.6735714285714286,0.6735714285714286,0.3264285714285714,-0.5376011335120218,0.5383330994359674,0.0,,,0.3471428571428572
lambda-OR,0.6735714285714286,0.6735714285714286,0.3264285714285714,-0.005909008138978397,0.13304151230997172,0.432,0.0,0.0,0.3471428571428572
naive,0.65,0.65,0.35,-0.5569638252480973,0.5577146631327351,0.0,,,0.30000000000000004
lambda-OR,0.65,0.65,0.35,0.01208452993222777,0.1608440438188326,0.36,0.0,0.0,0.30000000000000004
