method,bias_mean,rmse,coverage,sens,spec,lam_used_frac
naive,-0.3545678258312394,0.3558248362090367,0.0,0.9,0.8,0.0
por,-0.20019803519616275,0.2049614732351583,0.0,0.9,0.8,0.0
naive,-0.15833237449861212,0.1625622862121251,0.006666666666666667,0.85,0.95,0.0
por,0.8037700034028564,0.8164796116224844,0.0,0.85,0.95,0.0
