method,bias_mean,rmse,coverage,sens,lam_used_frac
naive,-0.1337933744976486,0.13750810121619628,0.013333333333333334,0.95,0.0
por,0.000837101800017616,0.04003493418007906,0.9333333333333333,0.95,0.0
naive,-0.2382617777835345,0.24051462756609815,0.0,0.9,0.0
por,0.0002868524685378867,0.05159595592984855,0.8133333333333334,0.9,0.0
naive,-0.3237285022843309,0.3253563841525514,0.0,0.85,0.0
por,-0.0016612200191569615,0.06345314987663166,0.7733333333333333,0.85,0.0
naive,-0.39116192570022557,0.3922120874309423,0.0,0.8,0.0
por,0.003414138058481143,0.0698587464182974,0.66,0.8,0.0
