method,alpha,TP,FP,discoveries,FDR,TPR
noisy_naive,1e-06,110,0,110,0.0,0.018354747205072585
lambda_corrected,1e-06,392,1210,1602,0.7553058676654182,0.06540964458534958
noisy_naive,1e-05,142,2,144,0.013888888888888888,0.023694310028366427
lambda_corrected,1e-05,421,1210,1631,0.7418761496014715,0.07024862339395962
noisy_naive,0.0001,204,5,209,0.023923444976076555,0.03403971299849825
lambda_corrected,0.0001,477,1213,1690,0.7177514792899409,0.07959285833472385
noisy_naive,0.001,282,17,299,0.056856187290969896,0.04705489738027699
lambda_corrected,0.001,549,1218,1767,0.6893039049235993,0.09160687468713499
noisy_naive,0.01,489,187,676,0.27662721893491127,0.08159519439345904
lambda_corrected,0.01,723,1322,2045,0.6464547677261614,0.12064074753879526
noisy_naive,0.05,840,996,1836,0.5424836601307189,0.14016352411146338
lambda_corrected,0.05,1001,1883,2884,0.6529126213592233,0.16702819956616052
noisy_naive_BH,0.0004326565743301972,257,12,269,0.04460966542750929,0.04288336392457868
lambda_BH,0.0030919824195005676,614,1242,1856,0.6691810344827587,0.10245286167195061
