feature_id,seed,m,n_case,n_ctrl,prev0_mean,prev_sd,beta_mean,beta_sd,null_frac,eps,n_val,var_extra_scale,xlim,is_null,beta_true,logit_prev0,prev0,prev1,a_raw,b_raw,c_raw,d_raw,log_or_naive,se_naive,z_naive,p_naive,y_naive,sig_naive,var_extra,se_floor,se_lambda,z_lambda,p_lambda,y_lambda,sig_lambda
0,3,20000,63096,6309600,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.239761324748489,0.014206303509013104,0.014206303509013104,900,89271,62196,6220329,0.00879202816766628,0.033733289071038196,0.2606335880604865,0.09997438556243385,0.09997438556243385,False,0.0015624999999999997,0.039528470752104736,0.05196570784228985,0.1691890389398545,0.0626586945335784,0.0626586945335784,False
1,3,20000,63096,6309600,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-1.6352075494441487,0.16311822744556662,0.16311822744556662,10269,1029184,52827,5280416,-0.002615315083599546,0.010838186246867214,-0.24130560446453897,0.09188065684179318,0.09188065684179318,False,0.0015624999999999997,0.039528470752104736,0.04098739173357804,-0.06380779486041327,0.022677378026783587,0.022677378026783587,False
2,3,20000,63096,6309600,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.007736577753963789,-2.547431182868297,0.0725992504445296,0.07312186888128279,4622,458245,58474,5851355,0.009368478590936506,0.01535538216999722,0.6101104151768697,0.266170083050653,0.266170083050653,False,0.0015624999999999997,0.039528470752104736,0.04240622314692347,0.2209222584731925,0.08346553501365707,0.08346553501365707,False
3,3,20000,63096,6309600,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.395626560089501,0.032432425419603825,0.032432425419603825,2060,205079,61036,6104521,0.004863922169144275,0.022510946390371673,0.21606919961502194,0.08148014745570312,0.08148014745570312,False,0.0015624999999999997,0.039528470752104736,0.04548892950367361,0.10692540409752822,0.038650981460986784,0.038650981460986784,False
4,3,20000,63096,6309600,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.738938927013372,0.008672060922847363,0.008672060922847363,540,54566,62556,6255034,-0.00960899314655587,0.043412100192706825,-0.22134366003721165,0.08363825951746234,0.08363825951746234,False,0.0015624999999999997,0.039528470752104736,0.058712097928294266,-0.1636629159171154,0.06048248823591691,0.06048248823591691,False
5,3,20000,63096,6309600,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.1194103308618057,0.04231366068328695,0.04231366068328695,2719,267004,60377,6042596,0.019155091368241894,0.019702483640700645,0.9722170929086337,0.4802473795413446,0.4802473795413446,False,0.0015624999999999997,0.039528470752104736,0.04416659214397321,0.43370091370872765,0.17750132664907597,0.17750132664907597,False
6,3,20000,63096,6309600,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.7230458955681303,0.023590317661461743,0.023590317661461743,1543,148571,61553,6161029,0.0390786949460165,0.025904001723784025,1.5085968323626227,0.8813985395985562,0.8813985395985562,False,0.0015624999999999997,0.039528470752104736,0.04726010267980599,0.8268855277522416,0.38901854916551015,0.38901854916551015,False
7,3,20000,63096,6309600,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.0626488266071754,0.044674518115265745,0.044674518115265745,2800,281768,60296,6027832,-0.006419125708106762,0.01942623775822949,-0.33043586658396806,0.13014038982766982,0.13014038982766982,False,0.0015624999999999997,0.039528470752104736,0.04404405423481427,-0.14574329769653255,0.05348680064204293,0.05348680064204293,False
8,3,20000,63096,6309600,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.998754631079612,0.01800821975676432,0.01800821975676432,1122,113625,61974,6195975,-0.012417375048215714,0.0302649384937597,-0.4102891222057511,0.16647432367809875,0.16647432367809875,False,0.0015624999999999997,0.039528470752104736,0.04978419932097992,-0.24942401841507209,0.09526671114695913,0.09526671114695913,False
9,3,20000,63096,6309600,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-2.2345369372859545,0.0966916483854227,0.0966916483854227,6009,608520,57087,5701080,-0.013863232099024304,0.013628605939826849,-1.0172157123210825,0.509970095504424,0.509970095504424,False,0.0015624999999999997,0.039528470752104736,0.04181194685569046,-0.3315615067356656,0.1306389561023084,0.1306389561023084,False
10,3,20000,63096,6309600,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.437384613096913,0.031147312395135615,0.031147312395135615,2020,196264,61076,6113336,0.029982564579145433,0.022727926640842496,1.3191948853471844,0.7279170026699535,0.7279170026699535,False,0.0015624999999999997,0.039528470752104736,0.04559669559728553,0.657560031190733,0.29173135520390686,0.29173135520390686,False
11,3,20000,63096,6309600,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.546534318660695,0.028016796499415172,0.028016796499415172,1792,175978,61304,6133622,0.01893701585366329,0.024083970191369816,0.7862912843352186,0.3648211128615776,0.3648211128615776,False,0.0015624999999999997,0.039528470752104736,0.046287553620587785,0.4091168007902773,0.16592664992366296,0.16592664992366296,False
12,3,20000,63096,6309600,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.375662563183692,0.012423519122681003,0.012423519122681003,754,78463,62342,6231137,-0.03966274609175359,0.036801178414224665,-1.0777575012767213,0.5510742855240076,0.5510742855240076,False,0.0015624999999999997,0.039528470752104736,0.054007654389684384,-0.734391199543176,0.33469078709462974,0.33469078709462974,False
13,3,20000,63096,6309600,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.360070804608364,0.012616278628237018,0.012616278628237018,821,79511,62275,6230089,0.03305288083759244,0.035299864603526576,0.9363458248021252,0.45705617057782755,0.45705617057782755,False,0.0015624999999999997,0.039528470752104736,0.052996041748675046,0.6236858404320129,0.27340813275211695,0.27340813275211695,False
15,3,20000,63096,6309600,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.07712056778415272,-2.268357877243254,0.09377767238597205,0.10054014609511892,6270,591515,56826,5718085,0.06455476797075471,0.013376838039574806,4.825861521218406,5.855739262242002,5.855739262242002,True,0.0015624999999999997,0.039528470752104736,0.04173056189337756,1.5469422179287562,0.9140776045382357,0.9140776045382357,False
