method,alpha,TP,FP,discoveries,FDR,TPR
noisy_naive,1e-06,999,1003,2002,0.500999000999001,0.999
lambda_corrected,1e-06,953,626,1579,0.39645345155161493,0.953
noisy_naive,1e-05,1000,1175,2175,0.5402298850574713,1.0
lambda_corrected,1e-05,976,722,1698,0.425206124852768,0.976
noisy_naive,0.0001,1000,1452,2452,0.5921696574225123,1.0
lambda_corrected,0.0001,988,868,1856,0.4676724137931034,0.988
noisy_naive,0.001,1000,1980,2980,0.6644295302013423,1.0
lambda_corrected,0.001,995,1114,2109,0.5282124229492651,0.995
noisy_naive,0.01,1000,3045,4045,0.7527812113720643,1.0
lambda_corrected,0.01,1000,1566,2566,0.6102883865939205,1.0
noisy_naive,0.05,1000,4603,5603,0.8215241834731394,1.0
lambda_corrected,0.05,1000,2262,3262,0.6934396076026977,1.0
noisy_naive_BH,0.023904406344771718,1000,3778,4778,0.7907074089577228,1.0
lambda_BH,0.013250250386199843,1000,1651,2651,0.6227838551490004,1.0
