j,is_signal,w_base,logOR_true,p_true,logOR_noisy,p_noisy,logOR_lambda,p_lambda,se_lambda,var_counts_lambda,var_extra_lambda
0,0,0.23837238425985816,1.1188083668084703,0.0,0.7342687774677743,0.0,2.2115934899114915,7.125979395243277e-236,0.06743858175905314,0.004292902293540404,0.00025506001613208974
1,0,0.10022324170979785,0.9893903650749334,0.0,0.665926365900148,0.0,1.7211566814758292,0.0,0.03506881879120831,0.0009747620352785152,0.00025506001613208974
2,0,0.060374614678164726,0.9289281700329566,0.0,0.6140122244115771,0.0,1.5070592845190034,0.0,0.029643332488283457,0.0006236671448788318,0.00025506001613208974
3,0,0.04213868233943778,0.9247089511453727,0.0,0.6208378139312062,0.0,1.499455624997686,0.0,0.028576029692561827,0.0005615294568580854,0.00025506001613208974
4,0,0.03188184418957888,0.9299327931612785,0.0,0.6143095460495858,0.0,1.470055175050448,0.0,0.028364606060116315,0.0005494908608134974,0.00025506001613208974
5,0,0.025384398527596514,0.9310174639551908,0.0,0.6277747546579601,0.0,1.498722585936637,0.0,0.028779584119781838,0.0005732044459755091,0.00025506001613208974
6,0,0.020935502547672465,0.9218976906975157,0.0,0.6330313307627096,0.0,1.510272776642255,0.0,0.029370793560355064,0.0006075834982329049,0.00025506001613208974
7,0,0.017717133461374122,0.9133709664047232,0.0,0.6167707893929107,0.0,1.46860694464968,0.0,0.029924616163689566,0.0006404226364120612,0.00025506001613208974
8,0,0.015291595579978,0.9217012490132448,0.0,0.6269614909991575,0.0,1.4961710197494396,0.0,0.03080593424469095,0.000693945568556133,0.00025506001613208974
9,0,0.013404664245347173,0.916437229321767,0.0,0.6145181581823308,0.0,1.4658021411087288,0.0,0.03150896506668941,0.0007377548634417638,0.00025506001613208974
10,0,0.011899126566460964,0.9012963885848647,0.0,0.6235273212910031,0.0,1.4917552129341383,0.0,0.03254736618055916,0.0008042710291593162,0.00025506001613208974
11,0,0.010672824862613787,0.9131389777701036,0.0,0.625983966715151,0.0,1.5007488245000626,0.0,0.03346769055260167,0.0008650262947926131,0.00025506001613208974
12,0,0.009656655761449745,0.9394300130689633,0.0,0.6328385032311205,0.0,1.5220411945160863,0.0,0.03459908305731058,0.0009420365322745864,0.00025506001613208974
13,0,0.00880229452193639,0.930825578459908,0.0,0.6332789012085113,0.0,1.5258594562579397,0.0,0.03550172787467213,0.0010053126659551827,0.00025506001613208974
14,0,0.00807498764654197,0.9121435529211263,0.0,0.606830532931971,0.0,1.4566987968772638,0.0,0.03578047560326764,0.0010251824182639412,0.00025506001613208974
15,0,0.007449137008120567,0.9313378475247351,0.0,0.6235401006531063,0.0,1.5048059048270643,0.0,0.03728787625610798,0.0011353256995587317,0.00025506001613208974
16,0,0.006905494579455271,0.922936807586158,0.0,0.6332476202387713,0.0,1.5341226680253017,0.0,0.038529006338678,0.0012294243133138,0.00025506001613208974
17,0,0.006429323953356525,0.9072725700013698,0.0,0.6144662332396544,0.0,1.4842811617412464,0.0,0.038873475065915625,0.0012560870475682743,0.00025506001613208974
18,0,0.006009162373398587,0.9122441275828681,0.0,0.624048158267966,0.0,1.5129600391957665,0.0,0.04009436629355551,0.0013524981923497105,0.00025506001613208974
19,0,0.005635967055796038,0.8896850545801517,0.0,0.59807891227581,0.0,1.4431203544274591,7.25882634655504e-281,0.04029744139075796,0.0013688237665094828,0.00025506001613208974
20,0,0.005302513977590456,0.9187603072962633,0.0,0.6158299955778496,0.0,1.4941203096766211,4.817423228774468e-280,0.041783213905987285,0.0014907769481813998,0.00025506001613208974
21,0,0.005002966437193634,0.9488900658892819,0.0,0.6253355272629016,0.0,1.522737004370566,2.9800394056444255e-274,0.04303428362374112,0.0015968895508765037,0.00025506001613208974
22,0,0.004732560181846107,0.8867468875499431,0.0,0.6050837111978843,0.0,1.4672449718575484,2.7029609374759803e-253,0.04316147676042631,0.0016078530600087304,0.00025506001613208974
23,0,0.004487370083801327,0.8842598960113119,0.0,0.6086060395385253,0.0,1.4788596816980382,3.7571662761253126e-244,0.04431726823120203,0.0017089602473442185,0.00025506001613208974
24,0,0.00426413484130995,0.9010095290646633,0.0,0.6111333244407886,0.0,1.4870943023343426,1.2698365186775075e-238,0.04508194909865388,0.0017773221184015297,0.00025506001613208974
25,0,0.00406012360657111,0.9264399940753204,0.0,0.6342383233650266,0.0,1.5556247476474332,6.520627568728188e-237,0.04733096005901449,0.0019851597639759357,0.00025506001613208974
26,0,0.0038730333374064826,0.9094214919622555,0.0,0.6139697972380893,0.0,1.4982699907060846,3.294835398132949e-221,0.04719133523685685,0.001971962105305317,0.00025506001613208974
27,0,0.0037009089547518598,0.9328129285454455,0.0,0.6180888142983404,0.0,1.5113161570985902,6.670194206840131e-216,0.04818936671379193,0.002067155048144228,0.00025506001613208974
28,0,0.0035420806303028997,0.9131337681140601,0.0,0.6274673363862954,0.0,1.540319789521223,9.034357814173288e-210,0.04983397983198054,0.0022283655297621534,0.00025506001613208974
29,0,0.0033951140825975857,0.8982759530777813,0.0,0.6139498728373604,0.0,1.5018890174472672,1.1995439090284247e-199,0.049820020454547025,0.002226974421959394,0.00025506001613208974
30,0,0.003258770852069211,0.8923479608209883,0.0,0.6194058890582743,1.2042510587611145e-306,1.5190296316332315,2.635798992033199e-194,0.051083963109027526,0.0023545112707923956,0.00025506001613208974
31,0,0.003131976303431183,0.8867925837323217,0.0,0.5875123320261518,1.2759513915373858e-268,1.4282222326569727,1.0193542120031825e-177,0.05024691348519344,0.0022696922986564245,0.00025506001613208974
32,0,0.003013793664427316,0.9147277410344595,0.0,0.6019388086726896,3.726409573433012e-273,1.4702854927698694,2.4626006659793016e-177,0.05178325445385828,0.0024264454257009434,0.00025506001613208974
33,0,0.0029034028187089477,0.8850211650937454,0.0,0.5877894777986246,1.7760748084871497e-254,1.4304666686109706,2.0395462518853485e-168,0.05171359975954492,0.0024192363839583143,0.00025506001613208974
34,0,0.0028000828717130288,0.892833614258724,0.0,0.6055097599624408,2.1174056571521386e-260,1.4823477510525063,3.1904136715379204e-168,0.05362050482363156,0.0026200985214090058,0.00025506001613208974
35,0,0.0027031977324411703,0.8953434808704914,0.0,0.6221761486551097,3.7290562639041694e-265,1.532341595226627,4.668932980227393e-167,0.05562430602349919,0.0028390034044637985,0.00025506001613208974
36,0,0.0026121841222574715,0.869303514521494,0.0,0.605429734750392,1.0562930076039552e-242,1.4840855612354096,8.458810810064536e-157,0.05562942718385093,0.002839573152671283,0.00025506001613208974
37,0,0.0025265415492341874,0.9149215794321768,0.0,0.612361791660795,2.4047328669638942e-241,1.5051935846126618,2.735469965934453e-154,0.05688374464616652,0.002980700388838189,0.00025506001613208974
38,0,0.0024458238838675228,0.901261498452392,0.0,0.6201898024626452,4.554667176020656e-245,1.5286608596345084,9.320788415580582e-155,0.05768210952002981,0.0030721657425486246,0.00025506001613208974
39,0,0.00236963224685346,0.917882641390887,0.0,0.5878768198327051,3.405486037982819e-216,1.4346987595140537,2.6869635461340327e-143,0.05628947513266275,0.0029134449945785682,0.00025506001613208974
40,0,0.002297608977644055,0.9243938269039057,0.0,0.611646366702681,4.3727971851253464e-226,1.504804158247196,1.2097917061288446e-144,0.0587606550103146,0.0031977545611091207,0.00025506001613208974
