feature,logOR_true,logOR_naive_noisy,logOR_lambda,se_wald_noisy,p_wald_noisy,neglog10p,alpha,gamma,prev,p,q,lam,table_noise_disabled
0,0.03412654149851849,0.015509333517858454,0.03967231447171878,0.005574477636742483,0.005399110456430049,2.2676777875264684,0.6950382225992799,0.02,0.6676133333333333,0.8,0.7,0.05,0
1,0.005585031990072235,0.0034459085015133505,0.008697427399643848,0.022111860924932128,0.876159279559872,0.05741693498961547,-4.235001607891394,0.02,0.014293333333333333,0.8,0.7,0.05,0
2,0.024345245470057016,0.007761228061320087,0.019795683661163844,0.005256968067729301,0.13984468793243238,0.8543540258634075,-0.10291543771681089,0.02,0.47324166666666667,0.8,0.7,0.05,0
3,0.04740063627743263,0.07394964150863653,0.19772679378949704,0.022784120628459612,0.0011717630182728038,2.931160212774566,4.2992488251086245,0.02,0.9863516666666666,0.8,0.7,0.05,0
4,0.013980763887865032,-0.0003702531272503815,-0.0009438636542305988,0.005950160698570864,0.9503830680402783,0.022101309654736577,-1.0212773856647375,0.02,0.26432333333333335,0.8,0.7,0.05,0
5,0.0016742894033328311,-0.010653768006293345,-0.027340533544222546,0.015794914656703907,0.4999895396246711,0.301039081525591,-3.5309816920742714,0.02,0.028466666666666668,0.8,0.7,0.05,0
6,0.018957114130904406,0.002202326837860097,0.005619613053860443,0.009102670752063115,0.8088243843261023,0.09214576416948249,-2.2975801407060565,0.02,0.091555,0.8,0.7,0.05,0
7,0.0086887018104322,-0.005611050067456857,-0.014445819839381369,0.00985955968943207,0.569290023244624,0.2446664270926739,-2.4854849365016234,0.02,0.07690166666666666,0.8,0.7,0.05,0
8,0.058457399034025095,-0.00321188197078138,-0.008613889137988091,0.042863933389305955,0.9402687839846683,0.02674798180941434,-5.558243005514915,0.02,0.0037633333333333334,0.8,0.7,0.05,0
9,0.02515416444479322,0.01198308814114005,0.03076109856313535,0.007842550883894454,0.12652297324405237,0.8978306108733471,1.9114531000220574,0.02,0.8712033333333333,0.8,0.7,0.05,0
10,0.021523459690032165,-0.0329745411671748,-0.0815994590363882,0.05995860600074689,0.582350170221623,0.2348157932479432,6.295340658849647,0.02,0.9980933333333334,0.8,0.7,0.05,0
11,-0.02322542294922721,-0.04811165915504123,-0.1262773129484364,0.021022540323944284,0.022104060784136972,1.6555279338199662,-4.1394726481653175,0.02,0.01598,0.8,0.7,0.05,0
12,0.02099064409061139,0.00284177427028811,0.007247382076079216,0.005991222052981334,0.6352696101376305,0.19704191983428432,-1.0501908367547876,0.02,0.259005,0.8,0.7,0.05,0
13,0.021567808052203576,0.010574886898347475,0.02689569231704455,0.007578395542099413,0.16289549953670712,0.7880909141775164,-1.822885428900428,0.02,0.13920666666666667,0.8,0.7,0.05,0
14,0.01855302455650724,-0.004007440789600267,-0.01009783544863712,0.023212592593160285,0.8629337716939448,0.06402253417073552,4.343404384653261,0.02,0.9870533333333333,0.8,0.7,0.05,0
15,0.04692908685435962,0.01764256699166531,0.04544222585806107,0.015206775311287772,0.24597632009808423,0.6091066999931084,3.443053510283156,0.02,0.9691733333333333,0.8,0.7,0.05,0
16,0.007662275666067576,-0.040834246139910706,-0.10835331245926415,0.0656070720353418,0.5336748272807132,0.2727232817962051,-6.425767884710605,0.02,0.001615,0.8,0.7,0.05,0
17,0.05199464180631131,0.01810446474767955,0.045451964818709924,0.027373087248099132,0.5083580547316517,0.2938302908286948,-4.671314990926647,0.02,0.009246666666666667,0.8,0.7,0.05,0
18,0.023253416739134333,-0.00026924621979065817,-0.0006874696763346459,0.0052901775783157886,0.959408793324499,0.01799630538772986,-0.24521851875866862,0.02,0.4381083333333333,0.8,0.7,0.05,0
19,0.02165295258689457,0.009467802972007788,0.024220170846324083,0.0062433085473937045,0.12940003011019588,0.8880656226109784,1.2098749298024016,0.02,0.7703633333333333,0.8,0.7,0.05,0
20,0.0041233454362824785,-0.032248743346601265,-0.0803840319104683,0.03572297617909317,0.3666611699721487,0.43573508011232237,5.230053994554529,0.02,0.994605,0.8,0.7,0.05,0
21,0.04275555507747912,0.0084788336035629,0.02173012326343865,0.01586526928771606,0.5930459103036534,0.22691168468000042,3.5285135244666446,0.02,0.9718066666666667,0.8,0.7,0.05,0
22,0.032998066919448746,0.0181730333801212,0.04614030904167788,0.006680501517658302,0.00652207912565312,2.1856139366514853,-1.4503819207358781,0.02,0.19033833333333333,0.8,0.7,0.05,0
23,0.020352484327233383,0.021422222650957733,0.05421838190242275,0.011067719160223774,0.05292174461950994,1.2763658472861763,-2.762318303942598,0.02,0.05964166666666667,0.8,0.7,0.05,0
24,0.0220646715308003,0.007975136071971834,0.020359454017485956,0.005272752797174872,0.1304020137772949,0.8847157018125803,-0.18624617574680946,0.02,0.4533216666666667,0.8,0.7,0.05,0
25,0.0343416255031349,0.01890343842227335,0.04859912005758825,0.011215330120151494,0.09189215332785712,1.036721571442,2.788391061728322,0.02,0.9416816666666666,0.8,0.7,0.05,0
26,0.01486092519969933,0.004874917824312572,0.012498013559755496,0.009333195168672374,0.6014472983535504,0.22080242158596472,2.3629976205497814,0.02,0.9133233333333334,0.8,0.7,0.05,0
27,0.0714996087462346,0.016374270774217308,0.041164238044216914,0.0191164714287239,0.3916919752112966,0.40705532596848026,-3.934043610764519,0.02,0.019155,0.8,0.7,0.05,0
28,0.017620568114868385,0.006341815961874631,0.01612660876997912,0.005251928485672659,0.22723141426438298,0.6435316285130864,-0.07739965257608827,0.02,0.4812783333333333,0.8,0.7,0.05,0
29,0.025421179207030947,0.014252834741553819,0.03644510157758321,0.005315580950411305,0.007332982967191602,2.1347193237679636,0.31439625566191887,0.02,0.577655,0.8,0.7,0.05,0
30,0.0055696696163546385,0.010629773305197177,0.0270210391536883,0.006489104763156491,0.10140177377928292,0.9939544480025151,-1.3457545533623763,0.02,0.20578666666666667,0.8,0.7,0.05,0
31,0.017847794460131742,-0.001632494779330255,-0.0041783941090823415,0.005283244633156805,0.7573255312758904,0.12071740181089512,0.22155884673240211,0.02,0.5551833333333334,0.8,0.7,0.05,0
32,0.010204628633324346,0.0028214384996159128,0.007217388268215995,0.005361870060162974,0.5987463421123786,0.22275712678032306,0.4131063508281858,0.02,0.6012566666666667,0.8,0.7,0.05,0
33,0.02336881798776975,0.009241236344660118,0.023482081154238395,0.006719580847579315,0.16904782775910454,0.7719904054855856,-1.4639351124380233,0.02,0.18761833333333333,0.8,0.7,0.05,0
34,0.02435945475950085,0.007452663500399228,0.019087613853097398,0.005450847274519773,0.17154738543381953,0.7656158966711583,0.5507501369940502,0.02,0.633935,0.8,0.7,0.05,0
35,0.025456291060801717,0.012661894465934999,0.03241282996094656,0.006191893073569711,0.04086324772488455,1.3886671195208973,1.180762919864007,0.02,0.7647633333333334,0.8,0.7,0.05,0
36,0.1567179778655845,-0.06812003004958815,-0.18253181285617215,0.0850665970662769,0.42325629362205697,0.3733965754162886,-7.604272590557184,0.02,0.0009633333333333333,0.8,0.7,0.05,0
37,0.02015273213935907,0.006301966984655391,0.016069890080753286,0.005307066577053367,0.23504342437738635,0.628851894216475,0.2980183854577574,0.02,0.5733683333333334,0.8,0.7,0.05,0
38,0.03617641587064575,-0.01828734889810398,-0.047303150334971227,0.0219876254445875,0.405572117099007,0.391931910199101,-4.216521009801014,0.02,0.014508333333333333,0.8,0.7,0.05,0
39,0.07670739109077788,0.05727135783862441,0.1411396599556792,0.03940744867573327,0.14613686679439977,0.8352402082573266,-5.393881443531774,0.02,0.004411666666666667,0.8,0.7,0.05,0
40,0.026043056369264597,0.010115197063353395,0.02576425446908378,0.005254009349927463,0.05420009921145934,1.265999918499438,-0.09064854121520294,0.02,0.47788833333333336,0.8,0.7,0.05,0
41,0.015170688871873946,0.007160115819058202,0.01820525825867712,0.007130170388440926,0.3152823089786314,0.5013003975632649,-1.6385214375070196,0.02,0.16146833333333332,0.8,0.7,0.05,0
42,0.016734032087639943,0.039354943570301074,0.09859782747313535,0.01685882667580973,0.019575722133389137,1.7082822081838656,-3.6873913950156636,0.02,0.024706666666666665,0.8,0.7,0.05,0
43,0.018128955140744495,0.007968863317808635,0.020493721573625345,0.007177928152253947,0.26691720528545193,0.5736234310094155,1.6661038191810629,0.02,0.84067,0.8,0.7,0.05,0
44,0.07398242985115415,0.048550030860413596,0.11953860040953647,0.06705718795654023,0.4690599967502518,0.3287716037857967,-6.528516402329225,0.02,0.00152,0.8,0.7,0.05,0
45,0.008504731323552507,-0.004804886663397546,-0.012549446505581369,0.032613076023823746,0.8828715016855226,0.0541025015978438,-5.011460798850759,0.02,0.006525,0.8,0.7,0.05,0
